Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Bo-Horse Jackman,168,,Logan Anderson,236,,Auto BB,,B2,0,0,0,1,3.61%,-3.61%,0,0,44,5,2,MB,CC,Auto BB,Auto BB,,10
Shiny Tenson,2124,222,Logan Anderson,236,681,DP,459,B2,0,1,0,1,-9.41%,9.41%,0,0,44,5,2,MB,CC,LGO,LGO,,1
Xavier Crowbar,2006,,Logan Anderson,236,,Auto K,,B2,2,0,0,1,-2.13%,2.13%,0,0,44,5,2,MB,CC,Auto K,Auto K,,9
Jacques Blaque,2202,548,Pete Wheeler,4,120,RGO,428,T3,0,0,0,1,-2.37%,2.37%,0,0,45,5,2,CC,MB,RGO,RGO,,1
Jasper Orbit,1983,,Pete Wheeler,4,,Auto K,,T3,1,0,0,1,-2.03%,2.03%,0,0,45,5,2,CC,MB,Auto K,Auto K,,9
Autumn Halladay,297,980,Pete Wheeler,4,937,2B,43,T3,2,0,0,1,2.97%,-2.97%,0,0,45,5,2,CC,MB,2B,2B,,1
Buck Cheeks,457,37,Pete Wheeler,4,666,K,371,T3,2,2,0,1,-4.79%,4.79%,0,0,45,5,2,CC,MB,K,K,,1
Mike Cal,2126,387,Logan Anderson,236,886,LGO,499,B3,0,0,0,1,-3.58%,3.58%,0,0,46,5,2,MB,CC,LGO,LGO,,1
Jazzy Jeff,2061,780,Logan Anderson,236,848,1B,68,B3,1,0,0,1,3.31%,-3.31%,0,0,46,5,2,MB,CC,1B,1B,,1
Jack Marnette,213,649,Logan Anderson,236,524,BB,125,B3,1,1,0,1,5.85%,-5.85%,0,0,46,5,2,MB,CC,BB,BB,,1
Pip Squires,2060,988,Logan Anderson,236,562,DP,426,B3,1,4,0,1,-14.85%,14.85%,0,0,46,5,2,MB,CC,LGO,LGO,,1
Jimbo Fishy,1984,522,Pete Wheeler,4,347,FO,175,T4,0,0,0,1,-2.44%,2.44%,0,0,47,5,2,CC,MB,FO,FO,,1
Harry Cox,2016,,Pete Wheeler,4,918,LGO,450,T4,1,0,0,1,-2.13%,2.13%,0,0,47,5,2,CC,MB,LGO,LGO,,1
Supreme Asslord,363,666,Pete Wheeler,4,777,1B,111,T4,2,0,0,1,1.85%,-1.85%,0,0,47,5,2,CC,MB,1B,1B,,1
Merodach Baladan,100,505,Pete Wheeler,4,869,RGO,364,T4,2,1,0,1,-3.78%,3.78%,0,0,47,5,2,CC,MB,RGO,RGO,,1
Daz Reference,2114,892,Logan Anderson,236,34,BB,142,B4,0,0,0,1,4.73%,-4.73%,0,0,48,5,2,MB,CC,BB,BB,,1
Kevin Arianna,113,49,Logan Anderson,236,306,K,257,B4,0,1,0,1,-5.04%,5.04%,0,0,48,5,2,MB,CC,K,K,,1
Bo-Horse Jackman,168,716,Logan Anderson,236,579,BB,137,B4,1,1,0,1,6.67%,-6.67%,0,0,48,5,2,MB,CC,BB,BB,,1
Shiny Tenson,2124,616,Logan Anderson,236,295,PO,321,B4,1,4,0,1,-6.13%,6.13%,0,0,48,5,2,MB,CC,PO,PO,,1
Pete Wheeler,4,666,Logan Anderson,236,410,K,256,B4,2,4,0,1,-11.76%,11.76%,0,0,48,5,2,MB,CC,K,K,,1
Mike Oxlittle,105,,Pete Wheeler,4,,Auto K,,T5,0,0,0,1,-2.29%,2.29%,0,0,49,5,2,CC,MB,Auto K,Auto K,,9
Jacques Blaque,2202,635,Pete Wheeler,4,573,1B,62,T5,1,0,0,1,1.81%,-1.81%,0,1,49,5,2,CC,MB,1B,1B,,1
Jingo Bajingo,365,374,Pete Wheeler,4,301,1B,73,T5,1,1,0,1,3.16%,-3.16%,0,1,49,5,2,CC,MB,1B,1B,,1
Autumn Halladay,297,100,Pete Wheeler,4,184,1B,84,T5,1,4,0,1,6.83%,-6.83%,0,1,49,5,2,CC,MB,1B,1B,,1
Scherbie Fully-Loaded,679,467,Pete Wheeler,4,350,1B,117,T5,1,7,0,1,8.02%,-8.02%,1,1,49,5,2,CC,MB,1B,1B,,1
Jimbo Fishy,1984,921,Pete Wheeler,4,900,2B,21,T5,1,7,0,2,6.75%,-6.75%,2,0,49,5,2,CC,MB,2B,2B,,1
Harry Cox,2016,,Ricky Steele,2271,821,RGO,179,T5,1,6,0,4,0.65%,-0.65%,1,0,49,5,2,CC,MB,RGO,RGO,,1
Supreme Asslord,363,680,Ricky Steele,2271,358,K,322,T5,2,3,0,5,-0.44%,0.44%,0,0,49,5,2,CC,MB,K,K,,1
Mike Cal,2126,212,Logan Anderson,236,480,K,268,B5,0,0,0,5,-0.91%,0.91%,0,0,50,5,2,MB,CC,K,K,,1
Jazzy Jeff,2061,450,Logan Anderson,236,993,LGO,457,B5,1,0,0,5,-0.62%,0.62%,0,0,50,5,2,MB,CC,LGO,LGO,,1
Jack Marnette,213,880,Con Copper,2035,202,K,322,B5,2,0,0,5,-0.28%,0.28%,0,0,50,5,2,MB,CC,K,K,,1
Merodach Baladan,100,999,Ricky Steele,2271,6,HR,7,T6,0,0,0,5,0.41%,-0.41%,1,1,51,5,2,CC,MB,HR,HR,,1
Mike Oxlittle,105,231,Ricky Steele,2271,6,FO,225,T6,0,0,0,6,-0.02%,0.02%,0,0,51,5,2,CC,MB,FO,FO,,1
Jacques Blaque,2202,367,Ricky Steele,2271,534,FO,167,T6,1,0,0,6,-0.04%,0.04%,0,0,51,5,2,CC,MB,FO,FO,,1
Jingo Bajingo,365,543,Ricky Steele,2271,301,FO,242,T6,2,0,0,6,-0.04%,0.04%,0,0,51,5,2,CC,MB,FO,FO,,1
Pip Squires,2060,583,Con Copper,2035,22,RGO,439,B6,0,0,0,6,-0.26%,0.26%,0,0,52,5,2,MB,CC,RGO,RGO,,1
Daz Reference,2114,414,Con Copper,2035,390,2B,24,B6,1,0,0,6,0.26%,-0.26%,0,0,52,5,2,MB,CC,2B,2B,,1
Kevin Arianna,113,1,Con Copper,2035,818,FO,183,B6,1,2,0,6,-0.32%,0.32%,0,0,52,5,2,MB,CC,FO,FO,,1
Bo-Horse Jackman,168,634,Con Copper,2035,375,FO,259,B6,2,2,0,6,-0.08%,0.08%,0,0,52,5,2,MB,CC,FO,FO,,1
Robin Reynolds,371,549,Sonny Streaker,2065,234,K,315,T1,0,0,0,0,-2.51%,2.51%,0,0,53,6,2,NHR,GCG,K,K,,1
Ralph Smith,2028,567,Sonny Streaker,2065,433,BB,134,T1,1,0,0,0,2.43%,-2.43%,0,0,53,6,2,NHR,GCG,BB,BB,,1
Red Trapper,453,250,Sonny Streaker,2065,768,DP,482,T1,1,1,0,0,-6.37%,6.37%,0,0,53,6,2,NHR,GCG,LGO,LGO,,1
Brohei Brohtani,425,850,Donked McToad,330,568,K,282,B1,0,0,0,0,-2.48%,2.48%,0,0,54,6,2,GCG,NHR,K,K,,1
Tsar Zaar,274,683,Donked McToad,330,121,RGO,438,B1,1,0,0,0,-2.17%,2.17%,0,0,54,6,2,GCG,NHR,RGO,RGO,,1
Gil Metz,206,420,Donked McToad,330,959,RGO,461,B1,2,0,0,0,-1.79%,1.79%,0,0,54,6,2,GCG,NHR,RGO,RGO,,1
