Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Scores,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Mo Jungo,1814,148,Joey McCarty,390,311,BB,163,T4,2,0,2,1,3.28%,-3.28%,0,0,0,65,6,2,COL,MTL,BB,FO,BB,1
Steel Pipe Simpson,80,163,Joey McCarty,390,713,RGO,450,T4,2,1,2,1,-6.06%,6.06%,0,0,0,65,6,2,COL,MTL,RGO,RGO,RGO,1
Iris Solstice,401,271,Garrett Evans,75,420,BB,149,B4,0,0,2,1,1.82%,-1.82%,0,1,1,66,6,2,MTL,COL,BB,FO,BB,1
KlentakPay TheFuckingTax,1700,770,Garrett Evans,75,580,FO,190,B4,0,1,2,1,-2.10%,2.10%,0,0,0,66,6,2,MTL,COL,FO,FO,FO,1
Monica M. Clinton,1774,806,Garrett Evans,75,813,HR,7,B4,1,1,2,1,15.31%,-15.31%,2,1,1,66,6,2,MTL,COL,HR,HR,HR,1
Homer Pimpson,144,782,Hank Murphy,76,611,BB,171,B4,1,0,4,1,0.34%,-0.34%,0,0,0,66,6,2,MTL,COL,BB,FO,BB,1
Oregano Moon,2277,850,Hank Murphy,76,585,FO,265,B4,1,1,4,1,-0.41%,0.41%,0,0,0,66,6,2,MTL,COL,FO,K,FO,1
Bob Robb,90,419,Hank Murphy,76,733,K,314,B4,2,1,4,1,-0.98%,0.98%,0,0,0,66,6,2,MTL,COL,K,K,K,1
Kirby Birch,1800,835,Joey McCarty,390,212,PO,377,T5,0,0,4,1,-2.30%,2.30%,0,0,0,67,6,2,COL,MTL,PO,PO,K,1
Edward Duncan,620,537,Joey McCarty,390,37,LGO,500,T5,1,0,4,1,-1.67%,1.67%,0,0,0,67,6,2,COL,MTL,LGO,LGO,LGO,1
Vinny Vedecci,2,920,Joey McCarty,390,926,HR,6,T5,2,0,4,1,4.56%,-4.56%,1,1,1,67,6,2,COL,MTL,HR,HR,HR,1
Mecha Vulfzilla,265,1000,Joey McCarty,390,466,LGO,466,T5,2,0,4,2,-1.93%,1.93%,0,0,0,67,6,2,COL,MTL,LGO,LGO,LGO,1
Emerson Austin,703,185,Hank Murphy,76,916,K,269,B5,0,0,4,2,-0.67%,0.67%,0,0,0,68,6,2,MTL,COL,K,FO,FO,1
Hannibal Bligh,1724,880,Hank Murphy,76,307,RGO,427,B5,1,0,4,2,-0.64%,0.64%,0,0,0,68,6,2,MTL,COL,RGO,RGO,RGO,1
Alaric Davis,697,575,Hank Murphy,76,613,2B,38,B5,2,0,4,2,0.97%,-0.97%,0,0,0,68,6,2,MTL,COL,2B,2B,2B,1
Iris Solstice,401,12,Hank Murphy,76,284,K,272,B5,2,2,4,2,-1.48%,1.48%,0,0,0,68,6,2,MTL,COL,K,K,FO,1
Jason Varitek,1810,160,Joey McCarty,390,402,FO,242,T6,0,0,4,2,-3.81%,3.81%,0,0,0,69,6,2,COL,MTL,FO,FO,FO,1
Pedro Cerrano-Spaz,1798,97,Joey McCarty,390,402,K,305,T6,1,0,4,2,-2.88%,2.88%,0,0,0,69,6,2,COL,MTL,K,K,K,1
Dick McScrotington,81,5,Joey McCarty,390,478,LGO,473,T6,2,0,4,2,-1.67%,1.67%,0,0,0,69,6,2,COL,MTL,LGO,LGO,LGO,1
Jeter O'Cola,739,37,Willoughby Hoose,112,701,K,336,T1,0,0,0,0,-2.51%,2.51%,0,0,0,70,7,2,OAK,HOU,K,K,K,1
Pork Torkleton,1699,187,Willoughby Hoose,112,233,2B,46,T1,1,0,0,0,4.65%,-4.65%,0,1,1,70,7,2,OAK,HOU,2B,2B,2B,1
Queue Jay,272,343,Willoughby Hoose,112,877,LGO,466,T1,1,2,0,0,-3.78%,3.78%,0,0,0,70,7,2,OAK,HOU,LGO,LGO,LGO,1
Baba Ganoosh,14,372,Willoughby Hoose,112,419,2B,47,T1,2,2,0,0,11.79%,-11.79%,1,0,0,70,7,2,OAK,HOU,2B,3B,2B,1
Red Arrow,547,666,Willoughby Hoose,112,378,K,288,T1,2,2,0,1,-4.22%,4.22%,0,0,0,70,7,2,OAK,HOU,K,K,K,1
Sam Wood,108,123,Maverick Jaxon Gambler,152,709,RGO,414,B1,0,0,0,1,-2.79%,2.79%,0,0,0,71,7,2,HOU,OAK,RGO,RGO,RGO,1
Ola Gjeilo,119,883,Maverick Jaxon Gambler,152,504,RGO,379,B1,1,0,0,1,-2.36%,2.36%,0,0,0,71,7,2,HOU,OAK,RGO,PO,PO,1
Streetlamp LeMoose,1734,801,Maverick Jaxon Gambler,152,41,K,240,B1,2,0,0,1,-1.88%,1.88%,0,0,0,71,7,2,HOU,OAK,K,K,FO,1
Cali Guerensk,1729,959,Willoughby Hoose,112,906,2B,53,T2,0,0,0,1,5.58%,-5.58%,0,0,0,72,7,2,OAK,HOU,2B,2B,2B,1
Assassin Xekutioner,271,95,Willoughby Hoose,112,477,PO,382,T2,0,2,0,1,-3.75%,3.75%,0,0,0,72,7,2,OAK,HOU,PO,PO,PO,1
Nickey Hallaway,2225,250,Willoughby Hoose,112,159,BB,91,T2,1,2,0,1,1.39%,-1.39%,0,0,0,72,7,2,OAK,HOU,BB,BB,1B,1
Jerry Jingles,146,666,Willoughby Hoose,112,348,K,318,T2,1,4,0,1,-3.19%,3.19%,0,0,0,72,7,2,OAK,HOU,K,K,K,1
Jeter O'Cola,739,928,Willoughby Hoose,112,580,K,348,T2,2,4,0,1,-6.01%,6.01%,0,0,0,72,7,2,OAK,HOU,K,K,K,1
Riles McGiles,122,55,Maverick Jaxon Gambler,152,327,K,272,B2,0,0,0,1,-3.11%,3.11%,0,0,0,73,7,2,HOU,OAK,K,K,FO,1
Rocco Rudnikov,114,256,Maverick Jaxon Gambler,152,903,K,353,B2,1,0,0,1,-2.69%,2.69%,0,0,0,73,7,2,HOU,OAK,K,K,K,1
