Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,Pitcher Responsible for Runner on 3rd Who Scored,Pitcher Responsible for Runner on 2nd Who Scored,Pitcher Responsible for Runner on 1st Who Scored,Pitcher Responsible for Batter Who Scored,PA Type
Matias Thagod,2723,501,Superbone Threefinger,413,696,FO,195,T2,0,0,0,0,-2.72%,2.72%,0,0,7,3,1,NYY,CLE,FO,FO,FO,,,,,1
Curtis Dingleberry,3436,420,Superbone Threefinger,413,684,K,264,T2,1,0,0,0,-2.40%,2.40%,0,0,7,3,1,NYY,CLE,K,K,FO,,,,,1
Saitoo Syde,814,112,Francis Swagger,610,742,K,370,T1,0,0,0,0,-2.51%,2.51%,0,0,8,4,1,TOR,DET,K,K,K,,,,,1
Bloop Squibber,3393,621,Francis Swagger,610,183,RGO,438,T1,1,0,0,0,-2.18%,2.18%,0,0,8,4,1,TOR,DET,RGO,RGO,RGO,,,,,1
Graham Grams,400,238,Francis Swagger,610,916,K,322,T1,2,0,0,0,-1.76%,1.76%,0,0,8,4,1,TOR,DET,K,K,K,,,,,1
Dusty Jabroni,2852,992,S.A.R. Dinka,395,295,K,303,B1,0,0,0,0,-2.48%,2.48%,0,0,9,4,1,DET,TOR,K,K,K,,,,,1
Sammy Scully,2518,77,S.A.R. Dinka,395,287,FO,210,B1,1,0,0,0,-2.17%,2.17%,0,0,9,4,1,DET,TOR,FO,FO,FO,,,,,1
Sid Hugo V,3032,67,Artanis Jones,37,256,BB,189,T1,0,0,0,0,2.91%,-2.91%,0,0,10,5,1,STL,FLA,BB,FO,FO,,,,,1
Shmitty Von Flabbergasted,3092,345,Artanis Jones,37,456,1B,111,T1,0,1,0,0,5.56%,-5.56%,0,0,10,5,1,STL,FLA,1B,BB,1B,,,,,1
Stan Mann,357,136,Artanis Jones,37,356,FO,220,T1,0,4,0,0,-4.44%,4.44%,0,0,10,5,1,STL,FLA,FO,FO,FO,,,,,1
Chooch Suzuka,3435,750,Artanis Jones,37,530,FO,220,T1,1,4,0,0,-3.93%,3.93%,0,0,10,5,1,STL,FLA,FO,FO,FO,,,,,1
Copernicus Hel,3016,30,Artanis Jones,37,267,FO,237,T1,2,4,0,0,-6.55%,6.55%,0,0,10,5,1,STL,FLA,FO,FO,FO,,,,,1
Casper Greenwell,2825,889,DV DOOM,3029,173,K,284,B1,0,0,0,0,-2.48%,2.48%,0,0,11,5,1,FLA,STL,K,K,FO,,,,,1
Anthony Esposito III,2950,250,DV DOOM,3029,733,LGO,483,B1,1,0,0,0,-2.17%,2.17%,0,0,11,5,1,FLA,STL,LGO,LGO,LGO,,,,,1
Demetrios Ooga,180,68,DV DOOM,3029,617,RGO,451,B1,2,0,0,0,-1.79%,1.79%,0,0,11,5,1,FLA,STL,RGO,RGO,LGO,,,,,1
Mack Quackerson,2834,967,Artanis Jones,37,602,K,365,T2,0,0,0,0,-2.72%,2.72%,0,0,12,5,1,STL,FLA,K,K,K,,,,,1
Greggy Gabagool,3237,717,Chester Einhorn,2390,553,BB,164,T1,0,0,0,0,2.91%,-2.91%,0,0,13,6,1,ANA,HOU,BB,BB,BB,,,,,1
Greggy Gabagool,3237,101,Chester Einhorn,2390,507,CS,406,T1,0,1,0,0,-5.42%,5.42%,0,0,13,6,1,ANA,HOU,CS 2B,CS 2B,CS,,,,,4
Fausto Herrera,3428,35,Chester Einhorn,2390,613,RGO,422,T1,1,0,0,0,-2.18%,2.18%,0,0,13,6,1,ANA,HOU,RGO,RGO,RGO,,,,,1
Frankie Gusts,2691,629,Chester Einhorn,2390,927,K,298,T1,2,0,0,0,-1.76%,1.76%,0,0,13,6,1,ANA,HOU,K,K,K,,,,,1
Ezra Wind,3226,277,Tanzig Nordic,2991,648,PO,371,B1,0,0,0,0,-2.48%,2.48%,0,0,14,6,1,HOU,ANA,PO,PO,K,,,,,1
Foul Ball Felix,3321,955,Tanzig Nordic,2991,907,2B,48,B1,1,0,0,0,4.73%,-4.73%,0,1,14,6,1,HOU,ANA,2B,2B,2B,,,,,1
Socks Maybe,3381,555,Tanzig Nordic,2991,873,K,318,B1,1,2,0,0,-3.77%,3.77%,0,0,14,6,1,HOU,ANA,K,K,K,,,,,1
Kris Kringle,683,521,Tanzig Nordic,2991,467,2B,54,B1,2,2,0,0,12.11%,-12.11%,1,0,14,6,1,HOU,ANA,2B,2B,2B,,2991,,,1
Fred Fredericks,3441,71,Tanzig Nordic,2991,857,FO,214,B1,2,2,1,0,-4.01%,4.01%,0,0,14,6,1,HOU,ANA,FO,FO,FO,,,,,1
Cilantro Onataco,1834,45,Gray Goose McGillicuddy,1961,818,FO,227,T1,0,0,0,0,-2.51%,2.51%,0,0,15,7,1,BAL,KCR,FO,FO,FO,,,,,1
Alph Overdale,3255,711,Gray Goose McGillicuddy,1961,337,RGO,374,T1,1,0,0,0,-2.18%,2.18%,0,0,15,7,1,BAL,KCR,RGO,RGO,K,,,,,1
Ichiro Rose,2997,450,Gray Goose McGillicuddy,1961,10,LGO,440,T1,2,0,0,0,-1.76%,1.76%,0,0,15,7,1,BAL,KCR,LGO,LGO,RGO,,,,,1
Big Vol,362,701,Mason Spurs,103,598,1B,103,B1,0,0,0,0,2.76%,-2.76%,0,1,16,7,1,KCR,BAL,1B,1B,1B,,,,,1
Big Vol,362,125,Mason Spurs,103,308,SB,183,B1,0,1,0,0,3.57%,-3.57%,0,0,16,7,1,KCR,BAL,STEAL 2B,STEAL 2B,SB,,,,,4
Mongy Whumpus,130,230,Mason Spurs,103,220,HR,10,B1,0,2,0,0,14.98%,-14.98%,2,1,16,7,1,KCR,BAL,HR,HR,HR,,103,,103,1
Larry Longshot,32,911,Mason Spurs,103,569,RGO,342,B1,0,0,2,0,-1.37%,1.37%,0,0,16,7,1,KCR,BAL,RGO,RGO,K,,,,,1
George Hankinson,3426,777,Mason Spurs,103,698,1B,79,B1,1,0,2,0,1.20%,-1.20%,0,0,16,7,1,KCR,BAL,1B,1B,1B,,,,,1
Henry Thibodeau,2752,707,Mason Spurs,103,453,K,254,B1,1,1,2,0,-1.39%,1.39%,0,0,16,7,1,KCR,BAL,K,K,FO,,,,,1
George Hankinson,3426,1,Mason Spurs,103,736,SB,265,B1,2,1,2,0,0.48%,-0.48%,0,0,16,7,1,KCR,BAL,STEAL 2B,STEAL 2B,SB,,,,,4
Nicholas Fouss,1776,149,Mason Spurs,103,920,FO,229,B1,2,2,2,0,-2.84%,2.84%,0,0,16,7,1,KCR,BAL,FO,FO,FO,,,,,1
