Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,Pitcher Responsible for Runner on 3rd Who Scored,Pitcher Responsible for Runner on 2nd Who Scored,Pitcher Responsible for Runner on 1st Who Scored,Pitcher Responsible for Batter Who Scored,PA Type
Jason Sensation,3021,1,Guillermo Griffey III,2829,696,K,305,T3,2,3,0,2,-3.41%,3.41%,0,0,39,4,1,ATL,STL,K,K,K,,,,,1
Stan Mann,357,150,Triscuit McBiskit,2855,531,RGO,381,B3,0,0,0,2,-3.28%,3.28%,0,0,40,4,1,STL,ATL,RGO,RGO,PO,,,,,1
Basil,2785,177,Triscuit McBiskit,2855,40,BB,137,B3,1,0,0,2,3.33%,-3.33%,0,0,40,4,1,STL,ATL,BB,FO,1B,,,,,1
Jacques François,2754,85,Triscuit McBiskit,2855,754,PO,331,B3,1,1,0,2,-3.40%,3.40%,0,0,40,4,1,STL,ATL,PO,PO,K,,,,,1
Thomas Nova,1,150,Triscuit McBiskit,2855,1,BB,149,B3,2,1,0,2,4.12%,-4.12%,0,0,40,4,1,STL,ATL,BB,FO,BB,,,,,1
Dayman Nightman,2833,109,Triscuit McBiskit,2855,833,K,276,B3,2,4,0,2,-8.90%,8.90%,0,0,40,4,1,STL,ATL,K,K,FO,,,,,1
Kenny Kawaguchi,783,433,Guillermo Griffey III,2829,599,BB,166,T4,0,0,0,2,1.47%,-1.47%,0,0,41,4,1,ATL,STL,BB,FO,BB,,,,,1
Mack MacMack,2651,464,Guillermo Griffey III,2829,777,K,313,T4,0,1,0,2,-1.68%,1.68%,0,0,41,4,1,ATL,STL,K,K,K,,,,,1
Laars Nootbaar jr,2730,650,Guillermo Griffey III,2829,199,DP,451,T4,1,1,0,2,-4.02%,4.02%,0,0,41,4,1,ATL,STL,LGO,LGO,DP,,,,,1
Buzz Carlton,2800,742,Triscuit McBiskit,2855,800,2B,58,B4,0,0,0,2,9.51%,-9.51%,0,1,42,4,1,STL,ATL,2B,2B,2B,,,,,1
Salsa Steve,2835,787,Triscuit McBiskit,2855,835,1B,48,B4,0,2,0,2,9.43%,-9.43%,0,0,42,4,1,STL,ATL,1B,1B,2B,,,,,1
