Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Rich Poorman,274,246,Derek Bongiovanni,109,791,LGO,455,B2,0,0,0,0,-2.72%,2.72%,0,0,2383,203,14,OAK,HOU,LGO,LGO,LGO,1
Jeter O'Cola,739,282,Derek Bongiovanni,109,385,1B,103,B2,1,0,0,0,2.47%,-2.47%,0,0,2383,203,14,OAK,HOU,1B,1B,1B,1
Grand Salami,781,222,Derek Bongiovanni,109,629,DP,407,B2,1,1,0,0,-6.88%,6.88%,0,0,2383,203,14,OAK,HOU,RGO,RGO,DP,1
Luap Renraw,118,666,WILL THE THRILL,745,42,RGO,376,T3,0,0,0,0,-3.03%,3.03%,0,0,2384,203,14,HOU,OAK,RGO,PO,K,1
Rex Kidobi,126,950,WILL THE THRILL,745,136,FO,186,T3,1,0,0,0,-2.74%,2.74%,0,0,2384,203,14,HOU,OAK,FO,FO,FO,1
Sam Wood,108,433,WILL THE THRILL,745,902,LGO,469,T3,2,0,0,0,-2.31%,2.31%,0,0,2384,203,14,HOU,OAK,LGO,LGO,LGO,1
A.Z. Chapman,14,810,Derek Bongiovanni,109,735,BB,75,B3,0,0,0,0,3.09%,-3.09%,0,0,2385,203,14,OAK,HOU,BB,1B,1B,1
Antonin Periwinkle,185,271,Derek Bongiovanni,109,928,K,343,B3,0,1,0,0,-3.46%,3.46%,0,0,2385,203,14,OAK,HOU,K,K,K,1
Sandy Zipp,701,233,Derek Bongiovanni,109,104,FO,129,B3,1,1,0,0,-3.10%,3.10%,0,0,2385,203,14,OAK,HOU,FO,BB,1B,1
Shygen Tinybeard,712,717,Derek Bongiovanni,109,230,LGO,487,B3,2,1,0,0,-4.64%,4.64%,0,0,2385,203,14,OAK,HOU,LGO,LGO,LGO,1
Rocco Rudnikov,114,868,WILL THE THRILL,745,696,FO,172,T4,0,0,0,0,-3.58%,3.58%,0,0,2386,203,14,HOU,OAK,FO,FO,BB,1
Riles McGiles,122,211,WILL THE THRILL,745,472,K,261,T4,1,0,0,0,-3.19%,3.19%,0,0,2386,203,14,HOU,OAK,K,K,FO,1
Iama Human,520,750,WILL THE THRILL,745,909,FO,159,T4,2,0,0,0,-2.75%,2.75%,0,0,2386,203,14,HOU,OAK,FO,FO,BB,1
Cal Otter,546,700,Derek Bongiovanni,109,782,1B,82,B4,0,0,0,0,3.11%,-3.11%,0,0,2387,203,14,OAK,HOU,1B,1B,1B,1
Cal Otter,546,500,Derek Bongiovanni,109,29,CS,471,B4,0,1,0,0,-6.54%,6.54%,0,0,2387,203,14,OAK,HOU,CS 2B,CS 2B,CS,4
Red Arrow,547,342,Derek Bongiovanni,109,597,FO,255,B4,1,0,0,0,-3.17%,3.17%,0,0,2387,203,14,OAK,HOU,FO,FO,FO,1
Rich Poorman,274,142,Derek Bongiovanni,109,162,3B,20,B4,2,0,0,0,4.56%,-4.56%,0,0,2387,203,14,OAK,HOU,3B,HR,HR,1
Jeter O'Cola,739,123,Derek Bongiovanni,109,439,K,316,B4,2,3,0,0,-7.43%,7.43%,0,0,2387,203,14,OAK,HOU,K,K,K,1
Fuzzy Spit,501,233,WILL THE THRILL,745,245,HR,12,T5,0,0,0,0,23.00%,-23.00%,1,1,2388,203,14,HOU,OAK,HR,HR,HR,1
Ola Gjeilo,119,666,WILL THE THRILL,745,188,LGO,478,T5,0,0,0,1,-2.29%,2.29%,0,0,2388,203,14,HOU,OAK,LGO,LGO,LGO,1
Ayden Davis,696,578,WILL THE THRILL,745,23,LGO,445,T5,1,0,0,1,-2.08%,2.08%,0,0,2388,203,14,HOU,OAK,LGO,LGO,RGO,1
Luap Renraw,118,666,WILL THE THRILL,745,47,RGO,381,T5,2,0,0,1,-1.91%,1.91%,0,0,2388,203,14,HOU,OAK,RGO,RGO,PO,1
Grand Salami,781,899,Derek Bongiovanni,109,349,LGO,450,B5,0,0,0,1,-5.77%,5.77%,0,0,2389,203,14,OAK,HOU,LGO,LGO,RGO,1
A.Z. Chapman,14,70,Derek Bongiovanni,109,739,K,331,B5,1,0,0,1,-5.16%,5.16%,0,0,2389,203,14,OAK,HOU,K,K,K,1
Jimjon Jonjim,272,202,Derek Bongiovanni,109,919,K,283,B5,2,0,0,1,-4.45%,4.45%,0,0,2389,203,14,OAK,HOU,K,FO,FO,1
Rex Kidobi,126,777,WILL THE THRILL,745,733,2B,44,T6,0,0,0,1,4.17%,-4.17%,0,1,2390,203,14,HOU,OAK,2B,2B,2B,1
Sam Wood,108,22,Jeff Steelflex,268,114,BB,92,T6,0,2,0,1,0.41%,-0.41%,0,1,2390,203,14,HOU,OAK,BB,1B,1B,1
Rocco Rudnikov,114,522,Jeff Steelflex,268,921,PO,399,T6,0,4,0,1,-2.63%,2.63%,0,0,2390,203,14,HOU,OAK,PO,K,PO,1
Riles McGiles,122,322,Jeff Steelflex,268,382,2B,60,T6,1,4,0,1,10.67%,-10.67%,1,1,2390,203,14,HOU,OAK,2B,2B,2B,1
Iama Human,520,150,Jeff Steelflex,268,165,HR,15,T6,1,6,0,2,4.50%,-4.50%,3,1,2390,203,14,HOU,OAK,HR,HR,HR,1
Fuzzy Spit,501,786,Rub A. Chikin,2,295,LGO,491,T6,1,0,0,5,-0.07%,0.07%,0,0,2390,203,14,HOU,OAK,LGO,LGO,LGO,1
Ola Gjeilo,119,244,Rub A. Chikin,2,730,LGO,486,T6,2,0,0,5,-0.06%,0.06%,0,0,2390,203,14,HOU,OAK,LGO,LGO,LGO,1
