Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Palfo Salvy,2674,375,Jameson Poe,310,75,Bunt Sac,300,B6,0,2,5,5,,,0,0,35,3,2,SCU,NUT,Bunt Sac,Bunt Sac,,3
Francesco Hardgust,2691,,Dutch Boggs,2625,,IBB,,B6,1,3,5,5,,,0,0,35,3,2,SCU,NUT,IBB,IBB,,8
Francesco Hardgust,2691,550,Dutch Boggs,2625,746,SB,196,B6,1,5,5,5,,,0,0,35,3,2,SCU,NUT,Steal 2B,Steal 2B,,5
Justin P. L. Griffin,2740,,Dutch Boggs,2625,,IBB,,B6,1,6,5,5,,,0,0,35,3,2,SCU,NUT,IBB,IBB,,8
Kenny Kawaguchi,783,540,Dutch Boggs,2625,887,DP,347,B6,1,7,5,5,,,0,0,35,3,2,SCU,NUT,RGO,RGO,,1
Sid Houn,2258,189,Lee Luda,2720,673,LGO,484,T7,0,2,5,5,,,0,0,36,3,2,NUT,SCU,LGO,LGO,,1
Mark Schihne,2544,939,Lee Luda,2720,904,HR,35,T7,1,2,5,5,,,2,1,36,3,2,NUT,SCU,HR,HR,,1
Stu PunDous,2487,738,Lee Luda,2720,875,BB,137,T7,1,0,5,7,,,0,1,36,3,2,NUT,SCU,BB,BB,,1
Stu PunDous,2487,369,Teddy Bigstick,2722,665,SB,296,T7,1,1,5,7,,,0,0,36,3,2,NUT,SCU,Steal 2B,Steal 2B,,4
Dutch Boggs,2625,878,Teddy Bigstick,2722,628,FO,250,T7,1,2,5,7,,,0,0,36,3,2,NUT,SCU,FO,FO,,1
Freddie Confinedman,2499,636,Teddy Bigstick,2722,772,BB,136,T7,2,2,5,7,,,0,1,36,3,2,NUT,SCU,BB,BB,,1
Doc Otis,2256,336,Teddy Bigstick,2722,381,2B,45,T7,2,4,5,7,,,2,1,36,3,2,NUT,SCU,2B,2B,,1
Jerome Peterson,2641,26,Teddy Bigstick,2722,6,HR,20,T7,2,2,5,9,,,2,1,36,3,2,NUT,SCU,HR,HR,,1
Nooooot,2555,643,Teddy Bigstick,2722,336,RGO,307,T7,2,0,5,11,,,0,0,36,3,2,NUT,SCU,RGO,RGO,,1
Dottie,770,215,Dutch Boggs,2625,240,2B,25,B7,0,2,5,11,,,1,1,37,3,2,SCU,NUT,2B,2B,,1
Lee Luda,2720,410,Dutch Boggs,2625,480,1B,70,B7,0,2,6,11,,,0,0,37,3,2,SCU,NUT,1B,1B,,1
Lee Luda,2720,300,Dutch Boggs,2625,907,CS,393,B7,0,5,6,11,,,0,0,37,3,2,SCU,NUT,CS 2B,CS 2B,,5
Laars Nootbaar jr,2730,289,Dutch Boggs,2625,192,1B,97,B7,1,3,6,11,,,1,1,37,3,2,SCU,NUT,1B,1B,,1
Enrique Rosales,2734,800,Dutch Boggs,2625,111,SB,311,B7,1,1,7,11,,,0,0,37,3,2,SCU,NUT,Steal 2B,Steal 2B,,4
Ovaltine,2542,717,Dutch Boggs,2625,786,1B,69,B7,1,2,7,11,,,0,1,37,3,2,SCU,NUT,1B,1B,,1
Ovaltine,2542,42,Mark Schihne,2544,56,SB,14,B7,1,5,7,11,,,0,0,37,3,2,SCU,NUT,Steal 2B,Steal 2B,,5
Raylees D. Kraken,2225,925,Mark Schihne,2544,951,2B,26,B7,1,6,7,11,,,2,1,37,3,2,SCU,NUT,2B,2B,,1
Palfo Salvy,2674,420,Mark Schihne,2544,979,LGO,441,B7,1,2,9,11,,,0,0,37,3,2,SCU,NUT,LGO,LGO,,1
Brent Chillwater,2689,495,Mark Schihne,2544,512,HR,17,B7,2,2,9,11,,,2,1,37,3,2,SCU,NUT,HR,HR,,1
Justin P. L. Griffin,2740,745,Jerome Peterson,2641,701,2B,44,B7,2,0,11,11,,,0,1,37,3,2,SCU,NUT,2B,2B,,1
Kenny Kawaguchi,783,856,Jerome Peterson,2641,904,2B,48,B7,2,2,11,11,,,1,0,37,3,2,SCU,NUT,2B,2B,,1
