Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
AR Margiela,1711,633,Dillon Cheer,1686,324,K,309,B2,0,1,1,3,-4.66%,4.66%,0,0,165,22,6,WSU,CCU,K,K,K,1
Mac Daddy,1714,477,Dillon Cheer,1686,767,K,290,B2,1,1,1,3,-4.18%,4.18%,0,0,165,22,6,WSU,CCU,K,K,K,1
Jordan Alomar,1750,,Dillon Cheer,1686,,Auto BB,,B2,2,1,1,3,4.70%,-4.70%,0,0,165,22,6,WSU,CCU,Auto BB,Auto BB,Auto BB,10
James Jameson LXIX,1722,178,Dillon Cheer,1686,403,FO,225,B2,2,4,1,3,-10.06%,10.06%,0,0,165,22,6,WSU,CCU,FO,FO,FO,1
JT Longbottoms,1803,322,Alexander Hamilton II,553,104,FO,218,T3,0,0,1,3,-1.31%,1.31%,0,0,166,22,6,CCU,WSU,FO,FO,FO,1
Albert Ichiro Pujolsuzuki,1796,612,Alexander Hamilton II,553,572,2B,40,T3,1,0,1,3,2.41%,-2.41%,0,0,166,22,6,CCU,WSU,2B,2B,2B,1
Truck Month,1794,714,Alexander Hamilton II,553,73,K,359,T3,1,2,1,3,-1.95%,1.95%,0,0,166,22,6,CCU,WSU,K,K,K,1
Late Train Dave Vein,1691,345,Alexander Hamilton II,553,234,BB,111,T3,2,2,1,3,0.82%,-0.82%,0,0,166,22,6,CCU,WSU,BB,BB,1B,1
Mantis Toboggan,1802,880,Alexander Hamilton II,553,546,K,334,T3,2,4,1,3,-3.60%,3.60%,0,0,166,22,6,CCU,WSU,K,K,K,1
Steve Robs,1774,227,Dillon Cheer,1686,509,K,282,B3,0,0,1,3,-4.27%,4.27%,0,0,167,22,6,WSU,CCU,K,K,FO,1
Henryk Szydlowski,1720,760,Jin Yang,1695,411,PO,349,B3,1,0,1,3,-3.45%,3.45%,0,0,167,22,6,WSU,CCU,PO,PO,K,1
Streetlamp LeMoose,1734,863,Jin Yang,1695,109,K,246,B3,2,0,1,3,-2.42%,2.42%,0,0,167,22,6,WSU,CCU,K,K,FO,1
Grigury Polinko,452,520,Alexander Hamilton II,553,440,1B,80,T4,0,0,1,3,0.67%,-0.67%,0,1,168,22,6,CCU,WSU,1B,1B,1B,1
Ron Swanson,1696,500,Alexander Hamilton II,553,103,PO,397,T4,0,1,1,3,-0.81%,0.81%,0,0,168,22,6,CCU,WSU,PO,PO,PO,1
Calcium “Cal” McTrowell,1733,666,Alexander Hamilton II,553,602,1B,64,T4,1,1,1,3,1.09%,-1.09%,0,1,168,22,6,CCU,WSU,1B,1B,2B,1
Guido Ligiorno,1830,69,Alexander Hamilton II,553,805,FO,264,T4,1,4,1,3,-1.03%,1.03%,0,0,168,22,6,CCU,WSU,FO,FO,FO,1
JT Longbottoms,1803,143,Alexander Hamilton II,553,201,2B,58,T4,2,4,1,3,6.63%,-6.63%,2,0,168,22,6,CCU,WSU,2B,2B,2B,1
Albert Ichiro Pujolsuzuki,1796,500,Alexander Hamilton II,553,201,K,299,T4,2,2,1,5,-0.34%,0.34%,0,0,168,22,6,CCU,WSU,K,K,K,1
"Adrian ""Pudge"" Young",1772,825,Jin Yang,1695,595,PO,230,B4,0,0,1,5,-1.19%,1.19%,0,0,169,22,6,WSU,CCU,PO,PO,FO,1
Trevor Rose,1725,777,Jin Yang,1695,715,1B,62,B4,1,0,1,5,1.33%,-1.33%,0,0,169,22,6,WSU,CCU,1B,1B,2B,1
AR Margiela,1711,913,Jin Yang,1695,692,K,221,B4,1,1,1,5,-1.57%,1.57%,0,0,169,22,6,WSU,CCU,K,K,FO,1
Mac Daddy,1714,420,Jin Yang,1695,864,RGO,444,B4,2,1,1,5,0.96%,-0.96%,0,0,169,22,6,WSU,CCU,RGO,RGO,RGO,1
Truck Month,1794,445,Alexander Hamilton II,553,701,FO,256,T5,0,0,1,5,-0.18%,0.18%,0,0,170,22,6,CCU,WSU,FO,FO,FO,1
