Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Davoin Shower-Handel,1949,753,Six,2474,499,FO,254,T3,0,4,9,4,-2.25%,2.25%,0,0,110,10,3,KCR,OAK,FO,FO,,1
Mattie Christewson,2598,486,Six,2474,308,FO,178,T3,1,4,9,4,-2.76%,2.76%,0,0,110,10,3,KCR,OAK,FO,FO,,1
Connor Morgan,362,967,Six,2474,4,2B,37,T3,2,4,9,4,7.23%,-7.23%,2,0,110,10,3,KCR,OAK,2B,2B,,1
Baron Butzenkatzen-Butzenkatzen,127,444,Six,2474,233,FO,211,T3,2,2,9,6,-3.39%,3.39%,0,0,110,10,3,KCR,OAK,FO,FO,,1
Sid Houn,2258,788,Doc Otis,2256,232,LGO,444,B3,0,0,9,6,-0.81%,0.81%,0,0,111,10,3,OAK,KCR,LGO,LGO,,1
Stu PunDous,2487,585,Doc Otis,2256,812,FO,227,B3,1,0,9,6,-0.68%,0.68%,0,0,111,10,3,OAK,KCR,FO,FO,,1
Boots Poffenberger,2490,247,Doc Otis,2256,3,FO,244,B3,2,0,9,6,-0.65%,0.65%,0,0,111,10,3,OAK,KCR,FO,FO,,1
Indy Sayne,151,93,Six,2474,12,1B,81,T4,0,0,9,6,3.40%,-3.40%,0,0,112,10,3,KCR,OAK,1B,1B,,1
Indy Sayne,151,250,Six,2474,567,CS,317,T4,0,1,9,6,-5.74%,5.74%,0,0,112,10,3,KCR,OAK,CS 2B,CS 2B,,4
Egor Kucherov,2342,944,Six,2474,703,FO,241,T4,1,0,9,6,-1.82%,1.82%,0,0,112,10,3,KCR,OAK,FO,FO,,1
Tate Spudworth IV,2496,555,Six,2474,542,HR,13,T4,2,0,9,6,6.33%,-6.33%,1,1,112,10,3,KCR,OAK,HR,HR,,1
Doc Crudelly,1811,853,Six,2474,376,LGO,477,T4,2,0,9,7,-1.89%,1.89%,0,0,112,10,3,KCR,OAK,LGO,LGO,,1
Lloyd Gross,135,327,Doc Otis,2256,326,HR,1,B4,0,0,9,7,5.67%,-5.67%,1,1,113,10,3,OAK,KCR,HR,HR,,1
"Dr. Chaos, Esq.",2495,928,Doc Otis,2256,501,RGO,427,B4,0,0,10,7,-0.54%,0.54%,0,0,113,10,3,OAK,KCR,RGO,RGO,,1
Stumpy Malone,2517,223,Doc Otis,2256,610,PO,387,B4,1,0,10,7,-0.53%,0.53%,0,0,113,10,3,OAK,KCR,PO,PO,,1
