Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,Pitcher Responsible for Runner on 3rd Who Scored,Pitcher Responsible for Runner on 2nd Who Scored,Pitcher Responsible for Runner on 1st Who Scored,Pitcher Responsible for Batter Who Scored,PA Type
Brent Chillwater,2689,11,Bill Stokes,2539,41,HR,30,T5,0,0,1,3,6.97%,-6.97%,1,1,148,13,3,BAG,CDT,HR,HR,2B,,,,2539,1
Matias Thagod,2723,65,Bill Stokes,2539,601,RGO,464,T5,0,0,1,4,-0.76%,0.76%,0,0,148,13,3,BAG,CDT,RGO,RGO,LGO,,,,,1
Doc Otis,2256,620,Bill Stokes,2539,827,FO,207,T5,1,0,1,4,-0.66%,0.66%,0,0,148,13,3,BAG,CDT,FO,FO,FO,,,,,1
Walter Yeller Weller,647,444,Trevor Rosé,1725,322,BB,122,T5,2,0,1,4,0.68%,-0.68%,0,0,148,13,3,BAG,CDT,BB,BB,1B,,,,,1
Mike LaViva,2761,727,Trevor Rosé,1725,121,PO,394,T5,2,1,1,4,-1.26%,1.26%,0,0,148,13,3,BAG,CDT,PO,PO,PO,,,,,1
Mike Litoris,2252,333,Tuck,163,586,FO,253,B5,0,0,1,4,-2.75%,2.75%,0,0,149,13,3,CDT,BAG,FO,FO,FO,,,,,1
Garfield Chubbs,2230,777,Tuck,163,333,RGO,444,B5,1,0,1,4,-2.12%,2.12%,0,0,149,13,3,CDT,BAG,RGO,RGO,RGO,,,,,1
Nate Kondylis,564,769,Tuck,163,444,K,325,B5,2,0,1,4,-1.22%,1.22%,0,0,149,13,3,CDT,BAG,K,PO,K,,,,,1
Jefferson Saelflex,268,556,Trevor Rosé,1725,22,LGO,466,T6,0,0,1,4,-0.37%,0.37%,0,0,150,13,3,BAG,CDT,LGO,LGO,LGO,,,,,1
Dutch Boggs,2625,414,Trevor Rosé,1725,898,LGO,484,T6,1,0,1,4,-0.37%,0.37%,0,0,150,13,3,BAG,CDT,LGO,LGO,LGO,,,,,1
Toastman,2663,700,Trevor Rosé,1725,855,FO,155,T6,2,0,1,4,-0.33%,0.33%,0,0,150,13,3,BAG,CDT,FO,FO,BB,,,,,1
Arson Judge,2634,555,Tuck,163,1,RGO,446,B6,0,0,1,4,-2.48%,2.48%,0,0,151,13,3,CDT,BAG,RGO,RGO,RGO,,,,,1
Superbone Threefinger,413,99,Tuck,163,606,LGO,493,B6,1,0,1,4,-1.65%,1.65%,0,0,151,13,3,CDT,BAG,LGO,LGO,LGO,,,,,1
