Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Dallas Houston,416,686,Sam Wood,108,611,2B,75,B3,2,1,3,1,7.64%,-7.64%,1,0,6,1,1,CIN,BER,2B,1B,,1
Dirtbag Darrell,262,278,Sam Wood,108,444,BB,166,B3,2,2,4,1,0.46%,-0.46%,0,0,6,1,1,CIN,BER,BB,FO,,1
Heavy Raine,40,333,Sam Wood,108,12,K,321,B3,2,4,4,1,-2.09%,2.09%,0,0,6,1,1,CIN,BER,K,K,,1
Triston Uzumaki,125,142,Skye McDowell,264,612,LGO,470,T4,0,0,4,1,-2.34%,2.34%,0,0,7,1,1,BER,CIN,LGO,LGO,,1
Harry Peritestes,117,710,Skye McDowell,264,42,K,332,T4,1,0,4,1,-1.82%,1.82%,0,0,7,1,1,BER,CIN,K,K,,1
Barney Turbo,28,332,Skye McDowell,264,611,FO,279,T4,2,0,4,1,-1.23%,1.23%,0,0,7,1,1,BER,CIN,FO,K,,1
Markus Wölfe,54,657,Sam Wood,108,899,K,242,B4,0,0,4,1,-0.54%,0.54%,0,0,8,1,1,CIN,BER,K,K,,1
Rapid Eagle,263,911,Sam Wood,108,1,1B,90,B4,1,0,4,1,0.34%,-0.34%,0,1,8,1,1,CIN,BER,1B,BB,,1
Thaddeus Gomorrah,41,999,Sam Wood,108,1,HR,2,B4,1,1,4,1,4.78%,-4.78%,2,1,8,1,1,CIN,BER,HR,HR,,1
Jered Bentley,420,500,Sam Wood,108,1,LGO,499,B4,1,0,6,1,-0.16%,0.16%,0,0,8,1,1,CIN,BER,LGO,LGO,,1
Takahiro Hirasawa,419,277,Sam Wood,108,256,HR,21,B4,2,0,6,1,1.01%,-1.01%,1,1,8,1,1,CIN,BER,HR,HR,,1
Rich Mahogany,265,654,Sam Wood,108,409,FO,245,B4,2,0,7,1,-0.07%,0.07%,0,0,8,1,1,CIN,BER,FO,K,,1
Kris Jaxon,152,5,Skye McDowell,264,542,RGO,463,T5,0,0,7,1,-0.36%,0.36%,0,0,9,1,1,BER,CIN,RGO,LGO,,1
Daniel Collins,149,12,Skye McDowell,264,327,FO,315,T5,1,0,7,1,-0.24%,0.24%,0,0,9,1,1,BER,CIN,FO,K,,1
Quint Kimbrel,20,510,Skye McDowell,264,747,FO,237,T5,2,0,7,1,-0.12%,0.12%,0,0,9,1,1,BER,CIN,FO,FO,,1
Dallas Houston,416,849,Sam Wood,108,11,BB,162,B5,0,0,7,1,-0.02%,0.02%,0,1,10,1,1,CIN,BER,BB,FO,,1
Dirtbag Darrell,262,603,Sam Wood,108,849,FO,246,B5,0,1,7,1,-0.02%,0.02%,0,0,10,1,1,CIN,BER,FO,K,,1
Heavy Raine,40,245,Sam Wood,108,1000,FO,245,B5,1,1,7,1,0.05%,-0.05%,0,0,10,1,1,CIN,BER,FO,K,,1
Markus Wölfe,54,266,Sam Wood,108,309,3B,43,B5,2,1,7,1,0.09%,-0.09%,1,0,10,1,1,CIN,BER,3B,3B,,1
Rapid Eagle,263,468,Sam Wood,108,43,K,425,B5,2,3,8,1,-0.02%,0.02%,0,0,10,1,1,CIN,BER,K,K,,1
Dallas Hamilton,153,69,Skye McDowell,264,389,K,320,T6,0,0,8,1,-0.08%,0.08%,0,0,11,1,1,BER,CIN,K,K,,1
Pablo Sanchez,120,888,Skye McDowell,264,1,1B,113,T6,1,0,8,1,0.06%,-0.06%,0,0,11,1,1,BER,CIN,1B,1B,,1
JT GarciaParr,27,385,Skye McDowell,264,888,DP,497,T6,1,1,8,1,-0.11%,0.11%,0,0,11,1,1,BER,CIN,LGO,LGO,,1
Caleb Aiken,324,29,Tim Spooneybarger,4,447,PO,418,T1,0,0,0,0,-2.51%,2.51%,0,0,12,2,1,FTP,LAN,PO,PO,,1
Jayson Burdwell,282,329,Tim Spooneybarger,4,845,LGO,484,T1,1,0,0,0,-2.18%,2.18%,0,0,12,2,1,FTP,LAN,LGO,LGO,,1
Buzz Schwinghammer,367,522,Tim Spooneybarger,4,345,BB,177,T1,2,0,0,0,1.98%,-1.98%,0,0,12,2,1,FTP,LAN,BB,FO,,1
Jeff Dingerhitter,298,479,Tim Spooneybarger,4,177,K,302,T1,2,1,0,0,-3.74%,3.74%,0,0,12,2,1,FTP,LAN,K,K,,1
