Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Scores,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Cybeast Falzar,2344,197,Arm N. Hammer,326,832,RGO,365,T1,2,0,0,0,-2.31%,2.31%,0,0,0,17,3,2,NEB,GT,RGO,RGO,K,1
Frederick Thunderpants,2371,562,LaCarpetron Dukemarriot,775,566,HR,4,B1,0,0,0,0,15.42%,-15.42%,1,1,1,18,3,2,GT,NEB,HR,HR,HR,1
Dick Sledge,2367,233,LaCarpetron Dukemarriot,775,926,K,307,B1,0,0,1,0,-2.04%,2.04%,0,0,0,18,3,2,GT,NEB,K,K,K,1
Theo Rodder,2353,402,LaCarpetron Dukemarriot,775,375,HR,27,B1,1,0,1,0,11.07%,-11.07%,1,1,1,18,3,2,GT,NEB,HR,HR,3B,1
Harvey Strays,2358,661,LaCarpetron Dukemarriot,775,993,K,332,B1,1,0,2,0,-1.19%,1.19%,0,0,0,18,3,2,GT,NEB,K,K,K,1
Anthony Billanti,2379,843,LaCarpetron Dukemarriot,775,446,PO,397,B1,2,0,2,0,-1.05%,1.05%,0,0,0,18,3,2,GT,NEB,PO,PO,PO,1
Richard Avery,2291,614,Arm N. Hammer,326,172,LGO,442,T2,0,0,2,0,-3.22%,3.22%,0,0,0,19,3,2,NEB,GT,LGO,LGO,RGO,1
Bosephis Alexander,2355,190,Arm N. Hammer,326,700,LGO,490,T2,1,0,2,0,-2.65%,2.65%,0,0,0,19,3,2,NEB,GT,LGO,LGO,LGO,1
Speven McDinkims,2364,586,Arm N. Hammer,326,462,BB,124,T2,2,0,2,0,2.58%,-2.58%,0,0,0,19,3,2,NEB,GT,BB,BB,1B,1
Chromosomatic Turbine,2391,16,Arm N. Hammer,326,311,K,295,T2,2,1,2,0,-4.47%,4.47%,0,0,0,19,3,2,NEB,GT,K,K,K,1
Kyl Saltzer,2384,432,LaCarpetron Dukemarriot,775,801,K,369,B2,0,0,2,0,-1.07%,1.07%,0,0,0,20,3,2,GT,NEB,K,K,K,1
Lou Bronco,2381,46,LaCarpetron Dukemarriot,775,572,LGO,474,B2,1,0,2,0,-0.97%,0.97%,0,0,0,20,3,2,GT,NEB,LGO,LGO,LGO,1
Hornet Hives,1946,523,LaCarpetron Dukemarriot,775,967,RGO,444,B2,2,0,2,0,-0.86%,0.86%,0,0,0,20,3,2,GT,NEB,RGO,RGO,RGO,1
Ayrton Bullseye,2396,222,Arm N. Hammer,326,500,RGO,278,T3,0,0,2,0,-3.57%,3.57%,0,0,0,21,3,2,NEB,GT,RGO,RGO,FO,1
tanguy chan,2393,666,Arm N. Hammer,326,206,LGO,460,T3,1,0,2,0,-2.82%,2.82%,0,0,0,21,3,2,NEB,GT,LGO,LGO,LGO,1
Adam  Page,2386,479,Arm N. Hammer,326,99,RGO,380,T3,2,0,2,0,-1.93%,1.93%,0,0,0,21,3,2,NEB,GT,RGO,RGO,PO,1
Gerald McCoy,2389,420,LaCarpetron Dukemarriot,775,291,BB,129,B3,0,0,2,0,0.61%,-0.61%,0,0,0,22,3,2,GT,NEB,BB,BB,1B,1
