Team,Opponent,Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,FO,SO,Auto K,PO,RGO,LGO,GIDP,SB,CS,H,TB,PA,R,RBI,RE24,WAR,WPA,Location
CIN,DET,11229,11,S11,16,1,1,1,1,1,0,2,4,0,0,6,2,1,0,0,4,10,19,2,2,-0.9970617042115572,-0.0308813062188276,0.0157,Home
CIN,FLA,4115,4,S4,8,1,0,0,1,2,0,5,3,0,3,3,3,1,0,0,2,5,21,1,1,-2.3376534788540244,-0.1560329092506978,-0.0059599999999999,Home
CIN,FLA,5039,5,S5,3,2,1,2,9,4,1,4,2,0,1,7,2,2,1,0,14,24,34,10,10,6.137399463806971,0.7493437220461917,0.5538,Away
CIN,FLA,7157,7,S7,11,0,1,0,3,4,0,3,7,0,3,1,3,1,0,0,4,6,25,0,0,-3.695445275322909,-0.2700508671237903,-0.2533999999999999,Home
CIN,FLA,8163,8,S8,11,1,1,1,2,4,0,4,7,0,1,3,2,1,0,0,5,11,26,2,2,-1.8941448891829311,-0.0897776907566854,-0.0081999999999999,Away
CIN,FLA,9050,9,S9,4,2,1,1,3,2,0,3,6,0,1,4,4,0,1,0,7,16,27,3,3,-0.8890314304041054,0.0108480886129266,0.0488,Away
CIN,FLA,11199,11,S11,14,0,1,2,4,1,0,3,4,0,6,1,3,1,0,0,7,11,25,3,3,-0.5964740450538686,0.0309116273397816,-0.0695,Away
CIN,HOU,2067,2,S2,7,1,0,1,3,1,0,1,6,0,1,4,3,0,0,0,5,9,21,2,2,-1.022501081782778,-0.0209238150088107,0.0047999999999999,Home
CIN,HOU,3025,3,S3,3,2,0,1,0,2,0,3,4,0,5,3,3,0,0,0,3,10,23,2,2,-1.155844155844156,-0.0260812519099725,-0.3011,Away
CIN,HOU,3081,3,S3,7,2,0,1,2,4,0,2,7,0,1,1,1,0,0,0,5,12,21,5,5,2.896103896103896,0.3713306694870549,-0.0609,Home
CIN,HOU,4024,4,S4,2,1,0,1,1,1,0,4,2,0,2,5,3,2,0,0,3,7,20,1,1,-2.3376534788540244,-0.1597344539475885,-0.5043,Home
CIN,HOU,7111,7,S7,8,0,0,1,2,4,0,2,4,0,3,4,3,2,0,0,3,4,23,1,1,-2.6954452753229097,-0.1780103599564704,-0.2741,Away
CIN,HOU,9029,9,S9,2,4,0,3,2,0,0,7,4,0,2,1,1,0,1,0,9,24,24,6,6,2.759140474663245,0.3649776471568041,0.1025,Home
CIN,KCR,3051,3,S3,5,1,0,1,2,1,0,5,3,0,4,0,5,1,0,0,4,8,22,2,2,-1.155844155844156,-0.0299726938088614,-0.2537,Home
CIN,KCR,3153,3,S3,13,0,0,3,4,4,1,4,8,0,1,2,3,0,0,0,7,10,29,1,1,-2.155844155844156,-0.1027326005166396,-0.2868,Away
