League,Season,Sessions,Active,gamelog_doc_id,gamelog_gid,player_type_doc_id,player_type_gid
MLR_Playoff,1,1,FALSE,1XAOzG70Hvpgi_W3PeHLa_n-axI_YAbyr1FUzZFF_c_U,1283447283,1mNdxA8TRLVfoHGNbCZE7NyMh98-HZyak2C6iE-aiQ98,0
MLR_Playoff,2,3,FALSE,1XAOzG70Hvpgi_W3PeHLa_n-axI_YAbyr1FUzZFF_c_U,1933665507,1mNdxA8TRLVfoHGNbCZE7NyMh98-HZyak2C6iE-aiQ98,936217510
MLR_Playoff,3,3,FALSE,1XAOzG70Hvpgi_W3PeHLa_n-axI_YAbyr1FUzZFF_c_U,1754858458,1mNdxA8TRLVfoHGNbCZE7NyMh98-HZyak2C6iE-aiQ98,327894905
MLR_Playoff,4,4,FALSE,1XAOzG70Hvpgi_W3PeHLa_n-axI_YAbyr1FUzZFF_c_U,185824219,1mNdxA8TRLVfoHGNbCZE7NyMh98-HZyak2C6iE-aiQ98,1025290556
MLR_Playoff,5,4,FALSE,1XAOzG70Hvpgi_W3PeHLa_n-axI_YAbyr1FUzZFF_c_U,1575636462,1mNdxA8TRLVfoHGNbCZE7NyMh98-HZyak2C6iE-aiQ98,112913114
MLR_Playoff,6,4,FALSE,1XAOzG70Hvpgi_W3PeHLa_n-axI_YAbyr1FUzZFF_c_U,1036865733,1mNdxA8TRLVfoHGNbCZE7NyMh98-HZyak2C6iE-aiQ98,1953300876
MLR_Playoff,7,4,FALSE,1XAOzG70Hvpgi_W3PeHLa_n-axI_YAbyr1FUzZFF_c_U,912873985,1mNdxA8TRLVfoHGNbCZE7NyMh98-HZyak2C6iE-aiQ98,161672578
MLR_Playoff,8,4,FALSE,1XAOzG70Hvpgi_W3PeHLa_n-axI_YAbyr1FUzZFF_c_U,270377968,1mNdxA8TRLVfoHGNbCZE7NyMh98-HZyak2C6iE-aiQ98,865039715
MLR_Playoff,9,4,FALSE,1XAOzG70Hvpgi_W3PeHLa_n-axI_YAbyr1FUzZFF_c_U,1085731012,1mNdxA8TRLVfoHGNbCZE7NyMh98-HZyak2C6iE-aiQ98,1139315251
MLR_Playoff,10,4,FALSE,1XAOzG70Hvpgi_W3PeHLa_n-axI_YAbyr1FUzZFF_c_U,1196672461,1mNdxA8TRLVfoHGNbCZE7NyMh98-HZyak2C6iE-aiQ98,1098695103
MLR_Playoff,11,4,FALSE,1XAOzG70Hvpgi_W3PeHLa_n-axI_YAbyr1FUzZFF_c_U,1426964888,1mNdxA8TRLVfoHGNbCZE7NyMh98-HZyak2C6iE-aiQ98,934208863
MLR_Playoff,12,4,TRUE,1XAOzG70Hvpgi_W3PeHLa_n-axI_YAbyr1FUzZFF_c_U,570960512,1kdt91NmK0G4gnkH-i07CZa2-6ZZdS5kJH_dqKFhA3wc,632606276
MiLR,2,2,FALSE,1is--bJyqVRi84BFx4NW7aOKhDhoo61YVRpRZb8Hnkjg,1487758831,1gHy_5NTvLs5cGKG1r69HzODB3shnhUDSLemxEnsUftY,1631830504
MiLR,3,14,FALSE,1FqqXRst5UWMB9ZA18NpNibYvNFHzfsWD8tOYuCtFYIs,560211216,1gHy_5NTvLs5cGKG1r69HzODB3shnhUDSLemxEnsUftY,1418369068
MiLR,4,14,FALSE,1FqqXRst5UWMB9ZA18NpNibYvNFHzfsWD8tOYuCtFYIs,1256382130,1gHy_5NTvLs5cGKG1r69HzODB3shnhUDSLemxEnsUftY,1682471069
MiLR,5,14,FALSE,1FqqXRst5UWMB9ZA18NpNibYvNFHzfsWD8tOYuCtFYIs,1788729847,1gHy_5NTvLs5cGKG1r69HzODB3shnhUDSLemxEnsUftY,1360802790
