Team,Opponent,Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,Auto BB,FO,SO,PO,RGO,LGO,DP,SB,CS,H,BF,IP,ER,RE24,WAR,WPA,300+ Pitches,400+ Pitches,Location
NUT,SCU,8503,8.2,S8B,2,3,1,6,5,3,2,0,6,5,2,1,3,1,6,1,15,36,6.666666666666667,12,4.618131868131868,-0.1294812342979881,0.0,11,3,Away
PBA,KNX,7004,7.0,S7,1,1,0,0,1,1,0,0,0,9,1,3,3,2,0,0,2,19,6.0,1,-2.2238805970149254,0.30436967583733754,0.0,6,3,Home
PDB,DDD,4002,4.0,S4,1,3,0,2,0,6,0,1,3,5,1,3,0,1,0,0,5,23,4.333333333333333,6,3.5784313725490193,-0.23852716444744082,-0.6859999999999998,7,4,Away
PGA,DDD,4005,4.0,S4,2,0,2,4,7,1,0,0,4,1,1,4,4,1,0,0,13,28,5.0,10,6.411764705882353,-0.4959222428226304,-0.3454999999999999,9,6,Away
PGA,PGS,4001,4.0,S4,1,0,0,1,4,2,0,0,2,7,0,6,2,1,0,0,5,24,6.0,0,-4.305882352941176,0.5550918590932075,0.4615,8,2,Away
PGS,PGA,4001,4.0,S4,1,1,1,3,0,2,0,0,4,3,4,2,5,0,0,0,5,25,6.0,4,-0.3058823529411764,0.16027951008483624,-0.03920000000000002,13,7,Home
PHB,CIM,6007,6.0,S6,2,1,0,1,0,2,0,0,6,6,1,0,4,1,0,0,2,21,6.0,1,-2.044776119402985,0.31580135833500156,0.27990000000000004,7,4,Home
PHB,TTT,6010,6.0,S6,3,0,1,3,3,4,0,0,4,5,3,3,0,0,1,3,7,26,6.0,4,0.9552238805970148,0.06351153536130291,0.0,12,5,Home
POR,CIM,6004,6.0,S6,1,1,1,2,4,7,0,0,7,7,1,2,3,1,0,0,8,35,7.0,8,3.7734056987788325,-0.19180099255337818,-0.47569999999999985,11,4,Home
POS,BIR,9003,9.0,S9,2,0,2,2,4,5,0,0,10,3,0,1,1,0,1,0,8,28,5.0,3,-0.1428571428571428,0.08233745421245423,0.0,5,1,Away
POS,KGB,9001,9.0,S9,1,0,0,3,4,1,0,0,3,6,2,4,2,1,0,0,7,25,6.0,1,-2.7714285714285714,0.3358081501831502,0.0,13,6,Home
PQD,DDD,12002,12.0,S12,1,2,0,1,2,1,0,0,5,6,3,2,3,1,0,1,5,25,7.0,2,-1.666666666666667,0.29615079365079366,0.025699999999999987,12,4,Home
PQD,SEF,12003,12.0,S12,2,3,0,2,1,1,0,0,6,2,5,2,3,0,1,0,6,25,6.0,4,0.857142857142857,0.04376984126984127,-0.09429999999999995,10,6,Home
SAR,MVM,5003,5.0,S5,1,1,0,1,2,3,0,0,2,7,0,2,2,1,0,1,4,20,5.0,1,-1.654320987654321,0.25680582629413035,0.11830000000000002,10,4,Away
SAR,WWC,6001,6.0,S6,1,3,0,1,6,1,0,0,3,0,3,3,5,1,1,0,10,25,5.0,7,4.462686567164179,-0.3084392564182141,-0.2822999999999999,11,6,Away
