ID,Name,League,Season,Session,Game ID,Team,Notes
378,,MLR,8,12,166,CWS,Pinch hit for in B1
379,,MLR,5,16,228,TBR,Pinch hit for in B1
379,,MLR,7,8,119,BAL,Pinch hit for in B2
381,,MLR_Playoff,6,3,9,STL,Pinch hit for in B1
382,,MLR,5,16,228,TBR,Pinch hit for in B2
384,,MLR,3,15,169,TBD,Pinch hit for in T2
385,,MLR,4,1,2,TBD,Pinch hit for in B2
385,,MLR,4,3,33,TBD,Pinch hit for in T2
389,,MLR,2,3,23,TB,Fielding Replacement
390,,MLR,3,16,181,TOR,Fielding Replacement
390,,MLR,4,2,27,MTL,Fielding Replacement
390,,MLR,4,5,70,MTL,Fielding Replacement
390,,MLR,4,6,86,MTL,Fielding Replacement
391,,MiLR,5,8,94,NUL,Pinch hit for in T3
391,,MiLR,5,11,127,NUL,Pinch hit for in T2
396,,MLR,9,1,14,TOR,Pinch hit for in B3
396,,MLR,11,6,84,TOR,Fielding Replacement
400,,MLR,3,1,11,TOR,Pinch hit for in B3
401,,MiLR,6,5,65,MVS,Pinch hit for in T2
401,,MiLR,7,8,64,CPR,Pinch hit for in B1
401,,MLR,6,6,87,MTL,Pinch hit for in T2
401,,MLR,6,16,226,MTL,Fielding Replacement
401,,MLR,10,5,73,ARI,Pinch hit for in T2
402,,MLR,12,11,161,SDP,Pinch hit for in T3
402,,MLR,12,14,207,SDP,Pinch hit for in B2
404,,MLR,2,12,129,ARI,Fielding Replacement
405,,MLR,4,7,91,TOR,Pinch hit for in B1
406,,MiLR,5,3,34,NUL,Fielding Replacement
407,,MLR,3,3,25,CLE,Replaced in B2
410,Victor Justice,MLR,4,14,197,TOR,Pinch hit for in B2
410,,MLR,4,16,227,TOR,Pinch hit for in B1
411,,MLR,3,12,139,TEX,Fielding Replacement
411,,MLR,7,8,106,CLE,Pinch hit for in B1
411,,MLR,8,6,79,CLE,Pinch hit for in T2
411,,MLR,8,10,140,CLE,Pinch hit for in T2
413,,MiLR,3,13,50,CIN,Pinch hit for in B2
413,,MiLR,5,11,128,LMN,Fielding Replacement
415,,MiLR,4,8,59,HON,Pinch hit for in B1
415,,MLR,9,7,92,ARI,Pinch hit for in B2
415,,MLR,9,10,143,ARI,Pinch hit for in T2
