Line ID,Batting Team's Score:,,,,,"Win Probability, slightly edited",,,,,,,,,,,,,,,,,,,,
,Inning,Top/Bot,OBC,Outs,Inning&OBC&Outs,-10+,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10+
40,1,2,5,1,1251,0.25%,1.00%,2.68%,6.27%,11.18%,14.56%,21.75%,30.54%,41.08%,51.95%,63.83%,73.85%,81.60%,88.17%,93.36%,94.58%,96.66%,97.50%,98.61%,99.60%,100.00%
41,1,2,5,2,1252,0.00%,0.00%,2.79%,5.63%,6.59%,11.38%,17.19%,23.86%,33.21%,44.21%,56.52%,68.57%,77.87%,85.11%,90.57%,93.54%,96.00%,97.63%,98.70%,99.55%,100.00%
42,1,2,6,0,1260,1.00%,2.50%,5.00%,12.94%,14.25%,21.75%,29.56%,38.29%,50.20%,60.98%,71.44%,79.58%,86.69%,90.82%,94.73%,96.29%,98.37%,99.00%,99.75%,99.90%,100.00%
43,1,2,6,1,1261,0.25%,1.00%,4.31%,8.77%,9.77%,16.26%,23.51%,33.29%,43.92%,55.39%,65.96%,75.82%,83.46%,88.96%,92.70%,94.27%,97.91%,98.90%,99.50%,99.75%,100.00%
44,1,2,6,2,1262,0.10%,0.50%,3.00%,6.55%,6.12%,11.06%,17.05%,25.21%,34.10%,45.85%,57.63%,69.26%,78.64%,85.51%,90.60%,92.45%,96.94%,98.75%,99.50%,99.75%,100.00%
45,1,2,7,0,1270,1.25%,5.00%,10.00%,13.29%,13.05%,24.66%,33.04%,42.16%,53.61%,63.29%,73.48%,81.76%,87.60%,91.77%,94.48%,97.47%,97.44%,99.00%,99.75%,100.00%,100.00%
46,1,2,7,1,1271,0.75%,1.00%,4.65%,10.75%,12.61%,19.75%,26.86%,36.42%,46.61%,57.37%,67.75%,77.08%,84.73%,89.78%,93.30%,95.12%,96.91%,98.91%,99.50%,100.00%,100.00%
47,1,2,7,2,1272,0.25%,0.75%,3.00%,6.45%,8.64%,13.54%,20.22%,27.72%,37.15%,47.76%,59.36%,70.23%,79.52%,86.32%,90.70%,94.15%,97.07%,97.96%,99.44%,100.00%,100.00%
48,2,1,0,0,2100,0.56%,0.47%,1.30%,2.72%,4.57%,7.16%,11.32%,17.65%,26.16%,36.97%,49.99%,62.96%,73.94%,82.31%,88.57%,92.85%,95.44%,97.55%,98.55%,99.42%,99.88%
49,2,1,0,1,2101,0.39%,0.58%,1.00%,2.30%,3.72%,5.95%,9.65%,15.35%,23.44%,34.02%,47.27%,60.69%,72.24%,81.12%,87.72%,92.37%,95.30%,97.44%,98.47%,99.34%,99.84%
50,2,1,0,2,2102,0.17%,0.54%,0.89%,1.84%,3.03%,5.11%,8.40%,13.56%,21.17%,31.51%,44.87%,58.67%,70.72%,79.97%,86.99%,91.83%,94.96%,97.10%,98.26%,99.21%,99.80%
51,2,1,1,0,2110,0.47%,0.83%,1.32%,3.65%,6.06%,9.05%,13.75%,20.82%,29.84%,40.43%,53.08%,65.36%,75.60%,83.45%,89.25%,93.18%,95.59%,98.02%,98.44%,99.65%,100.00%
52,2,1,1,1,2111,0.44%,0.80%,0.99%,2.99%,5.15%,7.27%,11.45%,17.79%,26.26%,36.86%,49.84%,62.67%,73.60%,82.29%,88.38%,92.53%,95.74%,97.41%,98.54%,99.31%,100.00%
53,2,1,1,2,2112,0.42%,0.60%,0.73%,2.67%,3.51%,6.08%,9.58%,15.32%,23.31%,33.75%,47.02%,60.55%,71.99%,80.89%,87.39%,92.18%,95.21%,97.38%,98.21%,99.37%,99.80%
54,2,1,2,0,2120,1.04%,1.25%,1.60%,3.87%,6.55%,10.35%,15.40%,23.52%,33.17%,44.57%,56.80%,68.54%,78.35%,85.39%,90.64%,94.04%,96.05%,97.48%,98.83%,99.04%,100.00%
55,2,1,2,1,2121,0.00%,0.75%,1.42%,3.27%,5.17%,8.16%,12.56%,19.25%,28.63%,39.45%,52.38%,64.79%,75.51%,83.34%,89.20%,93.18%,95.87%,97.86%,98.75%,99.21%,99.63%
56,2,1,2,2,2122,0.00%,0.00%,0.46%,2.28%,4.29%,6.09%,9.92%,15.78%,24.47%,34.96%,48.23%,61.44%,72.92%,81.61%,88.16%,92.36%,95.37%,97.40%,98.62%,99.25%,99.61%
57,2,1,3,0,2130,0.10%,1.00%,4.12%,3.86%,6.36%,12.32%,16.89%,25.33%,35.82%,48.22%,61.08%,72.15%,80.79%,87.00%,91.56%,95.43%,96.95%,98.61%,99.34%,100.00%,100.00%
58,2,1,3,1,2131,0.00%,0.25%,0.60%,4.00%,4.85%,9.32%,14.60%,22.04%,31.18%,42.81%,55.97%,68.00%,77.99%,85.21%,90.82%,94.29%,95.98%,97.84%,99.18%,98.68%,99.00%
59,2,1,3,2,2132,0.00%,0.00%,0.83%,3.25%,3.63%,5.93%,10.27%,16.02%,24.26%,35.28%,48.43%,61.61%,72.70%,81.57%,88.23%,92.13%,94.99%,97.47%,98.87%,99.20%,99.45%
60,2,1,4,0,2140,0.75%,1.16%,2.96%,4.48%,8.54%,12.20%,18.36%,26.84%,36.89%,47.26%,58.99%,70.11%,79.01%,85.86%,91.36%,94.05%,96.31%,98.14%,98.80%,100.00%,100.00%
61,2,1,4,1,2141,0.25%,1.50%,2.40%,4.33%,6.99%,9.97%,14.67%,22.43%,31.49%,41.91%,54.29%,66.18%,76.44%,84.25%,89.42%,94.07%,96.32%,97.37%,98.19%,99.52%,100.00%
62,2,1,4,2,2142,0.10%,1.89%,0.73%,2.53%,5.31%,7.97%,11.76%,18.31%,26.78%,36.95%,50.19%,62.99%,73.87%,82.33%,87.97%,93.07%,95.52%,97.38%,98.34%,99.74%,99.90%
63,2,1,5,0,2150,1.00%,2.00%,3.00%,7.41%,10.66%,13.55%,18.67%,29.75%,40.01%,52.48%,63.64%,74.24%,82.19%,89.14%,92.60%,96.34%,96.87%,97.50%,99.44%,98.36%,99.50%
64,2,1,5,1,2151,0.50%,1.75%,2.00%,4.61%,7.17%,11.84%,15.62%,24.37%,34.43%,46.01%,57.80%,69.30%,78.87%,85.92%,91.22%,94.66%,95.43%,98.08%,99.35%,98.70%,99.40%
