ID,Game ID,Season,Display Season,Session,Team,Franchise,Opponent,HR,3B,2B,1B,BB,IBB,Auto BB,FO,SO,PO,RGO,LGO,DP,SB,CS,H,BF,IP,ER,RE24,WAR,WPA,300+ Pitches,400+ Pitches,Location
293,8503,8.2,S8B,2,NUT,NUT,SCU,0,0,1,0,0,0,0,3,1,2,0,0,0,0,0,1,7,2.0,0,-1.9487179487179491,0.24897234528124584,0.0,2,0,Away
298,4002,4.0,S4,1,PDB,PDB,DDD,3,0,0,0,2,0,1,0,3,0,1,0,0,0,0,3,9,1.3333333333333333,4,3.106372549019608,-0.2639483959773021,-0.372,3,1,Away
301,7005,7.0,S7,2,STK,STK,SCG,0,0,0,2,1,0,0,1,0,1,0,1,0,0,0,2,6,1.0,1,-0.7499999999999998,0.10088893141131947,-0.24779999999999996,2,1,Away
305,5005,5.0,S5,2,LMN,LMN,MVM,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0.6666666666666666,0,-0.4242424242424242,0.051126502188880346,0.1578,1,0,Away
310,8502,8.2,S8B,1,NUT,NUT,CC,0,1,1,1,0,0,0,0,3,0,1,2,0,0,0,3,9,2.0,1,-0.9487179487179488,0.1644296453982318,0.0,6,4,Away
310,8503,8.2,S8B,2,NUT,NUT,SCU,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,4,1.0,0,-0.03949307397583257,0.03486390763155525,0.0,2,0,Away
325,3002,3.0,S3,1,FTP,FTP,LAN,3,0,1,2,2,1,0,5,4,0,0,0,0,0,0,6,17,3.0,7,3.05,-0.22195402298850575,0.0,4,2,Away
371,5004,5.0,S5,1,TAC,TAC,LMN,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,2,4,1.0,1,1.0,-0.07824435058840519,-0.207,1,1,Home
390,4003,4.0,S4,1,LMN,LMN,EEE,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,3,0.3333333333333333,0,-0.15514705882352942,0.03107765885723917,-0.20049999999999996,1,0,Away
392,5005,5.0,S5,2,LMN,LMN,MVM,0,0,1,4,1,0,0,4,2,0,4,3,2,1,0,5,19,5.0,2,-0.6543209876543215,0.15245469641181145,0.19500000000000003,9,7,Away
