Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
Tony McGooch,7.0,256.0,Silver Shore,,489.0,FO,233.0,B1,1,0,0,0,,,0,0,41,8,2,TOL,IND,FO,FO,,1
Coco Watanabe,204.0,961.0,Silver Shore,,737.0,FO,224.0,B1,2,0,0,0,,,0,0,41,8,2,TOL,IND,FO,FO,,1
Clip Toller,356.0,443.0,Korey Cluber,,957.0,LGO,486.0,T2,0,0,0,0,,,0,0,42,8,2,IND,TOL,LGO,LGO,,1
Goldie Jones,360.0,153.0,Korey Cluber,,555.0,PO,402.0,T2,1,0,0,0,,,0,0,42,8,2,IND,TOL,PO,PO,,1
Captain Bryzzo,368.0,588.0,Korey Cluber,,349.0,FO,239.0,T2,2,0,0,0,,,0,0,42,8,2,IND,TOL,FO,FO,,1
Ronald McChimbus,61.0,900.0,Silver Shore,,429.0,LGO,471.0,B2,0,0,0,0,,,0,0,43,8,2,TOL,IND,LGO,LGO,,1
Dart Ragusa,134.0,500.0,Silver Shore,,243.0,K,257.0,B2,1,0,0,0,,,0,0,43,8,2,TOL,IND,K,K,,1
Matt Conzo,727.0,255.0,Silver Shore,,666.0,PO,411.0,B2,2,0,0,0,,,0,0,43,8,2,TOL,IND,PO,PO,,1
Rapid Eagle,263.0,529.0,Korey Cluber,,309.0,FO,220.0,T3,0,0,0,0,,,0,0,44,8,2,IND,TOL,FO,FO,,1
Silver Shore,,563.0,Korey Cluber,,919.0,PO,356.0,T3,1,0,0,0,,,0,0,44,8,2,IND,TOL,PO,PO,,1
Dean Wesrey,67.0,389.0,Korey Cluber,,1.0,RGO,388.0,T3,2,0,0,0,,,0,0,44,8,2,IND,TOL,RGO,RGO,,1
Hookie McCrash,,335.0,Silver Shore,,12.0,K,323.0,B3,0,0,0,0,,,0,0,45,8,2,TOL,IND,K,K,,1
Boof Boog,437.0,812.0,Silver Shore,,812.0,HR,0.0,B3,1,0,0,0,,,1,1,45,8,2,TOL,IND,HR,HR,,1
Squiggly McCool,,333.0,Mongy Whumpus,130.0,26.0,K,307.0,T1,0,0,0,0,,,0,0,46,9,2,VT,UOM,K,K,,1
Dirtbag Darrell,262.0,636.0,Mongy Whumpus,130.0,126.0,LGO,490.0,T1,1,0,0,0,,,0,0,46,9,2,VT,UOM,LGO,LGO,,1
Takahiro Hirasawa,419.0,226.0,Mongy Whumpus,130.0,26.0,FO,200.0,T1,2,0,0,0,,,0,0,46,9,2,VT,UOM,FO,FO,,1
Benjamin Baeurkemper,333.0,896.0,Drew Stephens,,999.0,BB,103.0,B1,0,0,0,0,,,0,1,47,9,2,UOM,VT,BB,BB,,1
Girth Brooks,161.0,22.0,Drew Stephens,,846.0,FO,176.0,B1,0,1,0,0,,,0,0,47,9,2,UOM,VT,FO,FO,,1
Erin Pickles,68.0,471.0,Drew Stephens,,523.0,2B,52.0,B1,1,1,0,0,,,0,1,47,9,2,UOM,VT,2B,2B,,1
Blake Monroe,,218.0,Drew Stephens,,216.0,HR,2.0,B1,1,6,0,0,,,3,1,47,9,2,UOM,VT,HR,HR,,1
Demetrios Ooga,180.0,69.0,Drew Stephens,,333.0,FO,264.0,B1,1,0,3,0,,,0,0,47,9,2,UOM,VT,FO,FO,,1
Dingo Herrera,,205.0,Drew Stephens,,555.0,K,350.0,B1,2,0,3,0,,,0,0,47,9,2,UOM,VT,K,K,,1
Biggie Moonshota,64.0,,Mongy Whumpus,130.0,,Auto K,,T2,0,0,3,0,,,0,0,48,9,2,VT,UOM,Auto K,Auto K,,9
Robert Callahan,465.0,389.0,Mongy Whumpus,130.0,743.0,PO,354.0,T2,1,0,3,0,,,0,0,48,9,2,VT,UOM,PO,PO,,1
Heinrich Frosch,343.0,604.0,Mongy Whumpus,130.0,986.0,RGO,382.0,T2,2,0,3,0,,,0,0,48,9,2,VT,UOM,RGO,RGO,,1
Biff Studd,254.0,375.0,Drew Stephens,,715.0,K,340.0,B2,0,0,3,0,,,0,0,49,9,2,UOM,VT,K,K,,1
Two Fingers Fernhaus,447.0,824.0,Drew Stephens,,87.0,FO,263.0,B2,1,0,3,0,,,0,0,49,9,2,UOM,VT,FO,FO,,1
Cue Anon,381.0,,Drew Stephens,,,Auto K,,B2,2,0,3,0,,,0,0,49,9,2,UOM,VT,Auto K,Auto K,,9
Les Dee-Ache,83.0,389.0,Mongy Whumpus,130.0,814.0,LGO,425.0,T3,0,0,3,0,,,0,0,50,9,2,VT,UOM,LGO,LGO,,1
Melvin Dinger,,,Mongy Whumpus,130.0,,Auto K,,T3,1,0,3,0,,,0,0,50,9,2,VT,UOM,Auto K,Auto K,,9
Kris Jaxon,152.0,26.0,Mongy Whumpus,130.0,826.0,FO,200.0,T3,2,0,3,0,,,0,0,50,9,2,VT,UOM,FO,FO,,1
Jericho Caulfield,36.0,742.0,T.J. Valencia,451.0,205.0,LGO,481.0,T1,0,0,0,0,,,0,0,51,10,2,RIC,CSUF,LGO,LGO,,1
Niko Banks,430.0,,T.J. Valencia,451.0,,Auto K,,T1,1,0,0,0,,,0,0,51,10,2,RIC,CSUF,Auto K,Auto K,,9
Andrew Nova,191.0,654.0,T.J. Valencia,451.0,472.0,FO,182.0,T1,2,0,0,0,,,0,0,51,10,2,RIC,CSUF,FO,FO,,1
Ozzie Baez,228.0,101.0,Raymond Jarvis,,723.0,RGO,378.0,B1,0,0,0,0,,,0,0,52,10,2,CSUF,RIC,RGO,RGO,,1
Dednuts,448.0,,Raymond Jarvis,,,Auto BB,,B1,1,0,0,0,,,0,0,52,10,2,CSUF,RIC,Auto BB,Auto BB,,10
AJ McMann,433.0,,Raymond Jarvis,,931.0,FO,187.0,B1,1,1,0,0,,,0,0,52,10,2,CSUF,RIC,FO,FO,,1
Ryan Vauhn,442.0,450.0,Valeria Lisova,183.0,575.0,BB,125.0,B1,2,1,0,0,,,0,0,52,10,2,CSUF,RIC,BB,BB,,1
Carlos Brownson,132.0,754.0,Valeria Lisova,183.0,430.0,K,324.0,B1,2,4,0,0,,,0,0,52,10,2,CSUF,RIC,K,K,,1
Tommy Testudo,208.0,583.0,T.J. Valencia,451.0,888.0,K,305.0,T2,0,0,0,0,,,0,0,53,10,2,RIC,CSUF,K,K,,1
Tommy Oldman,143.0,601.0,T.J. Valencia,451.0,999.0,K,398.0,T2,1,0,0,0,,,0,0,53,10,2,RIC,CSUF,K,K,,1
Trolley Sato,,,T.J. Valencia,451.0,,Auto K,,T2,2,0,0,0,,,0,0,53,10,2,RIC,CSUF,Auto K,Auto K,,9
Jeffy Jefferson,265.0,424.0,Valeria Lisova,183.0,625.0,FO,201.0,B2,0,0,0,0,,,0,0,54,10,2,CSUF,RIC,FO,FO,,1
Lloyd Gross,135.0,385.0,Valeria Lisova,183.0,735.0,K,350.0,B2,1,0,0,0,,,0,0,54,10,2,CSUF,RIC,K,K,,1
Javier Tootblan,192.0,555.0,Valeria Lisova,183.0,510.0,2B,45.0,B2,2,0,0,0,,,0,1,54,10,2,CSUF,RIC,2B,2B,,1
Emile B. Beezbowl,,222.0,Valeria Lisova,183.0,250.0,2B,28.0,B2,2,2,0,0,,,1,0,54,10,2,CSUF,RIC,2B,2B,,1
Ozzie Baez,228.0,224.0,Valeria Lisova,183.0,375.0,BB,151.0,B2,2,2,1,0,,,0,0,54,10,2,CSUF,RIC,BB,BB,,1
Dednuts,448.0,342.0,Valeria Lisova,183.0,625.0,FO,283.0,B2,2,4,1,0,,,0,0,54,10,2,CSUF,RIC,FO,FO,,1
Eric Leeder,29.0,234.0,T.J. Valencia,451.0,700.0,LGO,466.0,T3,0,0,1,0,,,0,0,55,10,2,RIC,CSUF,LGO,LGO,,1
Vorinclex Pabst,,,T.J. Valencia,451.0,200.0,K,376.0,T3,1,0,1,0,,,0,0,55,10,2,RIC,CSUF,K,K,,1
Shelinkel Johnson,,,T.J. Valencia,451.0,,Auto K,,T3,2,0,1,0,,,0,0,55,10,2,RIC,CSUF,Auto K,Auto K,,9
