Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,Pitcher Responsible for Runner on 3rd Who Scored,Pitcher Responsible for Runner on 2nd Who Scored,Pitcher Responsible for Runner on 1st Who Scored,Pitcher Responsible for Batter Who Scored,PA Type
Joe Jam,2519,850.0,Noooot,2555,230.0,RGO,380.0,T2,1,0,0,0,-2.40%,2.40%,0,0,92,13,5,MICH,RU,RGO,RGO,PO,,,,,1
Sam Hicks,2516,760.0,Noooot,2555,981.0,FO,221.0,T2,2,0,0,0,-1.99%,1.99%,0,0,92,13,5,MICH,RU,FO,FO,FO,,,,,1
Cameron gall,2547,471.0,Chicano Bradley,2509,682.0,FO,211.0,B2,0,0,0,0,-2.72%,2.72%,0,0,93,13,5,RU,MICH,FO,FO,FO,,,,,1
Leashy Hittem,2545,535.0,Chicano Bradley,2509,878.0,PO,343.0,B2,1,0,0,0,-2.38%,2.38%,0,0,93,13,5,RU,MICH,PO,PO,K,,,,,1
Molded Cheese,2554,535.0,Chicano Bradley,2509,83.0,LGO,452.0,B2,2,0,0,0,-2.03%,2.03%,0,0,93,13,5,RU,MICH,LGO,LGO,LGO,,,,,1
Hunter West,2594,619.0,Noooot,2555,420.0,FO,199.0,T3,0,0,0,0,-3.03%,3.03%,0,0,94,13,5,MICH,RU,FO,FO,FO,,,,,1
Sammy Scully,2518,999.0,Noooot,2555,101.0,1B,102.0,T3,1,0,0,0,2.77%,-2.77%,0,0,94,13,5,MICH,RU,1B,1B,1B,,,,,1
George Pinetar,2510,3.0,Noooot,2555,786.0,FO,217.0,T3,1,1,0,0,-3.01%,3.01%,0,0,94,13,5,MICH,RU,FO,FO,FO,,,,,1
Rick Role,2513,269.0,Noooot,2555,999.0,K,270.0,T3,2,1,0,0,-4.81%,4.81%,0,0,94,13,5,MICH,RU,K,K,FO,,,,,1
Max Wasson,273,17.0,Chicano Bradley,2509,31.0,3B,14.0,B3,0,0,0,0,12.65%,-12.65%,0,0,95,13,5,RU,MICH,3B,3B,HR,,,,,1
Helen Hywater,2552,492.0,Chicano Bradley,2509,878.0,PO,386.0,B3,0,3,0,0,-5.37%,5.37%,0,0,95,13,5,RU,MICH,PO,PO,PO,,,,,1
Zippee Sluggoroni,2551,472.0,Chicano Bradley,2509,777.0,K,305.0,B3,1,3,0,0,-8.92%,8.92%,0,0,95,13,5,RU,MICH,K,K,K,,,,,1
Derek Rasmussen,2588,241.0,Chicano Bradley,2509,420.0,FO,179.0,B3,2,3,0,0,-6.47%,6.47%,0,0,95,13,5,RU,MICH,FO,FO,FO,,,,,1
Stumpy Malone,2517,678.0,Mark Schihne,2544,575.0,1B,103.0,T4,0,0,0,0,3.68%,-3.68%,0,0,96,13,5,MICH,RU,1B,1B,1B,,,,,1
Ty Spain,2514,39.0,Mark Schihne,2544,291.0,K,252.0,T4,0,1,0,0,-4.07%,4.07%,0,0,96,13,5,MICH,RU,K,K,FO,,,,,1
Jordan Hass,2589,690.0,Mark Schihne,2544,599.0,1B,91.0,T4,1,1,0,0,5.25%,-5.25%,0,0,96,13,5,MICH,RU,1B,1B,1B,,,,,1
Joe Jam,2519,376.0,Mark Schihne,2544,999.0,DP,377.0,T4,1,4,0,0,-14.38%,14.38%,0,0,96,13,5,MICH,RU,RGO,RGO,K,,,,,1
Hunter D. Parker,2591,575.0,Chicano Bradley,2509,586.0,HR,11.0,B4,0,0,0,0,18.66%,-18.66%,1,1,97,13,5,RU,MICH,HR,HR,HR,,,,2509.0,1
