Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Scores,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,PA Type
MELTZ Slander,2335,69.0,Reimer Gonzalez,13,777.0,K,292.0,T2,2,0,0,0,-1.99%,1.99%,0,0,0,42,6,3,OSU,GT,K,K,K,1
Anthony Billanti,2379,69.0,Mazy Loron,2345,69.0,HR,0.0,B2,0,0,0,0,13.33%,-13.33%,1,1,1,43,6,3,GT,OSU,HR,HR,HR,1
Troy Pressing,2282,420.0,Mazy Loron,2345,69.0,PO,351.0,B2,0,0,1,0,-2.00%,2.00%,0,0,0,43,6,3,GT,OSU,PO,PO,K,1
Tencer Sporkelson,2329,69.0,Mazy Loron,2345,569.0,LGO,500.0,B2,1,0,1,0,-1.83%,1.83%,0,0,0,43,6,3,GT,OSU,LGO,LGO,LGO,1
Frederick Thunderpants,2371,669.0,Mazy Loron,2345,69.0,PO,400.0,B2,2,0,1,0,-1.56%,1.56%,0,0,0,43,6,3,GT,OSU,PO,PO,RGO,1
Large Attractive,2452,734.0,Reimer Gonzalez,13,383.0,RGO,351.0,T3,0,0,1,0,-3.32%,3.32%,0,0,0,44,6,3,OSU,GT,RGO,RGO,K,1
Edge Rocks,2281,734.0,Reimer Gonzalez,13,734.0,HR,0.0,T3,1,0,1,0,15.36%,-15.36%,1,1,1,44,6,3,OSU,GT,HR,HR,HR,1
Egor Kucherov,2342,393.0,Old Hoss Radbourne,2362,444.0,2B,51.0,T3,1,0,1,1,5.58%,-5.58%,0,1,1,44,6,3,OSU,GT,2B,2B,2B,1
Perry Platypus,2332,175.0,Old Hoss Radbourne,2362,84.0,1B,91.0,T3,1,2,1,1,5.97%,-5.97%,0,1,1,44,6,3,OSU,GT,1B,1B,1B,1
Terry Gaskins,2349,776.0,Old Hoss Radbourne,2362,766.0,HR,10.0,T3,1,5,1,1,25.45%,-25.45%,3,1,1,44,6,3,OSU,GT,HR,HR,HR,1
Stan Francisco,2378,951.0,Old Hoss Radbourne,2362,743.0,FO,208.0,T3,1,0,1,4,-1.03%,1.03%,0,0,0,44,6,3,OSU,GT,FO,FO,FO,1
Lionel Houser,2374,267.0,Old Hoss Radbourne,2362,69.0,K,198.0,T3,2,0,1,4,-0.88%,0.88%,0,0,0,44,6,3,OSU,GT,K,K,FO,1
Pope Coswi,2327,628.0,Mazy Loron,2345,333.0,PO,295.0,B3,0,0,1,4,-2.70%,2.70%,0,0,0,45,6,3,GT,OSU,PO,PO,K,1
