Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral
Tyler Phoenix,99,985.0,Hudson Hildebrandt,284,516.0,RGO,469.0,T7,0,2,3,3,6.93%,-6.93%,0,0,2719,231,16,DET,PHI,RGO,RGO,LGO
Edward Freeman,700,907.0,Hudson Hildebrandt,284,297.0,K,390.0,T7,1,3,3,3,-26.52%,26.52%,0,0,2719,231,16,DET,PHI,K,K,PO
Francois Onime,485,24.0,Hudson Hildebrandt,284,433.0,PO,409.0,T7,2,3,3,3,-13.36%,13.36%,0,0,2719,231,16,DET,PHI,PO,PO,RGO
Phil Coulson,226,900.0,Mackin Tosh,93,442.0,LGO,458.0,B7,0,2,3,3,-10.87%,10.87%,0,0,2720,231,16,PHI,DET,LGO,LGO,LGO
Jackson Takegi,302,944.0,Mackin Tosh,93,315.0,RGO,371.0,B7,1,2,3,3,-8.60%,8.60%,0,0,2720,231,16,PHI,DET,RGO,RGO,K
Chody McCarty,650,378.0,Mackin Tosh,93,528.0,BB,150.0,B7,2,3,3,3,0.37%,-0.37%,0,0,2720,231,16,PHI,DET,BB,BB,BB
KC Bats,287,888.0,Mackin Tosh,93,719.0,BB,169.0,B7,2,5,3,3,2.61%,-2.61%,0,0,2720,231,16,PHI,DET,BB,FO,BB
Tequila Sunrise,249,652.0,Mackin Tosh,93,200.0,LGO,452.0,B7,2,7,3,3,-16.57%,16.57%,0,0,2720,231,16,PHI,DET,LGO,LGO,LGO
Morris Deratt,104,668.0,Basebally McBaseballface,304,171.0,LGO,497.0,T8,0,6,3,3,-7.61%,7.61%,0,0,2721,231,16,DET,PHI,LGO,LGO,LGO
Merodach Baladan,100,795.0,Basebally McBaseballface,304,789.0,HR,6.0,T8,1,6,3,3,18.56%,-18.56%,3,1,2721,231,16,DET,PHI,HR,HR,HR
Thomas Nova,1,69.0,Basebally McBaseballface,304,974.0,1B,95.0,T8,1,0,3,6,0.85%,-0.85%,0,1,2721,231,16,DET,PHI,1B,1B,1B
Otis Nixon Sr.,107,100.0,Basebally McBaseballface,304,316.0,PO,216.0,T8,1,1,3,6,-0.96%,0.96%,0,0,2721,231,16,DET,PHI,PO,PO,FO
Foxx Dashington,306,450.0,Basebally McBaseballface,304,521.0,2B,71.0,T8,2,1,3,6,3.07%,-3.07%,1,0,2721,231,16,DET,PHI,2B,2B,1B
Mason Spurs,103,121.0,Basebally McBaseballface,304,286.0,BB,165.0,T8,2,2,3,7,0.04%,-0.04%,0,0,2721,231,16,DET,PHI,BB,FO,BB
Tyler Phoenix,99,703.0,Basebally McBaseballface,304,999.0,FO,296.0,T8,2,4,3,7,-0.74%,0.74%,0,0,2721,231,16,DET,PHI,FO,FO,K
Conor Sexton,289,789.0,Mackin Tosh,93,445.0,K,344.0,B8,0,6,3,7,-6.75%,6.75%,0,0,2722,231,16,PHI,DET,K,K,K
Joel Embiid,285,950.0,Mackin Tosh,93,160.0,Sac,210.0,B8,1,6,3,7,-6.56%,6.56%,1,0,2722,231,16,PHI,DET,FO,Sac,Sac
Miguel Snow,290,388.0,Mackin Tosh,93,536.0,FO,148.0,B8,2,2,4,7,-2.46%,2.46%,0,0,2722,231,16,PHI,DET,FO,FO,BB
Ted James III,174,210.0,Charles Magnus,220,957.0,FO,253.0,T1,0,0,0,0,-2.52%,2.52%,0,0,2723,232,16,LAD,CWS,FO,FO,FO
Scotty Smalls,179,620.0,Charles Magnus,220,37.0,RGO,417.0,T1,1,0,0,0,-2.52%,2.52%,0,0,2723,232,16,LAD,CWS,RGO,RGO,RGO
Bo-Horse Jackman,168,418.0,Charles Magnus,220,888.0,LGO,470.0,T1,2,0,0,0,-1.74%,1.74%,0,0,2723,232,16,LAD,CWS,LGO,LGO,LGO
Roland Kholin,583,99.0,Geno Scaramucci,165,150.0,1B,51.0,B1,0,0,0,0,3.55%,-3.55%,0,0,2724,232,16,CWS,LAD,1B,1B,2B
Trevor Mouseman,559,194.0,Geno Scaramucci,165,416.0,FO,222.0,B1,0,1,0,0,-2.91%,2.91%,0,0,2724,232,16,CWS,LAD,FO,FO,FO
Blackbean Burrito,516,242.0,Geno Scaramucci,165,557.0,K,315.0,B1,1,1,0,0,-4.14%,4.14%,0,0,2724,232,16,CWS,LAD,K,K,K
Skye McDowell,264,24.0,Geno Scaramucci,165,809.0,FO,215.0,B1,2,1,0,0,-3.29%,3.29%,0,0,2724,232,16,CWS,LAD,FO,FO,FO
Federal Credit Union Boi,173,569.0,Charles Magnus,220,666.0,1B,97.0,T2,0,0,0,0,4.19%,-4.19%,0,0,2725,232,16,LAD,CWS,1B,1B,1B
Randy Poovey,545,356.0,Charles Magnus,220,512.0,BB,156.0,T2,0,1,0,0,7.41%,-7.41%,0,0,2725,232,16,LAD,CWS,BB,BB,BB
Lee Allen Ripley,771,350.0,Charles Magnus,220,777.0,DP,427.0,T2,0,4,0,0,-13.70%,13.70%,0,0,2725,232,16,LAD,CWS,RGO,DP,DP
Anthony Stark,573,328.0,Charles Magnus,220,5.0,K,323.0,T2,2,3,0,0,-5.19%,5.19%,0,0,2725,232,16,LAD,CWS,K,K,K
Jacky Wacky,702,24.0,Geno Scaramucci,165,124.0,1B,100.0,B2,0,0,0,0,3.93%,-3.93%,0,0,2726,232,16,CWS,LAD,1B,1B,1B
Jork von Bork,149,99.0,Geno Scaramucci,165,328.0,FO,229.0,B2,0,1,0,0,-3.01%,3.01%,0,0,2726,232,16,CWS,LAD,FO,FO,FO
Indy Sayne,151,164.0,Geno Scaramucci,165,513.0,PO,349.0,B2,1,1,0,0,-4.30%,4.30%,0,0,2726,232,16,CWS,LAD,PO,PO,K
Cam Singleton,266,888.0,Geno Scaramucci,165,500.0,RGO,388.0,B2,2,1,0,0,-3.93%,3.93%,0,0,2726,232,16,CWS,LAD,RGO,RGO,PO
Caleb Craven,640,404.0,Charles Magnus,220,68.0,K,336.0,T3,0,0,0,0,-3.25%,3.25%,0,0,2727,232,16,LAD,CWS,K,K,K
Clifton Outlaw,178,323.0,Charles Magnus,220,820.0,LGO,497.0,T3,1,0,0,0,-3.05%,3.05%,0,0,2727,232,16,LAD,CWS,LGO,LGO,LGO
Ted James III,174,1.0,Charles Magnus,220,500.0,LGO,499.0,T3,2,0,0,0,-2.06%,2.06%,0,0,2727,232,16,LAD,CWS,LGO,LGO,LGO
Maddy Berg,402,54.0,Geno Scaramucci,165,388.0,K,334.0,B3,0,0,0,0,-3.32%,3.32%,0,0,2728,232,16,CWS,LAD,K,K,K
Roland Kholin,583,388.0,Geno Scaramucci,165,747.0,RGO,359.0,B3,1,0,0,0,-2.80%,2.80%,0,0,2728,232,16,CWS,LAD,RGO,RGO,K
Trevor Mouseman,559,8.0,Geno Scaramucci,165,1000.0,HR,8.0,B3,2,0,0,0,15.62%,-15.62%,1,1,2728,232,16,CWS,LAD,HR,HR,HR
Blackbean Burrito,516,197.0,Geno Scaramucci,165,888.0,K,309.0,B3,2,0,1,0,-1.44%,1.44%,0,0,2728,232,16,CWS,LAD,K,K,K
Scotty Smalls,179,88.0,Charles Magnus,220,309.0,FO,221.0,T4,0,0,1,0,-4.06%,4.06%,0,0,2729,232,16,LAD,CWS,FO,FO,FO
Bo-Horse Jackman,168,208.0,Charles Magnus,220,888.0,K,320.0,T4,1,0,1,0,-3.83%,3.83%,0,0,2729,232,16,LAD,CWS,K,K,K
Federal Credit Union Boi,173,88.0,Charles Magnus,220,714.0,PO,374.0,T4,2,0,1,0,-2.57%,2.57%,0,0,2729,232,16,LAD,CWS,PO,PO,K
Skye McDowell,264,56.0,Geno Scaramucci,165,714.0,PO,342.0,B4,0,0,1,0,-2.24%,2.24%,0,0,2730,232,16,CWS,LAD,PO,PO,K
Jacky Wacky,702,517.0,Geno Scaramucci,165,714.0,FO,197.0,B4,1,0,1,0,-1.93%,1.93%,0,0,2730,232,16,CWS,LAD,FO,FO,FO
Jork von Bork,149,396.0,Geno Scaramucci,165,98.0,K,298.0,B4,2,0,1,0,-1.56%,1.56%,0,0,2730,232,16,CWS,LAD,K,K,K
Randy Poovey,545,3.0,Charles Magnus,220,222.0,FO,219.0,T5,0,0,1,0,-5.29%,5.29%,0,0,2731,232,16,LAD,CWS,FO,FO,FO
Lee Allen Ripley,771,414.0,Charles Magnus,220,78.0,K,336.0,T5,1,0,1,0,-5.21%,5.21%,0,0,2731,232,16,LAD,CWS,K,K,K
Anthony Stark,573,98.0,Charles Magnus,220,950.0,FO,148.0,T5,2,0,1,0,-3.39%,3.39%,0,0,2731,232,16,LAD,CWS,FO,FO,BB
Indy Sayne,151,271.0,Geno Scaramucci,165,666.0,RGO,395.0,B5,0,0,1,0,-1.87%,1.87%,0,0,2732,232,16,CWS,LAD,RGO,RGO,PO
Cam Singleton,266,3.0,Q Kimbrel,20,596.0,RGO,407.0,B5,1,0,1,0,-1.61%,1.61%,0,0,2732,232,16,CWS,LAD,RGO,RGO,RGO
Maddy Berg,402,420.0,Q Kimbrel,20,416.0,HR,4.0,B5,2,0,1,0,9.43%,-9.43%,1,1,2732,232,16,CWS,LAD,HR,HR,HR
Roland Kholin,583,799.0,Bobo Bones,478,701.0,1B,98.0,B5,2,0,2,0,0.55%,-0.55%,0,0,2732,232,16,CWS,LAD,1B,1B,1B
Trevor Mouseman,559,545.0,Bobo Bones,478,3.0,LGO,458.0,B5,2,1,2,0,-1.02%,1.02%,0,0,2732,232,16,CWS,LAD,LGO,LGO,LGO
Caleb Craven,640,824.0,Charles Magnus,220,370.0,LGO,454.0,T6,0,0,2,0,-4.18%,4.18%,0,0,2733,232,16,LAD,CWS,LGO,LGO,LGO
Clifton Outlaw,178,987.0,Charles Magnus,220,514.0,LGO,473.0,T6,1,0,2,0,-3.65%,3.65%,0,0,2733,232,16,LAD,CWS,LGO,LGO,LGO
Ted James III,174,258.0,Charles Magnus,220,49.0,FO,209.0,T6,2,0,2,0,-1.61%,1.61%,0,0,2733,232,16,LAD,CWS,FO,FO,FO
Bingo Hammersmith,639,3.0,Derek Bongiovanni,109,246.0,FO,243.0,T1,0,0,0,0,-2.52%,2.52%,0,0,2734,233,16,CLE,HOU,FO,FO,FO
