Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,Pitcher Responsible for Runner on 3rd Who Scored,Pitcher Responsible for Runner on 2nd Who Scored,Pitcher Responsible for Runner on 1st Who Scored,Pitcher Responsible for Batter Who Scored,PA Type
IMPORT ERROR,IMPORT ERROR,824.0,IMPORT ERROR,IMPORT ERROR,327.0,,,T3,2,0,0,2,,,,,IMPORT ERROR,7,2,BIS,LAC,,,,,,,IMPORT ERROR,1
IMPORT ERROR,IMPORT ERROR,202.0,IMPORT ERROR,IMPORT ERROR,227.0,,,T3,2,0,0,2,,,,,IMPORT ERROR,7,2,BIS,LAC,,,,,,,IMPORT ERROR,1
IMPORT ERROR,IMPORT ERROR,672.0,IMPORT ERROR,IMPORT ERROR,973.0,,,T3,2,0,0,2,,,,,IMPORT ERROR,7,2,BIS,LAC,,,,,,,IMPORT ERROR,1
Fik Seiko,2207,35.0,Ferret McGivins,1706,522.0,LGO,487.0,T3,2,0,0,2,-1.30%,1.30%,0,0,IMPORT ERROR,7,2,BIS,LAC,LGO,LGO,LGO,,,,,1
IMPORT ERROR,IMPORT ERROR,135.0,IMPORT ERROR,IMPORT ERROR,2.0,,,B3,0,0,0,2,,,,,IMPORT ERROR,7,2,LAC,BIS,,,,,,,IMPORT ERROR,1
IMPORT ERROR,IMPORT ERROR,40.0,IMPORT ERROR,IMPORT ERROR,880.0,,,B3,0,0,0,2,,,,,IMPORT ERROR,7,2,LAC,BIS,,,,,,,IMPORT ERROR,1
IMPORT ERROR,IMPORT ERROR,,IMPORT ERROR,IMPORT ERROR,,AUTO K,,B3,0,0,0,2,-3.28%,3.28%,0,0,IMPORT ERROR,7,2,LAC,BIS,AUTO K,AUTO K,AUTO K,,,,,9
Hunter Scott CCCXXVII,786,817.0,Ben Bramly,238,544.0,K,273.0,B3,1,0,0,2,-2.78%,2.78%,0,0,IMPORT ERROR,7,2,LAC,BIS,K,K,FO,,,,,1
Hank Braun,2507,222.0,Ben Bramly,238,402.0,BB,180.0,B3,2,0,0,2,2.71%,-2.71%,0,0,IMPORT ERROR,7,2,LAC,BIS,BB,FO,FO,,,,,1
Hank Braun,2507,88.0,Ben Bramly,238,582.0,CS,494.0,B3,2,1,0,2,-4.78%,4.78%,0,0,IMPORT ERROR,7,2,LAC,BIS,CS 2B,CS 2B,CS,,,,,4
IMPORT ERROR,IMPORT ERROR,902.0,IMPORT ERROR,IMPORT ERROR,144.0,,,T4,0,0,0,2,,,,,IMPORT ERROR,7,2,BIS,LAC,,,,,,,IMPORT ERROR,1
Cameron gall,2547,420.0,Ferret McGivins,1706,907.0,LGO,487.0,T4,0,0,0,2,-1.53%,1.53%,0,0,IMPORT ERROR,7,2,BIS,LAC,LGO,LGO,LGO,,,,,1
Rocco Rudnikov,114,211.0,Ferret McGivins,1706,314.0,1B,103.0,T4,1,0,0,2,1.32%,-1.32%,0,1,IMPORT ERROR,7,2,BIS,LAC,1B,1B,1B,,,,,1
Robbie,1745,532.0,Ferret McGivins,1706,404.0,BB,128.0,T4,1,1,0,2,2.10%,-2.10%,0,1,IMPORT ERROR,7,2,BIS,LAC,BB,FO,1B,,,,,1
Kev Biffington,2276,782.0,Ferret McGivins,1706,789.0,HR,7.0,T4,1,4,0,2,13.78%,-13.78%,3,1,IMPORT ERROR,7,2,BIS,LAC,HR,HR,HR,,1706,1706,1706,1
Matt Himynamis,361,880.0,Ferret McGivins,1706,12.0,BB,132.0,T4,1,0,0,5,0.32%,-0.32%,0,1,IMPORT ERROR,7,2,BIS,LAC,BB,FO,1B,,,,,1
Fik Seiko,2207,470.0,Ferret McGivins,1706,420.0,1B,50.0,T4,1,1,0,5,0.50%,-0.50%,0,1,IMPORT ERROR,7,2,BIS,LAC,1B,1B,2B,,,,,1
Monty Johnson,557,717.0,Holden Summers,10,301.0,PO,416.0,T4,1,4,0,5,-0.55%,0.55%,0,0,IMPORT ERROR,7,2,BIS,LAC,PO,RGO,DP,,,,,1
Francis Swagger,610,827.0,Holden Summers,10,861.0,HR,34.0,T4,2,4,0,5,3.18%,-3.18%,3,1,IMPORT ERROR,7,2,BIS,LAC,HR,HR,2B,,1706,1706,10,1
Brian Taylor,1838,,Holden Summers,10,,AUTO K,,T4,2,0,0,8,-0.02%,0.02%,0,0,IMPORT ERROR,7,2,BIS,LAC,AUTO K,AUTO K,AUTO K,,,,,9
Kevin James,2659,757.0,Ben Bramly,238,677.0,2B,80.0,B4,0,0,0,8,0.50%,-0.50%,0,0,IMPORT ERROR,7,2,LAC,BIS,2B,1B,1B,,,,,1
Roosevelt Sandoval,2789,275.0,Ben Bramly,238,666.0,RGO,391.0,B4,0,2,0,8,-0.43%,0.43%,0,0,IMPORT ERROR,7,2,LAC,BIS,RGO,RGO,PO,,,,,1
Emerson,703,456.0,Ben Bramly,238,166.0,K,290.0,B4,1,3,0,8,-0.36%,0.36%,0,0,IMPORT ERROR,7,2,LAC,BIS,K,K,K,,,,,1
Hannibal Bligh,1724,501.0,Ben Bramly,238,1.0,LGO,500.0,B4,2,3,0,8,-0.09%,0.09%,0,0,IMPORT ERROR,7,2,LAC,BIS,LGO,LGO,LGO,,,,,1
Cameron gall,2547,420.0,Holden Summers,10,491.0,2B,71.0,T5,0,0,0,8,0.09%,-0.09%,0,1,IMPORT ERROR,7,2,BIS,LAC,2B,2B,1B,,,,,1
Rocco Rudnikov,114,345.0,Holden Summers,10,244.0,1B,101.0,T5,0,2,0,8,-0.11%,0.11%,0,1,IMPORT ERROR,7,2,BIS,LAC,1B,1B,1B,,,,,1
Robbie,1745,132.0,Hank Braun,2507,191.0,2B,59.0,T5,0,5,0,8,0.13%,-0.13%,1,0,IMPORT ERROR,7,2,BIS,LAC,2B,2B,2B,10,,,,1
Kev Biffington,2276,345.0,Hank Braun,2507,8.0,K,337.0,T5,0,6,0,9,0.07%,-0.07%,0,0,IMPORT ERROR,7,2,BIS,LAC,K,K,K,,,,,2
Matt Himynamis,361,880.0,Hank Braun,2507,619.0,Sac,261.0,T5,1,6,0,9,0.03%,-0.03%,1,0,IMPORT ERROR,7,2,BIS,LAC,FO,FO,Sac,10,,,,2
Fik Seiko,2207,120.0,Hank Braun,2507,981.0,BB,139.0,T5,2,2,0,10,0.02%,-0.02%,0,0,IMPORT ERROR,7,2,BIS,LAC,BB,FO,BB,,,,,1
Monty Johnson,557,922.0,Hank Braun,2507,615.0,K,307.0,T5,2,4,0,10,-0.03%,0.03%,0,0,IMPORT ERROR,7,2,BIS,LAC,K,K,K,,,,,1
Joey McCarty,390,,Phillip Mahooters,2253,,AUTO BB,,B5,0,0,0,10,0.06%,-0.06%,0,0,IMPORT ERROR,7,2,LAC,BIS,AUTO BB,AUTO BB,AUTO BB,,,,,10
Trey Henderson,2672,333.0,Phillip Mahooters,2253,636.0,K,303.0,B5,0,1,0,10,-0.07%,0.07%,0,0,IMPORT ERROR,7,2,LAC,BIS,K,K,K,,,,,1
Hunter Scott CCCXXVII,786,333.0,Phillip Mahooters,2253,630.0,K,297.0,B5,1,1,0,10,-0.01%,0.01%,0,0,IMPORT ERROR,7,2,LAC,BIS,K,K,K,,,,,1
Hank Braun,2507,850.0,Phillip Mahooters,2253,999.0,BB,149.0,B5,2,1,0,10,0.01%,-0.01%,0,0,IMPORT ERROR,7,2,LAC,BIS,BB,FO,BB,,,,,1
Mr Peggable,259,615.0,Phillip Mahooters,2253,213.0,RGO,402.0,B5,2,4,0,10,-0.02%,0.02%,0,0,IMPORT ERROR,7,2,LAC,BIS,RGO,RGO,RGO,,,,,1
Tucker Doubt,567,741.0,Brent Chillwater,2689,801.0,1B,60.0,T1,0,0,0,0,2.91%,-2.91%,0,0,IMPORT ERROR,8,2,CCD,BAG,1B,1B,2B,,,,,1
Tucker Doubt,567,1.0,Brent Chillwater,2689,7.0,SB,6.0,T1,0,1,0,0,3.42%,-3.42%,0,0,IMPORT ERROR,8,2,CCD,BAG,STEAL 2B,STEAL 2B,SB,,,,,4
Geno Scaramucci,165,911.0,Brent Chillwater,2689,221.0,PO,310.0,T1,0,2,0,0,-4.19%,4.19%,0,0,IMPORT ERROR,8,2,CCD,BAG,PO,PO,K,,,,,1
"Kiwi Cleveland, Esq.",2679,441.0,Brent Chillwater,2689,117.0,RGO,324.0,T1,1,2,0,0,-3.67%,3.67%,0,0,IMPORT ERROR,8,2,CCD,BAG,RGO,RGO,K,,,,,1
Skippy Gustafsson,1773,170.0,Brent Chillwater,2689,11.0,BB,159.0,T1,2,3,0,0,1.65%,-1.65%,0,0,IMPORT ERROR,8,2,CCD,BAG,BB,FO,BB,,,,,1
Chicano Bradley,2509,804.0,Brent Chillwater,2689,441.0,PO,363.0,T1,2,5,0,0,-6.57%,6.57%,0,0,IMPORT ERROR,8,2,CCD,BAG,PO,PO,K,,,,,1
Tuck,163,714.0,LaCarpetron Dukemarriot,775,827.0,BB,113.0,B1,0,0,0,0,2.76%,-2.76%,0,0,IMPORT ERROR,8,2,BAG,CCD,BB,FO,1B,,,,,1
Doc Otis,2256,666.0,LaCarpetron Dukemarriot,775,828.0,BB,162.0,B1,0,1,0,0,5.20%,-5.20%,0,0,IMPORT ERROR,8,2,BAG,CCD,BB,FO,BB,,,,,1
Walter Yeller Weller,647,244.0,LaCarpetron Dukemarriot,775,879.0,K,365.0,B1,0,4,0,0,-4.27%,4.27%,0,0,IMPORT ERROR,8,2,BAG,CCD,K,K,K,,,,,1
Dutch Boggs,2625,276.0,LaCarpetron Dukemarriot,775,1.0,K,275.0,B1,1,4,0,0,-3.64%,3.64%,0,0,IMPORT ERROR,8,2,BAG,CCD,K,K,FO,,,,,1
B.a. Dickey,802,327.0,LaCarpetron Dukemarriot,775,918.0,PO,409.0,B1,2,4,0,0,-6.49%,6.49%,0,0,IMPORT ERROR,8,2,BAG,CCD,PO,PO,RGO,,,,,1
Laars Nootbaar jr,2730,875.0,Brent Chillwater,2689,222.0,RGO,347.0,T2,0,0,0,0,-2.72%,2.72%,0,0,IMPORT ERROR,8,2,CCD,BAG,RGO,RGO,K,,,,,1
Taro Tsujimoto,2690,518.0,Brent Chillwater,2689,900.0,RGO,382.0,T2,1,0,0,0,-2.40%,2.40%,0,0,IMPORT ERROR,8,2,CCD,BAG,RGO,RGO,PO,,,,,1
Franklin Poffenberger,2747,511.0,Brent Chillwater,2689,352.0,FO,159.0,T2,2,0,0,0,-1.99%,1.99%,0,0,IMPORT ERROR,8,2,CCD,BAG,FO,FO,BB,,,,,1
Tasker Morris,287,287.0,LaCarpetron Dukemarriot,775,704.0,PO,417.0,B2,0,0,0,0,-2.72%,2.72%,0,0,IMPORT ERROR,8,2,BAG,CCD,PO,PO,RGO,,,,,1
Sid Houn,2258,711.0,LaCarpetron Dukemarriot,775,467.0,K,244.0,B2,1,0,0,0,-2.38%,2.38%,0,0,IMPORT ERROR,8,2,BAG,CCD,K,K,FO,,,,,1
Mike LaViva,2761,250.0,LaCarpetron Dukemarriot,775,821.0,RGO,429.0,B2,2,0,0,0,-2.03%,2.03%,0,0,IMPORT ERROR,8,2,BAG,CCD,RGO,RGO,RGO,,,,,1
LaCarpetron Dukemarriot,775,626.0,Brent Chillwater,2689,744.0,1B,118.0,T3,0,0,0,0,3.31%,-3.31%,0,0,IMPORT ERROR,8,2,CCD,BAG,1B,1B,1B,,,,,1
