G,IP,BF,H,R,ER,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,SB_A,CS_A,SB%_A,Season,Pitcher ID,Team,is_sub_row,Last Team,FIP,nIP,ERA+,nRuns,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
10.0,35.333333333333336,157.0,47.0,23.0,23.0,15.0,0.0,0.0,26.0,9.0,27.0,15.0,18.0,29.0,7.0,0.0,3.9056603773584904,1.7547169811320753,7.981132075471697,1.5283018867924527,2.5471698113207544,4.415094339622641,1.7333333333333334,0.3333333333333333,0.39490445859872614,0.624113475177305,1.019017933776031,0.35514018691588783,0.05732484076433121,0.16560509554140126,0.09554140127388536,0.5384615384615384,0.46153846153846156,1.1666666666666667,231.15,-0.05040059914413675,-0.9683999999999999,141.0,1.0,0.0,8.0,3.0,42.0,36.0,3.0,2.0,0.6,S7,76,COL,False,COL,4.286483717230547,36.333333333333336,89.0,25.262243645946178,5.0,9.0,4.0,1.0,3.0,4.0,0.0,0.0,0.42857142857142855,0.6181349966232744
7.0,28.666666666666668,126.0,33.0,13.0,13.0,15.0,0.0,0.0,25.0,9.0,19.0,14.0,12.0,18.0,9.0,0.0,2.7209302325581395,1.6744186046511627,6.906976744186046,1.8837209302325582,3.1395348837209296,5.232558139534884,1.6666666666666667,0.2972972972972973,0.38095238095238093,0.5855855855855856,0.9665379665379665,0.3116883116883117,0.07142857142857142,0.1984126984126984,0.11904761904761904,0.5423728813559322,0.4576271186440678,1.1851851851851851,248.4108527131783,-4.710062327329493,0.20980000000000004,111.0,0.0,0.0,5.0,0.0,32.0,27.0,1.0,2.0,0.3333333333333333,S7,92,DET,False,DET,5.080252914246782,28.333333333333332,117.0,15.023273583305901,5.0,5.0,3.0,0.0,2.0,1.0,0.0,0.0,0.6666666666666666,0.9630442074164935
4.0,16.666666666666668,83.0,30.0,17.0,17.0,11.0,0.0,0.0,10.0,8.0,13.0,14.0,8.0,7.0,3.0,0.0,6.119999999999999,2.46,10.799999999999999,2.88,3.9599999999999995,3.5999999999999996,0.9090909090909091,0.4166666666666667,0.4939759036144578,0.8888888888888888,1.3828647925033466,0.4074074074074074,0.0963855421686747,0.12048192771084337,0.13253012048192772,0.7222222222222222,0.2777777777777778,2.6,214.48275862068965,7.040213411435399,-0.9542,72.0,0.0,0.0,8.0,1.0,26.0,10.0,0.0,4.0,0.0,S7,103,DET,False,DET,8.193276170060734,15.666666666666666,44.0,21.9192219657029,3.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.3799010879789829
8.0,31.0,129.0,27.0,19.0,19.0,13.0,0.0,2.0,16.0,7.0,9.0,17.0,11.0,34.0,11.0,0.0,3.6774193548387095,1.2903225806451613,5.225806451612903,1.3548387096774193,2.5161290322580645,3.096774193548387,1.2307692307692308,0.23275862068965517,0.31007751937984496,0.5172413793103449,0.8273188986901898,0.21505376344086022,0.05426356589147287,0.12403100775193798,0.10077519379844961,0.40789473684210525,0.5921052631578947,0.6888888888888889,252.84375,-1.0988229692343108,0.35090000000000005,116.0,0.0,0.0,10.0,1.0,31.0,45.0,0.0,1.0,0.0,S7,109,HOU,False,HOU,4.334566492641381,31.333333333333332,111.0,17.4754087559432,6.0,4.0,2.0,1.0,1.0,2.0,2.0,0.0,0.3333333333333333,0.6136354614803932
4.0,12.0,53.0,13.0,8.0,8.0,6.0,0.0,1.0,14.0,2.0,5.0,5.0,2.0,8.0,5.0,0.0,4.0,1.5833333333333333,6.5,1.0,3.0,7.0,2.3333333333333335,0.2765957446808511,0.3584905660377358,0.5531914893617021,0.911682055399438,0.3548387096774194,0.03773584905660377,0.2641509433962264,0.11320754716981132,0.35,0.65,0.5384615384615384,247.4814814814815,1.2274482589319438,0.08049999999999985,47.0,0.0,0.0,5.0,1.0,7.0,13.0,0.0,2.0,0.0,S7,111,HOU,False,HOU,2.5066095033940687,11.666666666666666,91.0,7.9482243319268635,2.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.5,0.08422352853718537
7.0,32.0,130.0,29.0,19.0,19.0,8.0,0.0,1.0,51.0,9.0,12.0,6.0,12.0,15.0,9.0,0.0,3.5625,1.15625,5.4375,1.6875,1.5,9.5625,6.375,0.23770491803278687,0.2846153846153846,0.5409836065573771,0.8255989911727617,0.3225806451612903,0.06923076923076923,0.3923076923076923,0.06153846153846154,0.45454545454545453,0.5454545454545454,0.8333333333333334,259.35114503816794,-1.686516841467526,0.2295000000000001,122.0,0.0,0.0,6.0,2.0,20.0,24.0,1.0,1.0,0.5,S7,112,HOU,False,HOU,2.3920261700607357,31.666666666666668,104.0,18.794153356826456,6.0,4.0,3.0,1.0,3.0,3.0,0.0,0.0,0.5,0.6763099119948539
1.0,1.3333333333333333,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.6666666666666666,0.3333333333333333,2.0,334.0,-1.0525231838038935,0.12139999999999998,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,,S7,117,HOU,False,HOU,-0.3267238299392643,2.0,inf,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.12087257154494631
7.0,24.333333333333332,104.0,32.0,10.0,10.0,7.0,1.0,0.0,14.0,2.0,18.0,14.0,14.0,16.0,7.0,0.0,2.4657534246575343,1.6027397260273974,7.890410958904111,0.49315068493150693,1.7260273972602742,3.4520547945205484,2.0,0.32989690721649484,0.375,0.5360824742268041,0.9110824742268041,0.37037037037037035,0.019230769230769232,0.1346153846153846,0.0673076923076923,0.603448275862069,0.39655172413793105,1.5217391304347827,246.35576923076923,-4.733570422366981,0.11759999999999995,97.0,0.0,0.0,10.0,2.0,35.0,23.0,0.0,1.0,0.0,S7,130,KCR,False,KCR,1.954098087868955,24.0,126.0,11.731896680086894,6.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.5,0.8794836245151793
6.0,21.333333333333332,107.0,29.0,24.0,24.0,20.0,0.0,2.0,17.0,7.0,17.0,8.0,10.0,17.0,6.0,0.0,6.75,2.296875,8.15625,1.96875,5.625,4.78125,0.85,0.3372093023255814,0.45794392523364486,0.6511627906976745,1.1091067159313193,0.3492063492063492,0.06542056074766354,0.1588785046728972,0.18691588785046728,0.5,0.5,1.0,212.65740740740742,12.169573094427657,-0.8319,86.0,1.0,0.0,4.0,1.0,23.0,23.0,3.0,1.0,0.75,S7,131,NYY,False,NYY,6.657651170060736,21.333333333333332,64.0,20.506078872809713,5.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.25,-0.7991155372908669
11.0,15.666666666666666,61.0,10.0,5.0,5.0,8.0,2.0,0.0,6.0,2.0,2.0,7.0,11.0,14.0,5.0,0.0,1.9148936170212767,1.148936170212766,3.8297872340425534,0.7659574468085107,3.063829787234043,2.297872340425532,0.75,0.18867924528301888,0.29508196721311475,0.4339622641509434,0.7290442313640582,0.17777777777777778,0.03278688524590164,0.09836065573770492,0.13114754098360656,0.525,0.475,1.105263157894737,275.1803278688525,-5.1539505039206315,0.20869999999999994,53.0,0.0,0.0,5.0,1.0,21.0,19.0,1.0,1.0,0.5,S7,134,ARI,False,ARI,3.598808084954353,17.666666666666668,202.0,5.413502109704641,0.0,9.0,0.0,0.0,3.0,1.0,1.0,0.0,0.75,0.7536039111515569
