ID,Season,Display Season,Team,Franchise,HR,3B,2B,1B,BB,IBB,Auto BB,FO,SO,PO,RGO,LGO,LO,SF,SH,GO,DP,TP,SB,CS,H,IP,BF,AB,TB,G_list,G,ER,Total Diff,Total Plays,RE24,WAR,WPA,0 Diffs,500 Diffs,300+ Pitches,400+ Pitches,Last Team,Last Session,W,L,SV,HLD,BS,GS,GF,CG,SHO,OPP,nER,nIP,FIP Constant,lgnER,lgnIP,lgnERA,ERA,WHIP,FIP,H6,HR6,BB6,SO6,SO/BB,BA,OBP,SLG,OPS,BABIP,SB%,HR%,K%,BB%,GB%,FB%,GB/FB,W-L%,SV%,nERA,Avg Diff,Name,Batting Type,Pitching Type,Handedness,Position,Pitching Type (Main),ERA-
249,9,S9,TEN,TEN,1,0,1,3,2,0,0,4,3,4,4,6,0,0,0,10,1,0,0,0,5,7.333333333333333,28,26,9,"{9016, 9001, 9004, 9012}",4,2,8211.0,28,-1.512720080057541,0.2653796430421817,0.148,1,0,16,8,TEN,6,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2.196078431372549,7.333333333333333,1.1661290322580649,91.03411749655176,206.66666666666663,2.642925991835374,1.636363636363637,0.9545454545454546,2.938856304985338,4.090909090909092,0.8181818181818183,1.636363636363637,2.4545454545454546,1.5,0.1923076923076923,0.25,0.3214285714285714,0.5714285714285714,0.1818181818181818,0.0,0.0357142857142857,0.1071428571428571,0.0714285714285714,0.5555555555555556,0.2222222222222222,2.5000000000000004,0.0,1.0,1.7967914438502677,293.25,Tequila Sunrise,1B,TD-S,Right,P,TD,67.98493220774941
251,3,S3,VT,VT,2,0,2,1,0,0,0,1,0,2,3,1,0,0,0,4,0,0,0,0,5,2.333333333333333,12,12,13,{3005},1,4,2553.0,12,2.3647752394988943,-0.1197220213200843,-0.6484000000000001,0,0,4,1,VT,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.3478260869565215,2.333333333333333,1.7624999999999995,38.11708074534161,53.333333333333336,4.28817158385093,10.285714285714285,2.142857142857143,12.905357142857142,12.857142857142858,5.142857142857142,0.0,0.0,0.0,0.4166666666666667,0.4166666666666667,1.0833333333333333,1.5,0.3,0.0,0.1666666666666666,0.0,0.0,0.5714285714285714,0.1428571428571428,4.0,0.0,0.0,11.180124223602483,212.75,Seik Golden,BC,BB-B,Right,P,BB,260.7200762606224
252,3,S3,CSUF,CSUF,0,0,0,0,1,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,3.0,10,9,0,{3001},1,0,2359.0,9,-1.9830508474576272,0.295601336937267,0.1823,0,0,5,0,CSUF,1,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,1.7624999999999995,38.11708074534161,53.333333333333336,4.28817158385093,0.0,0.3333333333333333,-0.570833333333334,0.0,0.0,2.0,10.0,5.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.5,0.1,0.0,1.0,0.0,1.0,0.0,0.0,262.1111111111111,Oscar Vinegrette,BN,BB-B,Right,P,BB,0.0
256,7,S7,UVA,UVA,3,3,1,3,2,0,0,0,3,1,9,5,0,0,0,14,1,0,0,1,10,6.666666666666667,30,28,26,"{7001, 7011, 7004}",3,7,7891.0,30,3.787668798862829,-0.1748952468387907,-0.9658000000000004,0,0,16,8,UVA,4,0.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,7.1309523809523805,6.666666666666667,1.1370967741935485,62.17113095238095,123.66666666666669,3.016389102810935,6.300000000000001,1.7999999999999998,6.987096774193548,9.0,2.7,1.7999999999999998,2.7,1.5,0.3571428571428571,0.4,0.8666666666666667,1.2666666666666666,0.3181818181818182,0.0,0.1,0.1,0.0666666666666666,0.9333333333333332,0.0,inf,0.0,0.0,6.417857142857143,263.03333333333336,Threefinger Jansen lll,WC,EG-H,Left,P,EG,212.7662222647742
258,4,S4,UWO,UWO,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1.0,3,3,0,{4001},1,0,865.0,3,-0.5102040816326531,0.0720732121386428,0.0951999999999999,0,0,1,0,UWO,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7279151943462896,52.05128205128205,94.33333333333331,3.3106822506115794,0.0,0.0,-2.2720848056537104,0.0,0.0,0.0,12.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0,288.3333333333333,Tyler Palmatier,SM,NT-H,Right,P,NT,0.0
265,6,S6,OSU,OSU,0,0,1,2,3,0,0,4,2,0,5,3,0,0,0,8,1,0,0,2,3,5.666666666666667,20,17,4,"{6004, 6006, 6007}",3,1,6225.0,22,-1.262230919765166,0.260003269338109,-0.003,0,0,10,5,OSU,4,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.2857142857142856,5.666666666666667,1.227906976744186,31.89065934065934,71.66666666666667,2.669915665729619,1.0588235294117645,1.0588235294117647,2.1102599179206565,3.1764705882352944,0.0,3.1764705882352944,2.117647058823529,0.6666666666666666,0.1764705882352941,0.3,0.2,0.5,0.2,0.0,0.0,0.1,0.15,0.6666666666666666,0.3333333333333333,2.0,1.0,0.0,1.361344537815126,282.95454545454544,Mecha Godzilla,P,EG-H,Right,P,EG,50.988297319237816
275,4,S4,UNC,UNC,1,1,1,1,3,0,0,2,6,0,1,2,0,0,0,3,0,1,1,0,4,4.333333333333333,18,15,10,{4006},1,1,4263.0,19,-0.1741496598639456,0.1507493911637859,0.1827,0,0,6,3,UNC,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,4.333333333333333,1.7279151943462896,52.05128205128205,94.33333333333331,3.3106822506115794,1.3846153846153846,1.6153846153846154,4.035607502038598,5.538461538461538,1.3846153846153846,4.153846153846154,8.307692307692308,2.0,0.2666666666666666,0.3888888888888889,0.5555555555555556,0.9444444444444444,0.375,1.0,0.0555555555555555,0.3333333333333333,0.1666666666666666,0.6,0.4,1.4999999999999998,0.0,0.0,2.769230769230769,224.3684210526316,Richard Northstar,BP,TT-S,Left,P,TT,83.64532019704433
275,6,S6,GEO,GEO,0,0,0,2,3,0,0,2,9,1,2,4,0,0,0,6,1,0,1,0,2,6.333333333333333,23,20,2,"{6002, 6007}",2,0,6298.0,22,-2.5264488935721814,0.3985869010244098,0.6666000000000001,0,0,10,7,GEO,4,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.4461538461538462,6.333333333333333,1.227906976744186,31.89065934065934,71.66666666666667,2.669915665729619,0.0,0.7894736842105263,-0.1931456548347614,1.8947368421052635,0.0,2.8421052631578947,8.526315789473685,3.0,0.1,0.217391304347826,0.0869565217391304,0.3043478260869565,0.1818181818181818,1.0,0.0,0.391304347826087,0.1304347826086956,0.6666666666666666,0.2222222222222222,3.0,1.0,0.0,0.422672064777328,286.27272727272725,Richard Northstar,TT,TT-H,Right,P,TT,15.830914444326565
321,3,S3,TOL,TOL,1,0,0,3,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,4,2.0,10,10,7,{3002},1,3,2102.0,10,1.6779661016949152,-0.0705003579779872,-0.4477999999999999,0,0,3,0,TOL,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,2.0,1.7624999999999995,38.11708074534161,53.333333333333336,4.28817158385093,9.0,2.0,3.2625,12.0,3.0,0.0,15.0,inf,0.4,0.4,0.7,1.1,0.75,0.0,0.1,0.5,0.0,0.0,1.0,0.0,0.0,0.0,9.0,210.2,Richard Saks,BN,BS-B,Right,P,BS,209.87966138980104
326,6,S6,GT,GT,0,1,3,1,1,0,0,2,4,1,5,4,0,0,0,9,0,0,0,0,5,5.333333333333333,22,21,10,"{6008, 6003}",2,1,5864.0,22,-0.4090019569471622,0.1746803730563086,0.9795,0,0,10,5,GT,4,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,5.333333333333333,1.227906976744186,31.89065934065934,71.66666666666667,2.669915665729619,1.125,1.125,0.2904069767441859,5.625,0.0,1.125,4.5,4.0,0.238095238095238,0.2727272727272727,0.4545454545454545,0.7272727272727273,0.2941176470588235,0.0,0.0,0.1818181818181818,0.0454545454545454,0.75,0.1666666666666666,4.5,1.0,0.0,1.125,266.54545454545456,Arm N. Hammer,XB,TD-S,Right,P,TD,42.13616236798126
