ID,Game ID,Season,Display Season,Session,Team,Franchise,Opponent,HR,3B,2B,1B,BB,IBB,Auto BB,FO,SO,PO,RGO,LGO,DP,SB,CS,H,BF,IP,ER,RE24,WAR,WPA,300+ Pitches,400+ Pitches,Location
474,4009,4,S4,2,UWO,UWO,VT,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,3,5,0.6666666666666666,2,2.0,-0.1649119933743706,-0.0319999999999999,2,1,Home
478,4011,4,S4,2,WSU,WSU,GT,1,1,1,0,0,0,0,3,2,6,0,1,0,0,0,3,15,4.0,1,-1.0408163265306123,0.2093456525299491,0.0776999999999999,6,1,Home
481,4004,4,S4,1,WSU,WSU,SBU,0,0,0,2,0,0,0,2,4,4,0,1,0,1,1,2,13,4.0,1,-1.0408163265306123,0.2093456525299491,0.1500999999999999,10,2,Home
495,4001,4,S4,1,UWO,UWO,MIC,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,4,1.0,0,-0.5102040816326531,0.0790908134637687,0.0808,2,1,Home
496,4009,4,S4,2,UWO,UWO,VT,2,1,0,3,2,0,1,0,2,1,4,3,0,1,0,6,18,3.333333333333333,7,4.959183673469388,-0.3625839421695473,-0.4295,8,3,Home
517,4003,4,S4,1,CLM,CLM,GT,0,2,3,3,2,1,0,3,3,0,1,3,1,0,1,8,20,4.0,6,3.959183673469388,-0.2485487395192956,-0.7315,6,3,Home
517,4008,4,S4,2,CLM,CLM,SBU,0,1,1,1,1,0,0,4,5,2,0,1,0,0,0,3,16,4.0,1,-1.0408163265306123,0.216363253855075,0.3671,3,3,Home
520,4010,4,S4,2,ULA,ULA,VAN,1,0,1,2,5,0,1,3,3,3,0,0,0,0,0,4,18,3.0,4,2.4693877551020407,-0.1206219516579385,-0.5343,3,0,Away
524,4002,4,S4,1,WWU,WWU,VT,0,1,0,1,2,0,0,5,3,0,3,1,0,0,0,2,16,4.0,1,-1.0408163265306123,0.216363253855075,0.1953,7,4,Home
535,4009,4,S4,2,VT,VT,UWO,0,1,2,2,1,0,0,2,6,1,1,2,0,0,0,5,18,4.0,3,0.9591836734693876,0.0303984565053267,0.0384,9,2,Away
553,5003,5,S5,1,WSU,WSU,NEB,0,0,0,1,1,0,0,2,6,0,2,2,0,0,0,1,14,4.0,0,-2.30188679245283,0.3022049146673317,0.3096,8,4,Home
553,5012,5,S5,3,WSU,WSU,SLC,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,4,1.0,0,-0.5754716981132075,0.0781232370747632,0.0483,0,0,Home
553,5022,5,S5,6,WSU,WSU,CCU,1,0,2,3,5,0,0,4,6,1,1,0,0,0,0,6,23,4.0,5,3.2489904005296264,-0.2065866532881682,-0.0688,5,0,Home
562,4004,4,S4,1,SBU,SBU,WSU,2,0,0,4,0,0,0,2,2,0,0,5,0,0,0,6,15,3.0,4,2.4693877551020407,-0.1416747556333161,-0.3500000000000001,6,4,Away
585,4005,4,S4,1,ULA,ULA,NU,1,0,0,2,3,0,0,3,3,4,0,1,0,1,1,3,17,4.0,1,-1.0408163265306123,0.2374160578304526,0.4432,6,4,Away
600,4003,4,S4,1,GT,GT,CLM,0,0,1,1,0,0,0,3,3,0,0,0,0,0,0,2,8,2.0,1,-0.020408163265306,0.0581816269275375,-0.183,2,0,Away
600,4011,4,S4,2,GT,GT,WSU,0,0,0,0,0,0,0,3,3,2,2,2,0,0,0,0,12,4.0,0,-2.0408163265306123,0.2882928485545715,0.5776,7,4,Away
604,4001,4,S4,1,MIC,MIC,UWO,0,0,1,1,0,0,0,2,6,1,3,0,0,0,0,2,14,4.0,0,-2.0408163265306123,0.3023280512048233,0.5569999999999999,9,3,Away
605,4012,4,S4,2,MIC,MIC,WWU,2,1,1,2,0,0,0,4,5,2,2,1,1,0,0,6,20,5.0,3,-0.1741496598639454,0.1577669924889118,0.4175,5,3,Away
610,4005,4,S4,1,NU,NU,ULA,1,0,2,1,2,0,0,4,3,1,1,2,0,0,1,4,17,4.0,2,0.810465724751439,0.0452702513771216,-0.0566999999999999,7,3,Home
610,4007,4,S4,2,NU,NU,UNC,0,0,0,0,2,0,0,2,1,1,1,2,1,0,0,0,9,2.6666666666666665,0,-1.4485609628466771,0.2080145082108004,0.2899,5,4,Home
611,4007,4,S4,2,NU,NU,UNC,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.3333333333333333,0,-0.2435374149659864,0.0313713428217245,0.0302999999999999,1,0,Home
620,4007,4,S4,2,NU,NU,UNC,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.3333333333333333,0,-0.082051282051282,0.015222729530254,0.0274,0,0,Home
624,4008,4,S4,2,SBU,SBU,CLM,0,1,0,1,0,0,0,3,1,0,4,1,0,0,0,2,11,3.0,2,0.4693877551020406,0.0302548390661803,-0.133,5,1,Away
636,4002,4,S4,1,VT,VT,WWU,1,0,1,1,3,0,0,2,5,1,1,1,1,0,0,3,16,3.6666666666666665,2,0.2925170068027209,0.0830299205217416,-0.3048,3,3,Away
653,4012,4,S4,2,WWU,WWU,MIC,1,1,0,0,3,0,0,4,6,1,1,1,0,1,1,2,19,5.0,3,0.8258503401360543,0.0647845938140376,-0.0824,8,3,Home
656,4007,4,S4,2,UNC,UNC,NU,0,0,0,1,1,0,0,0,2,0,1,4,2,0,0,1,9,3.0,0,-1.530612244897959,0.2162196364159286,0.2927,4,4,Away
669,4006,4,S4,1,VAN,VAN,UNC,0,0,0,1,4,0,0,2,3,3,0,1,0,1,0,1,14,3.0,1,-0.5306122448979592,0.1583252443666838,0.1124999999999999,6,1,Home
702,5004,5,S5,1,UNC,UNC,GT,0,2,2,2,4,0,0,1,4,1,0,3,0,0,0,6,19,3.0,6,4.273584905660377,-0.3296221710646859,-0.3817,7,3,Away
