G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,nPA,nAB,nH,nTB,nBB,nSF,nSH,Season,Hitter ID,is_sub_row,Team,Last Team,Last Session,WAR
1,3,3,1,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,1.0,,0.0,0.6666666666666666,0.0,,,,224.66666666666666,0.3333333333333333,0.3333333333333333,-0.05059309925728167,-0.027200000000000002,0,0,BN,3,3,1,1,0,0,0,S12,178.0,False,CWS,CWS,2,0.007390082786822438
2,7,6,1,0,0,1,0,0,2,1,1,0,2,0,0,0,0,0,0,1,1,1,0,0,0.16666666666666666,0.2857142857142857,0.3333333333333333,0.6190476190476191,0.16666666666666666,0.25,,0.0,0.2857142857142857,0.14285714285714285,0.6666666666666666,0.3333333333333333,2.0,273.0,0.2857142857142857,0.3333333333333333,-0.5397038789394246,-0.0643,2,1,BC,7,6,1,2,1,0,0,S12,180.0,False,CLE,CLE,2,-0.024921804897991045
1,3,3,2,2,1,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.6666666666666666,1.0,1.6666666666666665,0.33333333333333337,1.0,,0.0,0.3333333333333333,0.0,,,,163.33333333333334,0.6666666666666666,1.0,1.0543803670706793,0.1802,0,0,BC,3,3,2,3,0,0,0,S12,190.0,False,FLA,FLA,2,0.11788742941961854
1,2,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,0.0,1.0,,0.0,0.5,0.0,,,,248.5,0.5,0.5,-1.1365079365079365,-0.026699999999999998,0,0,BC,2,2,1,1,0,0,0,S12,191.0,False,COL,COL,2,-0.10535119850909325
1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.5,271.6666666666667,0.0,0.0,-0.5431337812461281,-0.04490000000000001,1,2,1B,3,3,0,0,0,0,0,S12,204.0,False,LAD,LAD,2,-0.0418639854120622
1,2,2,2,1,1,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,2.5,3.5,1.5,1.0,,0.5,0.0,0.0,,,,60.5,1.0,2.5,1.4238215488215489,0.2084,0,0,SM,2,2,2,5,0,0,0,S12,219.0,False,CHC,CHC,1,0.15068175002385528
1,2,2,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.5,0.5,0.5,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,167.0,0.5,1.0,0.17854997538834072,0.05609999999999999,0,1,S,2,2,1,2,0,0,0,S12,220.0,False,PHI,PHI,2,0.026154592680534477
1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,216.5,0.0,0.0,-0.33883146461409547,-0.018799999999999997,0,2,SF,2,2,0,0,0,0,0,S12,226.0,False,PHI,PHI,1,-0.02558355131970914
2,6,6,2,2,0,1,1,0,5,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0.3333333333333333,0.3333333333333333,0.8333333333333334,1.1666666666666667,0.5,0.5,,0.0,0.3333333333333333,0.0,0.5,0.5,1.0,242.33333333333334,0.3333333333333333,1.0,0.09980949212520551,0.45219999999999994,1,1,XB,6,6,2,6,0,0,0,S12,230.0,False,CWS,CWS,2,0.03487973463762176
1,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5,0.0,0.5,0.0,,,0.0,0.5,0.5,,,,225.5,0.5,0.0,0.1972570235928412,0.014599999999999998,0,0,BP,2,1,0,0,1,0,0,S12,233.0,False,LAD,LAD,1,0.028025297500984526
2,3,3,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,1.0,0.0,,322.5,0.3333333333333333,0.3333333333333333,-0.29463880054520664,0.023200000000000002,2,0,SF,3,3,1,1,0,0,0,S12,238.0,False,NYM,NYM,2,-0.017014487341970058
1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,1.0,0.0,,376.5,0.0,0.0,-0.4993506334387023,-0.028700000000000003,1,0,HK,2,2,0,0,0,0,0,S12,241.0,False,ARI,ARI,1,-0.041635468202169824
1,3,3,1,1,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.6666666666666665,1.0,0.0,,0.3333333333333333,0.0,0.0,0.5,0.5,1.0,230.0,0.3333333333333333,1.3333333333333333,0.5006493665612977,0.1581,1,1,EN,3,3,1,4,0,0,0,S12,255.0,False,BAL,BAL,2,0.06251432936868037
2,5,3,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0.0,0.4,0.0,0.4,0.0,0.0,,0.0,0.2,0.4,0.5,0.5,1.0,273.0,0.4,0.0,0.2801574724052212,-0.02140000000000001,1,1,WC,5,3,0,0,2,0,0,S12,259.0,False,NYY,NYY,2,0.04876473509477313
2,7,7,3,1,3,0,0,0,3,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.8571428571428571,0.0,0.5,,0.0,0.14285714285714285,0.0,0.6666666666666666,0.3333333333333333,2.0,275.57142857142856,0.42857142857142855,0.3333333333333333,0.7804820527935923,0.03740000000000002,2,1,WC,7,6,2,2,1,0,0,S12,264.0,False,TBR,TBR,2,0.10709678827531063
2,6,3,1,0,1,0,0,0,1,1,2,0,0,0,0,1,0,1,0,0,0,1,2,0,0.3333333333333333,0.5,0.3333333333333333,0.8333333333333333,0.0,0.25,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,251.71428571428572,0.5,0.25,-0.05700464081212636,-0.0801,0,4,BP,6,4,1,1,2,0,0,S12,265.0,False,CIN,CIN,2,0.019198321343888575
1,3,3,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,,0.0,0.0,0.0,0.5,0.5,1.0,277.6666666666667,0.3333333333333333,0.6666666666666666,-0.46827604624509006,-0.050499999999999996,1,1,XB,3,3,1,2,0,0,0,S12,268.0,False,COL,COL,1,-0.0343782119119584
1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,2.0,384.3333333333333,0.0,0.0,-1.4900166023463184,-0.15630000000000002,2,1,BC,3,3,0,0,0,0,0,S12,271.0,False,BAL,BAL,2,-0.13655226752208122
2,3,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.5,,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,180.33333333333334,0.3333333333333333,0.3333333333333333,-0.11671745158815133,-0.0004999999999999866,0,1,1B,3,3,1,1,0,0,0,S12,278.0,False,NYM,NYM,2,0.0007776475537354721
1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,1.0,392.0,0.0,0.0,-0.7880343740483006,-0.0822,1,1,BC,2,2,0,0,0,0,0,S12,287.0,False,PHI,PHI,2,-0.07050384226312965
