ID,Season,Display Season,Team,Franchise,HR,3B,2B,1B,BB,IBB,FO,SO,Auto K,PO,RGO,LGO,LO,SF,SH,GO,GIDP,GITP,SB 2B,SB 3B,SB Home,CS 2B,CS 3B,CS Home,SB,CS,1RHR,2RHR,3RHR,4RHR,H_RISP,AB_RISP,H,PA,AB,TB,TB+,G_list,G,R,RBI,Total Diff,Total Plays,RE24,WPA,WAR,0 Diffs,500 Diffs,Last Team,Last Session,nH,nTB,nBB,nFO,nSH,nPA,nAB,SF value,nSF,lgnH,lgnBB,lgnPA,lgnAB,lgnTB,lgnOBP,lgnSLG,BA,BARISP,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,K%,BB%,GB%,FB%,GB/FB,nOBP,nSLG,Avg Diff,Name,Batting Type,Pitching Type,Handedness,Position,OPS+
121,3,S3,TCU,TCU,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,1,3,3,1,1,"{3002, 3007}",2,0,0,546.0,3,-0.5755952380952382,-0.0306999999999999,-0.0335016462202218,0,0,TCU,2,1,1,0,2,0,3,2.930735930735931,0.0346320346320346,0.0692640692640692,50,23,230,205.3722943722944,111,0.3173913043478261,0.5404818616808247,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.3412112259970458,182.0,Chaz McDunnough,BN,,Right,LF,68.15376109400914
132,3,S3,CSUF,CSUF,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,1,3,3,1,1,"{3001, 3010}",2,1,0,777.0,3,0.5999999999999999,-0.0304,0.0840578775893019,0,0,CSUF,2,1,1,0,0,0,3,3.0,0.0346320346320346,0.0,50,23,230,205.3722943722944,111,0.3173913043478261,0.5404818616808247,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.5,,0.0,0.3333333333333333,0.0,0.0,0.0,,0.3333333333333333,0.3333333333333333,259.0,Carlos Brownson,BN,,Right,C,66.69619272358997
134,3,S3,TOL,TOL,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,3,2,0,0,"{3008, 3002}",2,0,1,776.0,3,0.3472049689440994,-0.0738,0.0587783744837119,0,0,TOL,2,0,0,0,1,0,3,2.965367965367965,0.0346320346320346,0.0346320346320346,50,23,230,205.3722943722944,111,0.3173913043478261,0.5404818616808247,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.3333333333333333,0.0,0.5,0.5,1.0,0.0,0.0,258.6666666666667,Dart Ragusa,BN,BB-B,Right,1B,-100.0
134,5,S5,SLC,SLC,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0,4,4,0,0,"{5002, 5020, 5021}",3,0,0,1130.0,4,-1.48183169357434,-0.1242,-0.1219578097481059,0,0,SLC,6,0,0,0,1,0,4,3.96085409252669,0.0391459074733096,0.0391459074733096,183,73,827,748.7544483985765,362,0.309552599758162,0.4834695817490494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.25,0.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,282.5,Dart Ragusa,MH,,Right,1B,-100.0
135,3,S3,CSUF,CSUF,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0,2,2,0,0,"{3001, 3010}",2,0,0,687.0,2,-0.643064182194617,-0.0856,-0.048267833159927,0,0,CSUF,2,0,0,0,0,0,2,2.0,0.0346320346320346,0.0,50,23,230,205.3722943722944,111,0.3173913043478261,0.5404818616808247,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,,,,0.0,0.0,343.5,Lloyd Gross,BN,,Left,1B,-100.0
136,3,S3,WSU,WSU,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,3,3,2,2,"{3005, 3007}",2,1,0,915.0,3,2.354363617222865,0.0121,0.2594942393115885,0,0,WSU,2,1,2,0,0,0,3,3.0,0.0346320346320346,0.0,50,23,230,205.3722943722944,111,0.3173913043478261,0.5404818616808247,0.3333333333333333,,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,,0.0,0.0,0.0,1.0,0.0,inf,0.3333333333333333,0.6666666666666666,305.0,Tyler Gordon,BN,,Left,1B,128.36955439695163
138,3,S3,CSUF,CSUF,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,{3001},1,0,0,0.0,0,0.1410714285714286,0.0022,0.0221264353869101,0,0,CSUF,1,0,0,1,0,0,1,0.0,0.0346320346320346,0.0,50,23,230,205.3722943722944,111,0.3173913043478261,0.5404818616808247,,,1.0,,,,,,0.0,0.0,1.0,,,,1.0,,,Donnie Draper,BN,,Right,SS,
140,3,S3,WSU,WSU,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1.0,1,4,3,4,5,"{3005, 3007}",2,1,2,1023.0,4,1.5114209390462154,0.3552,0.1832192640236907,0,0,WSU,2,1,4,1,0,0,4,3.0,0.0346320346320346,0.0,50,23,230,205.3722943722944,111,0.3173913043478261,0.5404818616808247,0.3333333333333333,0.0,0.5,1.3333333333333333,1.8333333333333333,1.0,0.0,,0.25,0.0,0.25,0.5,0.0,inf,0.5,1.3333333333333333,255.75,Rob Patterson,BN,BS-B,Left,CF,304.22769326878904
141,3,S3,NEB,NEB,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,3,2,0,1,"{3003, 3006}",2,0,0,625.0,3,-1.075,-0.0040999999999999,-0.083442122410698,0,0,NEB,2,0,0,1,1,0,3,1.9653679653679648,0.0346320346320346,0.0346320346320346,50,23,230,205.3722943722944,111,0.3173913043478261,0.5404818616808247,0.0,,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,0.3333333333333332,0.0,208.3333333333333,Slapshot Brady,BN,,Right,CF,5.022831050228294
143,3,S3,RIC,RIC,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,2,0,0,"{3010, 3003}",2,0,0,697.0,2,-0.489588377723971,-0.0888,-0.0329202527128624,0,0,RIC,2,0,0,0,0,0,2,2.0,0.0346320346320346,0.0,50,23,230,205.3722943722944,111,0.3173913043478261,0.5404818616808247,0.0,,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,,,,0.0,0.0,348.5,Tommy Oldman,BN,,Right,CF,-100.0
144,3,S3,IND,IND,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,1,{3004},1,0,0,160.0,1,0.5271739130434783,0.0533,0.0607366838341151,0,0,IND,1,0,0,1,0,0,1,0.0,0.0346320346320346,0.0,50,23,230,205.3722943722944,111,0.3173913043478261,0.5404818616808247,,,1.0,,,,,,0.0,0.0,1.0,,,,1.0,,160.0,Homer Pimpson,BN,,Left,RF,
145,3,S3,WSU,WSU,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0,2,2,0,0,"{3005, 3007}",2,0,0,620.0,2,-0.5631908621960207,-0.0841,-0.0402805011600674,0,0,WSU,2,0,0,0,1,0,2,1.9653679653679648,0.0346320346320346,0.0346320346320346,50,23,230,205.3722943722944,111,0.3173913043478261,0.5404818616808247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,310.0,Jack Meloy,BP,,Right,RF,-100.0
146,3,S3,TOL,TOL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,{3002},1,0,0,0.0,0,0.880952380952381,0.051,0.0961145306250054,0,0,TOL,1,0,0,1,0,0,1,0.0,0.0346320346320346,0.0,50,23,230,205.3722943722944,111,0.3173913043478261,0.5404818616808247,,,1.0,,,,,,0.0,0.0,1.0,,,,1.0,,,Jerry Jingles,BN,,Right,RF,
152,3,S3,VT,VT,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1,2,2,4,4,"{3009, 3005}",2,1,2,215.0,2,1.3013975155279502,0.4331,0.1461783366123296,0,0,VT,2,1,4,0,1,0,2,1.9653679653679648,0.0346320346320346,0.0346320346320346,50,23,230,205.3722943722944,111,0.3173913043478261,0.5404818616808247,0.5,,0.5,2.0,2.5,1.5,0.0,,0.5,0.0,0.0,0.0,1.0,0.0,0.5,2.0352422907488985,107.5,Kris Jaxon,BP,,Left,C,434.0949482461762
154,3,S3,CSUF,CSUF,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,1,0,0,{3001},1,0,0,406.0,1,-0.3131908621960207,-0.003,-0.0232997936898347,0,0,CSUF,1,0,0,0,0,0,1,1.0,0.0346320346320346,0.0,50,23,230,205.3722943722944,111,0.3173913043478261,0.5404818616808247,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,406.0,Mac Aves,BC,,Right,2B,-100.0
156,3,S3,HOF,HOF,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,1,0,1,"{3001, 3006}",2,1,0,471.0,2,-0.3430641821946172,0.0228,-0.018267833159927,0,0,HOF,2,0,0,1,0,0,2,1.0,0.0346320346320346,0.0,50,23,230,205.3722943722944,111,0.3173913043478261,0.5404818616808247,0.0,,0.5,0.0,0.5,0.0,,,0.0,0.5,0.5,,,,0.5,0.0,235.5,Owen Thirlwell,BC,,Right,2B,57.53424657534247
161,3,S3,UOM,UOM,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,3,3,0,0,"{3009, 3004}",2,0,0,554.0,3,-0.806159420289855,-0.0857,-0.0565580644396835,0,0,UOM,2,0,0,0,3,0,3,2.896103896103896,0.0346320346320346,0.1038961038961039,50,23,230,205.3722943722944,111,0.3173913043478261,0.5404818616808247,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,184.66666666666663,Girth Brooks,BN,,Right,LF,-100.0
