G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,Season,Hitter ID,is_sub_row,Team,Last Team,Last Session,WAR
13.0,36.0,35.0,17.0,9.0,12.0,2.0,0.0,3.0,28.0,9.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,2.0,0.0,0.4857142857142857,0.5,0.8,1.3,0.31428571428571433,0.5384615384615384,,0.08333333333333333,0.16666666666666666,0.027777777777777776,0.5833333333333334,0.4166666666666667,1.4,222.36111111111111,0.5,0.8,6.761717088418701,0.9544000000000001,7.0,5.0,BC,S2,33.0,False,BOS,BOS,18,0.7987012637792832
5.0,12.0,11.0,4.0,2.0,2.0,1.0,0.0,1.0,8.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.36363636363636365,0.4166666666666667,0.7272727272727273,1.143939393939394,0.36363636363636365,0.42857142857142855,,0.08333333333333333,0.25,0.08333333333333333,0.25,0.75,0.3333333333333333,193.1,0.4166666666666667,0.7272727272727273,0.6331029436900781,0.09619999999999998,1.0,3.0,BP,S2,35.0,False,SEA,SEA,17,0.10415347934814552
8.0,19.0,19.0,6.0,1.0,4.0,2.0,0.0,0.0,8.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,6.0,0.0,0.0,0.3157894736842105,0.3157894736842105,0.42105263157894735,0.7368421052631579,0.10526315789473684,0.4,0.0,0.0,0.21052631578947367,0.0,0.3333333333333333,0.6666666666666666,0.5,240.95,0.3157894736842105,0.42105263157894735,-1.2914981132637107,-0.4826,3.0,6.0,BC,S2,37.0,False,WSH,WSH,11,-0.06448143510940305
5.0,13.0,13.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,1.0,0.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.3076923076923077,0.0,0.18181818181818182,,0.0,0.15384615384615385,0.0,0.5555555555555556,0.4444444444444444,1.25,327.6923076923077,0.15384615384615385,0.15384615384615385,-2.0308675950177584,-0.3257999999999999,5.0,4.0,BC,S2,41.0,False,CLE,CLE,18,-0.15883997577437667
1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,1.0,0.0,242.0,0.0,0.0,-0.37692911842027327,-0.1127,0.0,1.0,BP,S2,42.0,False,PIT,PIT,18,-0.030885714345504377
16.0,44.0,40.0,11.0,5.0,9.0,1.0,0.0,1.0,15.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,10.0,3.0,0.0,0.275,0.3409090909090909,0.375,0.7159090909090908,0.09999999999999998,0.2857142857142857,,0.022727272727272728,0.09090909090909091,0.09090909090909091,0.48,0.52,0.9230769230769231,251.95454545454547,0.3409090909090909,0.375,-4.336897121069051,-0.17880000000000007,12.0,13.0,BC,S2,47.0,False,TEX,TEX,18,-0.28393136718340023
9.0,22.0,19.0,4.0,3.0,3.0,1.0,0.0,0.0,5.0,2.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,1.0,0.0,0.21052631578947367,0.3181818181818182,0.2631578947368421,0.5813397129186603,0.05263157894736842,0.2857142857142857,,0.0,0.22727272727272727,0.13636363636363635,0.3,0.7,0.42857142857142855,253.95454545454547,0.3181818181818182,0.2631578947368421,0.8135394722552869,-0.11760000000000001,3.0,7.0,,S2,49.0,False,CLE,CLE,17,0.15623311968728112
3.0,9.0,7.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.2222222222222222,0.42857142857142855,0.6507936507936507,0.2857142857142857,0.3333333333333333,,0.0,0.5555555555555556,0.1111111111111111,0.5,0.5,1.0,266.1111111111111,0.2222222222222222,0.42857142857142855,-1.5420986159404269,-0.0998,1.0,1.0,BN,S2,51.0,False,TOR,TOR,3,-0.12357747285968941
6.0,16.0,16.0,3.0,2.0,1.0,0.0,0.0,2.0,9.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,1.0,0.0,0.1875,0.1875,0.5625,0.75,0.375,0.1,,0.125,0.25,0.0,0.4444444444444444,0.5555555555555556,0.8,283.3125,0.1875,0.5625,-2.9446679842354158,-0.5061,4.0,5.0,BN,S2,52.0,False,MIL,MIL,18,-0.24000921845135798
6.0,12.0,12.0,5.0,2.0,2.0,2.0,0.0,1.0,10.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.4166666666666667,0.4166666666666667,0.8333333333333334,1.25,0.4166666666666667,0.5,,0.08333333333333333,0.25,0.0,0.25,0.75,0.3333333333333333,203.45454545454547,0.4166666666666667,0.8333333333333334,0.6395165813192856,-0.012799999999999971,1.0,3.0,BN,S2,53.0,False,TOR,TOR,15,0.10479484311106627
2.0,6.0,5.0,2.0,1.0,1.0,0.0,0.0,1.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.4,0.5,1.0,1.5,0.6,0.3333333333333333,,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.5,1.0,202.83333333333334,0.5,1.0,1.2351735301916082,0.7746000000000001,1.0,1.0,BN,S2,55.0,False,CLE,CLE,18,0.14393894550872968
