G,IP,BF,H,R,ER,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,SB_A,CS_A,SB%_A,Type,Season,Pitcher ID,is_sub_row,Team,Last Team,FIP,nIP,ERA-,nRuns,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
4,11.0,48,10,9.0,9.0,6,0,3,8,4,4,4,5,12,3,0,4.909090909090909,1.4545454545454546,5.454545454545454,2.1818181818181817,3.2727272727272725,4.363636363636363,1.3333333333333333,0.23809523809523808,0.3333333333333333,0.5714285714285714,0.9047619047619047,0.2,0.08333333333333333,0.16666666666666666,0.125,0.4,0.6,0.6666666666666666,260.35555555555555,2.1560104874123764,0.05229999999999996,42,0,0,2,0,10,15,0,0,,FP-S,S10,778,False,KRK,KRK,5.918729463307777,11.0,109,8.28915333223167,3.0,1.0,0.0,0.0,1,2,0,0,0.3333333333333333,-0.02303744795845879
1,5.0,22,6,3.0,3.0,2,0,0,3,1,3,3,1,2,5,0,3.6,1.6,7.199999999999999,1.2000000000000002,2.4000000000000004,3.5999999999999996,1.5,0.3,0.36363636363636365,0.55,0.9136363636363637,0.3125,0.045454545454545456,0.13636363636363635,0.09090909090909091,0.4166666666666667,0.5833333333333334,0.7142857142857143,246.54545454545453,-1.2244224422442245,-0.05790000000000001,20,0,0,2,0,5,7,0,0,,WC-S,S10,783,False,ZAH,ZAH,3.6096385542168674,5.0,87,3.0,1.0,1.0,1.0,0.0,0,1,0,0,0.0,0.21070056124986278
2,11.0,42,9,3.0,3.0,2,0,0,13,0,5,5,4,7,2,0,1.6363636363636365,1.0,4.909090909090909,0.0,1.0909090909090908,7.090909090909092,6.5,0.225,0.2619047619047619,0.35,0.611904761904762,0.3333333333333333,0.0,0.30952380952380953,0.047619047619047616,0.55,0.45,1.2222222222222223,262.9047619047619,-4.744774477447746,0.5138,40,0,0,3,1,11,9,1,0,1.0,NH-S,S10,786,False,CRN,CRN,-0.8085432639649508,11.0,39,3.0,2.0,2.0,2.0,1.0,1,1,0,0,0.5,0.642970598429706
2,2.6666666666666665,12,4,3.0,3.0,0,0,0,5,3,1,1,1,0,1,0,6.75,1.5,9.0,6.75,0.0,11.25,,0.3333333333333333,0.3333333333333333,1.0833333333333333,1.4166666666666665,0.25,0.25,0.4166666666666667,0.0,0.6666666666666666,0.3333333333333333,2.0,253.54545454545453,1.5350410041004103,-0.3718,12,0,0,0,0,2,1,0,0,,TT-H,S10,1709,False,SEO,SEO,11.884638554216867,4.0,108,3.0,0.0,1.0,0.0,0.0,0,0,0,1,0.0,-0.10536320021434631
5,15.0,65,17,10.0,10.0,4,1,0,6,5,7,10,11,13,3,1,4.0,1.4,6.8,2.0,1.6,2.4000000000000004,1.5,0.2833333333333333,0.3230769230769231,0.6333333333333333,0.9564102564102563,0.24,0.07692307692307693,0.09230769230769231,0.06153846153846154,0.5789473684210527,0.42105263157894735,1.375,245.55384615384617,-0.7952145276025768,-0.6176000000000001,60,1,0,4,1,22,16,1,0,1.0,EG-H,S10,1724,False,ZAH,ZAH,5.342971887550201,15.666666666666666,90,9.765511134549772,2.0,3.0,1.0,0.0,1,2,0,0,0.3333333333333333,0.3402846621536041
6,16.0,65,20,12.0,12.0,2,0,0,7,2,9,12,10,11,3,0,4.5,1.375,7.5,0.75,0.75,2.625,3.5,0.3225806451612903,0.3384615384615385,0.6129032258064516,0.9513647642679901,0.3333333333333333,0.03076923076923077,0.1076923076923077,0.03076923076923077,0.6410256410256411,0.358974358974359,1.7857142857142858,244.53731343283582,0.607726157231107,0.029799999999999882,62,1,0,6,3,25,14,0,2,0.0,EG-B,S10,1799,False,GRS,GRS,2.1346385542168673,15.333333333333334,124,13.14731385563821,4.0,1.0,0.0,0.0,2,1,0,0,0.6666666666666666,0.1999905936702357
1,5.0,18,4,3.0,3.0,0,0,0,4,1,3,2,3,3,2,0,3.6,0.8,4.800000000000001,1.2000000000000002,0.0,4.800000000000001,,0.2222222222222222,0.2222222222222222,0.3888888888888889,0.6111111111111112,0.23076923076923078,0.05555555555555555,0.2222222222222222,0.0,0.5454545454545454,0.45454545454545453,1.2,292.1666666666667,-0.5203520352035202,-0.20549999999999993,18,0,0,0,0,6,5,0,0,,TD-S,S10,1838,False,BEE,BEE,2.0096385542168673,5.0,87,3.0,1.0,1.0,1.0,0.0,0,1,0,0,0.0,0.12424655381389409
5,5.333333333333333,22,6,4.0,4.0,0,0,0,3,3,1,3,3,5,2,0,4.5,1.125,6.75,3.375,0.0,3.375,,0.2727272727272727,0.2727272727272727,0.7727272727272727,1.0454545454545454,0.1875,0.13636363636363635,0.13636363636363635,0.0,0.46153846153846156,0.5384615384615384,0.8571428571428571,230.27272727272728,0.9512388738873886,-0.5256,22,0,0,2,0,6,7,0,0,,EN-S,S10,2206,False,SEO,SEO,7.197138554216867,5.666666666666667,137,5.385749952240733,0.0,3.0,0.0,0.0,1,0,0,1,1.0,-0.006865570363298545
3,5.333333333333333,23,5,1.0,1.0,3,0,0,5,1,2,5,1,2,2,0,1.125,1.5,5.625,1.125,3.375,5.625,1.6666666666666667,0.25,0.34782608695652173,0.5,0.8478260869565217,0.2857142857142857,0.043478260869565216,0.21739130434782608,0.13043478260869565,0.6363636363636364,0.36363636363636365,1.75,258.7083333333333,-2.979029721153934,0.08990000000000001,20,0,0,2,0,7,4,1,0,1.0,NH-S,S10,2329,False,SEO,SEO,3.2596385542168673,6.0,48,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.3901730308238083
10,13.333333333333334,52,15,6.0,6.0,1,0,0,2,1,7,7,7,13,7,0,2.6999999999999997,1.2,6.75,0.44999999999999996,0.44999999999999996,0.8999999999999999,2.0,0.29411764705882354,0.3076923076923077,0.49019607843137253,0.7978883861236803,0.2916666666666667,0.019230769230769232,0.038461538461538464,0.019230769230769232,0.4594594594594595,0.5405405405405406,0.85,241.57407407407408,-3.085842585607171,-0.11980000000000005,51,0,0,7,0,17,20,1,1,0.5,EG-S,S10,2379,False,SEO,SEO,1.9096385542168672,14.333333333333334,41,4.084321012365436,1.0,5.0,0.0,0.0,1,0,2,1,1.0,0.5171948260753941
