G,IP,BF,H,R,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,SB_A,CS_A,SB%_A,Season,Pitcher ID,Team,is_sub_row,Last Team,FIP,nIP,ERA+,nRuns,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
4.0,12.0,52.0,14.0,9.0,4.0,0.0,0.0,5.0,3.0,7.0,5.0,11.0,8.0,5.0,0.0,4.5,1.5,7.0,1.5,2.0,2.5,1.25,0.2916666666666667,0.34615384615384615,0.5625,0.9086538461538461,0.275,0.057692307692307696,0.09615384615384616,0.07692307692307693,0.5806451612903226,0.41935483870967744,1.3846153846153846,264.54716981132077,2.1614872465354864,-0.3627,48.0,0.0,0.0,4.0,0.0,18.0,13.0,1.0,0.0,1.0,S10,114,TEX,False,TEX,4.656293222683264,12.666666666666666,60.0,8.918742282857316,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5,-0.010300621357374107
2.0,1.0,8.0,5.0,6.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,36.0,6.0,30.0,0.0,6.0,6.0,1.0,0.8333333333333334,0.75,1.5,2.25,0.8333333333333334,0.0,0.125,0.125,0.0,1.0,0.0,174.45454545454547,6.160816586867096,-0.2536,6.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,0.6666666666666666,S10,117,HOU,False,HOU,2.2396265560165975,1.0,12.0,3.6667737789203088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5844127197180674
9.0,27.666666666666668,108.0,20.0,13.0,8.0,0.0,0.0,16.0,7.0,4.0,13.0,15.0,22.0,14.0,0.0,2.819277108433735,1.0120481927710843,4.337349397590361,1.5180722891566263,1.7349397590361444,3.469879518072289,2.0,0.20202020202020202,0.25925925925925924,0.5353535353535354,0.7946127946127945,0.16883116883116883,0.06481481481481481,0.14814814814814814,0.07407407407407407,0.4626865671641791,0.5373134328358209,0.8611111111111112,259.7962962962963,-7.812460218894989,0.6568000000000002,99.0,1.0,0.0,6.0,3.0,31.0,36.0,0.0,0.0,0.0,S10,127,PHI,False,PHI,4.2396265560165975,29.333333333333332,120.0,10.42356418918919,4.0,4.0,1.0,1.0,3.0,2.0,0.0,1.0,0.6,1.2087766979661692
5.0,22.666666666666668,97.0,28.0,21.0,9.0,0.0,0.0,13.0,8.0,13.0,12.0,13.0,18.0,4.0,0.0,5.5588235294117645,1.6323529411764706,7.4117647058823515,2.117647058823529,2.3823529411764706,3.441176470588235,1.4444444444444444,0.3181818181818182,0.38144329896907214,0.6931818181818182,1.0746251171508905,0.29850746268656714,0.08247422680412371,0.13402061855670103,0.09278350515463918,0.56,0.44,1.2727272727272727,245.8640776699029,9.26077937498001,-0.8292000000000002,88.0,0.0,0.0,5.0,2.0,28.0,22.0,1.0,5.0,0.16666666666666666,S10,130,KCR,False,KCR,5.871979497193068,23.333333333333332,90.0,10.987124463519313,5.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.5,-0.5420920525032138
3.0,15.333333333333334,58.0,9.0,5.0,4.0,0.0,0.0,12.0,2.0,6.0,4.0,4.0,16.0,9.0,0.0,1.9565217391304348,0.8478260869565217,3.5217391304347823,0.7826086956521738,1.5652173913043477,4.695652173913043,3.0,0.16666666666666666,0.22413793103448276,0.2962962962962963,0.520434227330779,0.175,0.034482758620689655,0.20689655172413793,0.06896551724137931,0.2647058823529412,0.7352941176470589,0.36,262.73770491803276,-5.199024792451557,0.6022000000000001,54.0,0.0,0.0,1.0,0.0,9.0,25.0,3.0,0.0,1.0,S10,131,CHC,False,CHC,2.152670034277467,16.0,227.0,3.0,3.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.3333333333333333,0.7495022867678119
7.0,33.333333333333336,130.0,20.0,12.0,15.0,0.0,0.0,21.0,7.0,10.0,15.0,11.0,30.0,18.0,0.0,2.1599999999999997,1.0499999999999998,3.5999999999999996,1.26,2.6999999999999997,3.7800000000000002,1.4,0.17391304347826086,0.2692307692307692,0.391304347826087,0.6605351170568562,0.14942528735632185,0.05384615384615385,0.16153846153846155,0.11538461538461539,0.3684210526315789,0.631578947368421,0.5833333333333334,266.75555555555553,-8.493697312477307,0.12260000000000015,115.0,0.0,0.0,2.0,1.0,28.0,48.0,2.0,3.0,0.4,S10,149,PHI,False,PHI,4.059626556016598,33.666666666666664,122.0,11.723153595889979,6.0,3.0,2.0,1.0,3.0,2.0,0.0,0.0,0.6,1.363989989488167
8.0,31.333333333333332,118.0,22.0,9.0,7.0,0.0,0.0,9.0,3.0,12.0,20.0,12.0,34.0,14.0,0.0,1.723404255319149,0.9255319148936171,4.212765957446809,0.574468085106383,1.3404255319148937,1.723404255319149,1.2857142857142858,0.2,0.2457627118644068,0.35454545454545455,0.6003081664098613,0.1919191919191919,0.025423728813559324,0.07627118644067797,0.059322033898305086,0.43529411764705883,0.5647058823529412,0.7708333333333334,269.7731092436975,-13.081188450503301,1.4893,110.0,1.0,0.0,6.0,1.0,37.0,48.0,1.0,0.0,1.0,S10,166,SFG,False,SFG,2.580052087931491,33.0,142.0,9.909047066745238,5.0,5.0,2.0,2.0,4.0,1.0,0.0,0.0,0.8,1.775235694837803
8.0,11.333333333333334,59.0,16.0,9.0,10.0,0.0,0.0,5.0,3.0,4.0,4.0,4.0,5.0,14.0,1.0,4.764705882352941,2.2941176470588234,8.470588235294116,1.5882352941176472,5.294117647058823,2.6470588235294117,0.5,0.32653061224489793,0.4406779661016949,0.7142857142857143,1.1549636803874093,0.3170731707317073,0.05084745762711865,0.0847457627118644,0.1694915254237288,0.32142857142857145,0.6785714285714286,0.47368421052631576,229.31147540983608,-1.0210663705322054,-0.29109999999999997,49.0,0.0,0.0,8.0,1.0,9.0,19.0,2.0,0.0,1.0,S10,183,SDP,False,SDP,6.445508908957774,15.666666666666666,69.0,9.713541666666666,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.335665061946957
6.0,19.0,85.0,26.0,8.0,5.0,0.0,1.0,8.0,3.0,13.0,1.0,8.0,15.0,21.0,1.0,2.526315789473684,1.631578947368421,8.210526315789474,0.9473684210526315,1.5789473684210527,2.526315789473684,1.6,0.325,0.36470588235294116,0.5875,0.9522058823529411,0.3333333333333333,0.03529411764705882,0.09411764705882353,0.058823529411764705,0.23404255319148937,0.7659574468085106,0.3055555555555556,228.25882352941176,-3.499318535404953,0.2094000000000001,80.0,0.0,0.0,8.0,2.0,11.0,36.0,1.0,0.0,1.0,S10,195,ANA,False,ANA,3.2396265560165975,19.0,75.0,10.831609537022153,5.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.6666666666666666,0.6864143300823191
4.0,24.0,95.0,20.0,13.0,5.0,0.0,0.0,14.0,6.0,5.0,15.0,11.0,19.0,10.0,1.0,3.25,1.0416666666666667,5.0,1.5,1.25,3.5,2.8,0.2247191011235955,0.2631578947368421,0.5842696629213483,0.8474275576581904,0.2,0.06315789473684211,0.14736842105263157,0.05263157894736842,0.49122807017543857,0.5087719298245614,0.9655172413793104,258.8659793814433,-3.1983796353506397,-0.16909999999999972,89.0,1.0,0.0,4.0,5.0,28.0,29.0,2.0,0.0,1.0,S10,198,ARI,False,ARI,3.947959889349931,24.0,79.0,12.909047066745238,4.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,0.5,0.6959066137876905
