G,IP,BF,H,R,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,Season,Pitcher ID,Team,FIP,nIP,ERA+,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
8.0,8.0,31.0,5.0,2.0,3.0,0.0,0.0,5.0,0.0,2.0,6.0,5.0,4.0,3.0,0.0,1.5,1.0,3.75,0.0,2.25,3.75,1.6666666666666667,0.17857142857142858,0.25806451612903225,0.39285714285714285,0.650921658986175,0.21739130434782608,0.0,0.16129032258064516,0.0967741935483871,0.6111111111111112,0.3888888888888889,1.5714285714285714,275.59375,-3.6179399445059106,0.23669999999999997,28.0,0.0,0.0,0.0,3.0,11.0,7.0,S8,78,ATL,1.153999064546305,8.666666666666666,141,5.0,2.0,0.0,0.0,0,0,0,0,0.0,0.4858543155143174
5.0,15.666666666666666,68.0,18.0,10.0,7.0,0.0,1.0,15.0,5.0,7.0,8.0,5.0,13.0,2.0,0.0,3.8297872340425534,1.5957446808510638,6.893617021276596,1.9148936170212767,2.6808510638297873,5.74468085106383,2.142857142857143,0.29508196721311475,0.36764705882352944,0.6557377049180327,1.023384763741562,0.3170731707317073,0.07352941176470588,0.22058823529411764,0.10294117647058823,0.5161290322580645,0.4838709677419355,1.0666666666666667,235.20289855072463,-0.9941522652334376,-0.09050000000000007,61.0,0.0,0.0,5.0,1.0,16.0,15.0,S8,92,DET,4.853467149652689,15.333333333333334,75,4.0,0.0,0.0,0.0,1,2,0,0,0.3333333333333333,0.3715475436953885
6.0,24.333333333333332,109.0,29.0,15.0,9.0,0.0,0.0,16.0,4.0,15.0,5.0,9.0,15.0,26.0,0.0,3.6986301369863015,1.5616438356164384,7.15068493150685,0.9863013698630139,2.219178082191781,3.9452054794520555,1.7777777777777777,0.29,0.3486238532110092,0.52,0.8686238532110092,0.3125,0.03669724770642202,0.14678899082568808,0.08256880733944955,0.2807017543859649,0.7192982456140351,0.3902439024390244,237.2037037037037,-4.046991231033542,0.30119999999999986,100.0,0.0,0.0,9.0,1.0,16.0,41.0,S8,100,DET,3.2105059138613736,24.666666666666668,122,4.0,3.0,2.0,1.0,4,1,0,0,0.8,0.8409112197467788
5.0,13.0,60.0,17.0,11.0,10.0,0.0,0.0,8.0,3.0,8.0,9.0,10.0,6.0,0.0,0.0,5.076923076923077,2.076923076923077,7.846153846153847,1.3846153846153846,4.615384615384616,3.6923076923076925,0.8,0.34,0.45,0.68,1.1300000000000001,0.358974358974359,0.05,0.13333333333333333,0.16666666666666666,0.8,0.2,4.0,236.68852459016392,4.547512973225375,-0.2778999999999999,50.0,0.0,0.0,4.0,2.0,24.0,6.0,S8,103,DET,5.355922141469382,14.333333333333334,63,4.0,1.0,1.0,0.0,2,2,0,1,0.5,-0.21463454687661568
8.0,29.333333333333332,117.0,25.0,12.0,8.0,0.0,1.0,13.0,3.0,12.0,15.0,14.0,31.0,11.0,0.0,2.4545454545454546,1.125,5.113636363636363,0.6136363636363636,1.6363636363636367,2.659090909090909,1.625,0.2358490566037736,0.28205128205128205,0.44339622641509435,0.7254475084663764,0.23655913978494625,0.02564102564102564,0.1111111111111111,0.06837606837606838,0.4246575342465753,0.5753424657534246,0.7380952380952381,260.5833333333333,-7.376695390906288,0.8107000000000001,106.0,3.0,0.0,7.0,3.0,31.0,42.0,S8,109,HOU,2.5403627009099417,30.0,102,6.0,4.0,2.0,0.0,4,2,0,0,0.6666666666666666,1.2058972024601764
4.0,6.333333333333333,27.0,8.0,5.0,1.0,0.0,0.0,2.0,2.0,4.0,3.0,3.0,9.0,1.0,0.0,4.736842105263158,1.4210526315789473,7.578947368421053,1.8947368421052633,0.9473684210526316,1.8947368421052633,2.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.2727272727272727,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.4117647058823529,0.5882352941176471,0.7,242.03571428571428,-0.15083351866228537,0.0697,24.0,2.0,0.0,2.0,0.0,7.0,10.0,S8,111,HOU,5.226367485598937,6.666666666666667,51,2.0,2.0,0.0,0.0,0,0,1,0,0.0,0.12313588956689336
6.0,31.666666666666668,130.0,27.0,15.0,15.0,0.0,1.0,34.0,7.0,13.0,7.0,15.0,24.0,8.0,0.0,2.8421052631578947,1.3263157894736841,5.11578947368421,1.3263157894736841,2.8421052631578947,6.442105263157895,2.2666666666666666,0.23478260869565218,0.3230769230769231,0.4956521739130435,0.8187290969899665,0.2702702702702703,0.05384615384615385,0.26153846153846155,0.11538461538461539,0.4482758620689655,0.5517241379310345,0.8125,252.62222222222223,-6.895733305632544,0.5807000000000001,115.0,0.0,0.0,5.0,2.0,26.0,32.0,S8,112,HOU,3.4263674855989366,31.0,126,6.0,4.0,4.0,0.0,5,1,0,0,0.8333333333333334,1.2098262898627516
6.0,25.0,108.0,29.0,14.0,6.0,0.0,0.0,20.0,4.0,15.0,13.0,9.0,21.0,10.0,0.0,3.36,1.4,6.959999999999999,0.96,1.44,4.800000000000001,3.3333333333333335,0.28431372549019607,0.32407407407407407,0.5392156862745098,0.8632897603485838,0.32051282051282054,0.037037037037037035,0.18518518518518517,0.05555555555555555,0.42592592592592593,0.5740740740740741,0.7419354838709677,249.52252252252254,-4.472603774586534,-0.019599999999999937,102.0,0.0,0.0,6.0,4.0,23.0,31.0,S8,116,TBR,2.478999064546305,24.666666666666668,87,4.0,3.0,1.0,0.0,0,1,0,0,0.0,0.8794705282613127
4.0,11.0,46.0,13.0,9.0,4.0,0.0,0.0,7.0,2.0,9.0,13.0,2.0,5.0,2.0,0.0,4.909090909090909,1.5454545454545454,7.090909090909092,1.0909090909090908,2.1818181818181817,3.8181818181818183,1.75,0.30952380952380953,0.3695652173913043,0.5238095238095238,0.8933747412008282,0.3333333333333333,0.043478260869565216,0.15217391304347827,0.08695652173913043,0.7083333333333334,0.2916666666666667,2.4285714285714284,231.89583333333334,0.7357093997629467,-0.04100000000000004,42.0,0.0,0.0,1.0,1.0,17.0,7.0,S8,117,HOU,3.4608172463644866,12.0,67,1.0,0.0,0.0,0.0,1,0,0,1,1.0,0.11051856869891208
6.0,19.0,82.0,20.0,8.0,7.0,0.0,1.0,12.0,3.0,7.0,15.0,4.0,14.0,10.0,0.0,2.526315789473684,1.4210526315789473,6.315789473684211,0.9473684210526315,2.2105263157894735,3.789473684210526,1.7142857142857142,0.26666666666666666,0.32926829268292684,0.5466666666666666,0.8759349593495935,0.2833333333333333,0.036585365853658534,0.14634146341463414,0.08536585365853659,0.45454545454545453,0.5454545454545454,0.8333333333333334,253.0,-3.830527738958235,-0.11290000000000021,75.0,0.0,0.0,8.0,2.0,20.0,24.0,S8,130,KCR,3.173735906651568,19.666666666666668,92,5.0,1.0,0.0,0.0,3,2,0,0,0.6,0.7112123328385833
