ID,Season,Display Season,Team,Franchise,HR,3B,2B,1B,BB,IBB,Auto BB,FO,SO,PO,RGO,LGO,LO,SF,SH,GO,DP,TP,SB,CS,H,IP,BF,AB,TB,G_list,G,ER,Total Diff,Total Plays,RE24,WAR,WPA,0 Diffs,500 Diffs,300+ Pitches,400+ Pitches,Last Team,Last Session,W,L,SV,HLD,BS,GS,GF,CG,SHO,OPP,nER,nIP,FIP Constant,lgnER,lgnIP,lgnERA,ERA,WHIP,FIP,H6,HR6,BB6,SO6,SO/BB,BA,OBP,SLG,OPS,BABIP,SB%,HR%,K%,BB%,GB%,FB%,GB/FB,W-L%,SV%,nERA,Avg Diff,Name,Batting Type,Pitching Type,Handedness,Position,Pitching Type (Main),ERA-
39,8,S8,MIA,FLA,0,1,0,4,1,0,0,5,5,1,1,3,0,0,0,4,0,0,0,0,5,5.0,21,20,7,{8006},1,1,5238.0,21,-2.5535714285714284,0.3071041097769298,0.142,0,0,8,4,FLA,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.333333333333333,5.0,2.13953488372093,102.4549650718254,129.0,4.765347212643043,1.2000000000000002,1.2,0.7395348837209301,6.0,0.0,1.2000000000000002,6.0,5.0,0.25,0.2857142857142857,0.3333333333333333,0.6190476190476191,0.3333333333333333,,0.0,0.238095238095238,0.0476190476190476,0.4,0.5,0.8,,,6.4,249.42857142857144,Franz Joseph Hyman Jr,P,NH-H,Right,P,NH,134.30291045781564
39,10,S10,MIA,FLA,0,0,2,3,1,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,5,1.3333333333333333,10,9,7,{10243},1,2,2157.0,10,3.335714285714286,-0.2890290932485078,-0.1837,0,0,4,3,FLA,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.3333333333333333,1.2135678391959797,62.139970347113206,135.33333333333334,2.7549740547981223,9.0,4.5,3.46356783919598,22.5,0.0,4.5,0.0,0.0,0.5555555555555556,0.6,0.7,1.2999999999999998,0.5555555555555556,,0.0,0.0,0.1,0.5,0.0,inf,,,9.0,215.7,Commie Ohtani,P,NH-H,Right,P,NH,326.68184240520907
39,11,S11,COL,COL,1,2,2,3,2,0,0,2,2,2,2,1,0,1,0,3,0,0,0,0,8,3.0,19,16,17,{11242},1,6,3922.0,19,2.9413533834586465,-0.2461939399555226,-0.5160999999999999,1,0,7,3,COL,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.4,3.0,1.5483870967741935,82.70298807933077,127.0,3.907227783275469,12.0,3.333333333333333,6.548387096774194,16.0,2.0,4.0,4.0,1.0,0.5,0.5263157894736842,0.8947368421052632,1.4210526315789471,0.5,,0.0526315789473684,0.1052631578947368,0.1052631578947368,0.4285714285714285,0.2857142857142857,1.5,0.0,,4.8,206.42105263157896,Commie Ohtani,P,NH-H,Right,P,NH,122.84924929501068
42,5,S5,LAA,TEX,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,1,1,{5002},1,0,53.0,1,0.6562094892403422,-0.0613118036650534,-0.0276,0,0,0,0,TEX,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0625,0.0,1.7421875,84.49051983838244,128.66666666666666,3.939972427696591,,inf,,inf,,,,,1.0,1.0,1.0,2.0,1.0,,0.0,0.0,0.0,,,,,,inf,53.0,Viking Fishbird,1B,NH-S,Right,P,NH,inf
58,2,S2,BOS,BOS,1,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,1.0,6,6,6,{2003},1,2,1122.0,6,2.0,-0.1745924764890282,-0.3177,0,0,1,1,BOS,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.5487804878048783,35.16753393665158,82.0,2.573234190486701,12.0,3.0,9.548780487804878,18.0,6.0,0.0,12.0,inf,0.5,0.5,1.0,1.5,0.6666666666666666,,0.1666666666666666,0.3333333333333333,0.0,0.0,0.0,,,,12.0,187.0,Hudson Quin,BP,BS-B,Left,P,BS,466.33921018010113
59,4,S4,CHC,CHC,0,0,2,2,2,0,0,2,4,0,0,1,0,0,0,1,0,0,0,1,4,2.6666666666666665,13,11,6,{4007},1,1,3086.0,14,-0.6541353383458647,0.1102276041863452,-0.0022999999999999,0,0,5,1,CHC,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.7142857142857144,2.6666666666666665,2.267002518891688,120.36714616583038,131.0,5.512999061030399,2.25,2.25,1.517002518891688,9.0,0.0,4.5,9.0,2.0,0.3636363636363636,0.4615384615384615,0.4615384615384615,0.9230769230769232,0.5714285714285714,0.0,0.0,0.3076923076923077,0.1538461538461538,0.3333333333333333,0.6666666666666666,0.5,0.0,,3.8571428571428577,220.42857142857144,Nick Tits,1B,NT-H,Right,P,NT,69.96451141099857
63,9,S9,CHC,CHC,0,0,1,5,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,6,0.6666666666666666,10,8,7,"{9001, 9005}",2,4,1687.0,10,3.257142857142857,-0.2826830369378565,-0.6128999999999999,0,0,2,0,CHC,2,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.314285714285714,0.6666666666666666,0.8267716535433074,67.7720733100039,127.0,3.201830235118295,36.0,12.0,9.826771653543307,54.0,0.0,18.0,0.0,0.0,0.75,0.8,0.7,1.5,0.75,,0.0,0.0,0.2,0.5,0.0,inf,0.0,,38.82857142857143,168.7,Michael Ikenberry,P,SF-H,Left,P,SF,1212.6992556535988
67,6,S6,DET,DET,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,1.0,5,4,4,{6010},1,1,945.0,5,1.0714285714285714,-0.0855675785363285,-0.4201,0,0,1,1,DET,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.7744360902255636,96.46548702415576,132.0,4.384794864734352,6.0,2.0,16.774436090225564,6.0,6.0,6.0,0.0,0.0,0.25,0.4,0.8,1.2000000000000002,0.0,,0.2,0.0,0.2,0.3333333333333333,0.6666666666666666,0.5,0.0,,6.0,189.0,Leonard Boyfriend,P,NT-H,Left,P,NT,136.83650398918954
74,2,S2,TB,TBR,0,0,1,4,2,0,0,6,6,1,2,3,0,1,1,5,4,0,0,0,5,7.666666666666667,26,22,6,"{2003, 2006}",2,2,6931.0,26,-2.1555944055944054,0.3256587091069849,0.2971999999999999,0,2,12,5,TBR,2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2307692307692306,7.666666666666667,0.5487804878048783,35.16753393665158,82.0,2.573234190486701,1.5652173913043477,0.9130434782608696,-0.2338282078472955,3.9130434782608696,0.0,1.5652173913043477,4.695652173913043,3.0,0.2272727272727272,0.28,0.2307692307692307,0.5107692307692309,0.2941176470588235,,0.0,0.2307692307692307,0.0769230769230769,0.4166666666666667,0.5,0.8333333333333334,0.5,,0.9632107023411368,266.5769230769231,Einhorn,BC,BS-B,Right,P,BS,37.43190984723219
74,3,S3,COL,COL,1,0,0,0,1,0,0,1,3,0,3,2,0,0,0,5,2,0,0,0,1,3.6666666666666665,11,10,4,{3006},1,1,3661.0,11,-0.7846153846153845,0.1321396345589894,0.0426,0,0,7,6,COL,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.6666666666666665,0.0119521912350597,45.17279175073293,83.66666666666666,3.23948307375774,1.636363636363637,0.5454545454545455,2.739224918507788,1.636363636363637,1.636363636363637,1.636363636363637,4.909090909090909,3.0,0.1,0.1818181818181818,0.3636363636363636,0.5454545454545454,0.0,,0.0909090909090909,0.2727272727272727,0.0909090909090909,0.8333333333333334,0.1666666666666666,5.000000000000001,,,1.636363636363637,332.8181818181818,Einhorn,SF,TT-H,Right,P,TT,50.51310962602084
