G,IP,BF,H,R,BB,IBB,K,HR,ERA,WHIP,Avg Diff,Season,Pitcher ID,FIP,nIP,ERA+,GS,GF,CG,SHO,W,L,SV,HLD
7.0,8.333333333333334,47.0,20.0,15.0,4.0,1.0,4.0,4.0,10.799999999999999,2.88,208.93617021276594,S4,124,8.018630136986301,8.333333333333334,33,1.0,5.0,0.0,0.0,0,1,1,0
5.0,26.666666666666668,113.0,23.0,13.0,13.0,1.0,44.0,10.0,2.925,1.3499999999999999,255.6153846153846,S4,127,4.3361301369863,26.333333333333332,102,5.0,3.0,3.0,0.0,3,0,0,0
6.0,15.0,71.0,24.0,14.0,2.0,0.0,11.0,4.0,5.6,1.7333333333333334,228.14285714285714,S4,129,3.698630136986301,15.666666666666666,58,1.0,4.0,0.0,0.0,1,0,0,0
8.0,14.0,72.0,23.0,19.0,8.0,0.0,10.0,2.0,8.142857142857142,2.2142857142857144,221.91549295774647,S4,130,3.441487279843444,16.0,56,3.0,4.0,0.0,0.0,1,2,0,0
12.0,28.0,112.0,25.0,16.0,4.0,0.0,18.0,10.0,3.4285714285714284,1.0357142857142858,231.06363636363636,S4,131,5.084344422700587,27.666666666666668,57,5.0,4.0,0.0,0.0,3,1,1,1
4.0,12.333333333333334,53.0,13.0,7.0,9.0,0.0,3.0,4.0,3.4054054054054053,1.7837837837837838,238.8,S4,148,7.21754905590522,12.333333333333334,90,3.0,2.0,1.0,0.0,1,1,0,0
5.0,16.333333333333332,71.0,17.0,19.0,9.0,0.0,23.0,9.0,6.979591836734694,1.5918367346938778,244.27777777777777,S4,149,7.298630136986301,16.0,45,5.0,1.0,1.0,0.0,0,4,0,0
8.0,26.0,106.0,16.0,10.0,17.0,0.0,19.0,3.0,2.3076923076923075,1.2692307692307692,275.60747663551405,S4,150,3.298630136986301,27.333333333333332,194,4.0,6.0,3.0,0.0,4,2,0,0
4.0,10.333333333333334,45.0,9.0,10.0,7.0,0.0,15.0,5.0,5.806451612903225,1.5483870967741935,256.3829787234043,S4,152,6.717984975695979,12.0,63,0.0,4.0,0.0,0.0,0,1,0,0
1.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,S4,163,1.2986301369863011,1.0,0,0.0,1.0,0.0,0.0,0,0,0,0
7.0,21.0,90.0,17.0,15.0,11.0,0.0,31.0,7.0,4.285714285714286,1.3333333333333333,242.19101123595505,S4,164,4.251011089367253,21.333333333333332,93,5.0,1.0,0.0,0.0,2,3,0,1
