G,PA,AB,H,R,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,OPS,Avg Diff,nOBP,nSLG,Season,Hitter ID
3.0,9.0,7.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.2857142857142857,0.3333333333333333,0.2857142857142857,0.6190476190476191,259.22222222222223,0.3333333333333333,0.2857142857142857,S2,-207
3.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.14285714285714285,0.25,0.14285714285714285,0.39285714285714285,275.125,0.25,0.14285714285714285,S2,-206
2.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.25,0.25,0.25,0.5,217.75,0.25,0.25,S2,-205
3.0,8.0,8.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.125,0.125,0.5,0.625,317.75,0.125,0.5,S2,-204
2.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,1.0,138.66666666666666,0.5,0.5,S2,-203
7.0,17.0,15.0,3.0,4.0,2.0,0.0,1.0,2.0,2.0,5.0,0.0,0.0,0.2,0.29411764705882354,0.5333333333333333,0.8274509803921568,276.47058823529414,0.29411764705882354,0.5333333333333333,S2,-202
4.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,338.85714285714283,0.0,0.0,S2,-201
4.0,9.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,363.1111111111111,0.1111111111111111,0.1111111111111111,S2,-200
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,143.5,1.0,1.0,S2,-199
4.0,8.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.125,0.125,0.125,0.25,341.75,0.125,0.125,S2,-198
11.0,22.0,20.0,8.0,3.0,2.0,0.0,2.0,5.0,2.0,7.0,0.0,0.0,0.4,0.45454545454545453,0.8,1.2545454545454546,239.42857142857142,0.45454545454545453,0.8,S2,-197
2.0,5.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.6,1.0,1.6,156.0,0.6,1.0,S2,-196
2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,354.6666666666667,0.0,0.0,S2,-195
2.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.2,0.0,0.2,332.5,0.2,0.0,S2,-194
6.0,12.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,274.3636363636364,0.16666666666666666,0.16666666666666666,S2,-193
11.0,27.0,24.0,7.0,8.0,4.0,1.0,2.0,8.0,3.0,9.0,0.0,0.0,0.2916666666666667,0.37037037037037035,0.7916666666666666,1.162037037037037,243.03846153846155,0.37037037037037035,0.7916666666666666,S2,-192
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,S2,-191
5.0,14.0,14.0,5.0,4.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.35714285714285715,0.35714285714285715,0.8571428571428571,1.2142857142857142,241.57142857142858,0.35714285714285715,0.8571428571428571,S2,-190
2.0,6.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,262.1666666666667,0.16666666666666666,0.3333333333333333,S2,-189
1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,308.6666666666667,0.3333333333333333,0.3333333333333333,S2,-188
2.0,6.0,5.0,4.0,5.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.8,0.8333333333333334,1.4,2.2333333333333334,119.875,0.8333333333333334,1.4,S2,-187
7.0,17.0,15.0,9.0,6.0,2.0,0.0,3.0,5.0,2.0,2.0,0.0,1.0,0.6,0.6470588235294118,1.3333333333333333,1.9803921568627452,181.38888888888889,0.6470588235294118,1.3333333333333333,S2,-186
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,306.0,0.0,0.0,S2,-185
4.0,8.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.2857142857142857,0.375,0.2857142857142857,0.6607142857142857,239.125,0.375,0.2857142857142857,S2,-184
1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.5,0.0,0.0,S2,-183
11.0,28.0,22.0,4.0,6.0,0.0,0.0,0.0,1.0,6.0,10.0,0.0,0.0,0.18181818181818182,0.35714285714285715,0.18181818181818182,0.538961038961039,247.4814814814815,0.35714285714285715,0.18181818181818182,S2,-182
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0,0.0,0.0,S2,-181
6.0,13.0,11.0,5.0,3.0,1.0,0.0,3.0,4.0,2.0,2.0,0.0,0.0,0.45454545454545453,0.5384615384615384,1.3636363636363635,1.902097902097902,186.69230769230768,0.5384615384615384,1.3636363636363635,S2,-180
12.0,27.0,26.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,8.0,1.0,0.0,0.11538461538461539,0.14814814814814814,0.23076923076923078,0.3789173789173789,311.2962962962963,0.14814814814814814,0.23076923076923078,S2,-179
12.0,24.0,23.0,4.0,2.0,1.0,0.0,1.0,2.0,1.0,8.0,0.0,0.0,0.17391304347826086,0.20833333333333334,0.34782608695652173,0.5561594202898551,288.4583333333333,0.20833333333333334,0.34782608695652173,S2,-178
2.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.25,0.25,0.5,272.0,0.25,0.25,S2,-177
12.0,32.0,32.0,9.0,5.0,1.0,0.0,2.0,5.0,0.0,12.0,0.0,0.0,0.28125,0.28125,0.5,0.78125,263.35714285714283,0.28125,0.5,S2,-176
6.0,17.0,15.0,6.0,4.0,1.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.4,0.47058823529411764,0.6666666666666666,1.1372549019607843,242.0,0.47058823529411764,0.6666666666666666,S2,-175
7.0,19.0,17.0,3.0,2.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.17647058823529413,0.2631578947368421,0.17647058823529413,0.4396284829721362,288.10526315789474,0.2631578947368421,0.17647058823529413,S2,-174
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,S2,-173
15.0,43.0,42.0,17.0,10.0,3.0,0.0,4.0,7.0,1.0,10.0,1.0,0.0,0.40476190476190477,0.4186046511627907,0.7619047619047619,1.1805094130675526,234.8409090909091,0.4186046511627907,0.7619047619047619,S2,-172
9.0,23.0,19.0,6.0,5.0,2.0,0.0,2.0,7.0,3.0,8.0,0.0,2.0,0.3157894736842105,0.391304347826087,0.7368421052631579,1.1281464530892449,256.84,0.391304347826087,0.7368421052631579,S2,-171
10.0,20.0,17.0,6.0,3.0,1.0,0.0,1.0,4.0,3.0,2.0,0.0,0.0,0.35294117647058826,0.45,0.5882352941176471,1.0382352941176471,238.55,0.45,0.5882352941176471,S2,-170
5.0,10.0,10.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.2,0.2,0.5,0.7,241.11111111111111,0.2,0.5,S2,-169
1.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,227.66666666666666,0.3333333333333333,0.6666666666666666,S2,-168
8.0,22.0,20.0,5.0,6.0,1.0,0.0,4.0,8.0,2.0,8.0,0.0,0.0,0.25,0.3181818181818182,0.9,1.2181818181818183,239.9047619047619,0.3181818181818182,0.9,S2,-167
