G,IP,BF,H,R,ER,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,SB_A,CS_A,SB%_A,Type,Season,Pitcher ID,is_sub_row,Team,Last Team,Last Session,FIP,nIP,ERA-,nRuns,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
10.0,40.0,164.0,41.0,19.0,19.0,7.0,0.0,0.0,40.0,4.0,20.0,13.0,16.0,36.0,7.0,0.0,2.85,1.2,6.1499999999999995,0.6000000000000001,1.0499999999999998,6.0,5.714285714285714,0.26282051282051283,0.2926829268292683,0.4551282051282051,0.7478111319574734,0.3274336283185841,0.024390243902439025,0.24390243902439024,0.042682926829268296,0.4266666666666667,0.5733333333333334,0.7441860465116279,256.88023952095807,-1.6849837970574004,0.8272999999999999,156.0,1.0,0.0,16.0,1.0,32.0,43.0,2.0,2.0,0.5,BS-H,S3,37,False,2TM,CLE,16,0.9596507352941173,39.666666666666664,104,21.376674075164743,9.0,3.0,2.0,0.0,4.0,4.0,0.0,0.0,0.5,0.771266145136686
4.0,14.666666666666666,65.0,20.0,9.0,9.0,3.0,0.0,0.0,15.0,3.0,9.0,3.0,6.0,11.0,5.0,0.0,3.681818181818182,1.5681818181818183,8.181818181818183,1.2272727272727273,1.2272727272727273,6.136363636363637,5.0,0.3225806451612903,0.35384615384615387,0.5967741935483871,0.9506203473945409,0.38636363636363635,0.046153846153846156,0.23076923076923078,0.046153846153846156,0.4074074074074074,0.5925925925925926,0.6875,243.24242424242425,2.082044696836765,-0.08469999999999994,62.0,0.0,0.0,8.0,0.0,11.0,16.0,1.0,0.0,1.0,BS-H,S3,37,True,NYY,NYY,7,2.3619234625668444,14.666666666666666,131,9.949073190730932,4.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.5,0.03069738856639357
6.0,25.333333333333332,99.0,21.0,10.0,10.0,4.0,0.0,0.0,25.0,1.0,11.0,10.0,10.0,25.0,2.0,0.0,2.368421052631579,0.986842105263158,4.973684210526316,0.2368421052631579,0.9473684210526316,5.921052631578948,6.25,0.22340425531914893,0.25252525252525254,0.3617021276595745,0.614227380184827,0.2898550724637681,0.010101010101010102,0.25252525252525254,0.04040404040404041,0.4375,0.5625,0.7777777777777778,265.7920792079208,-3.7670284938941663,0.9119999999999999,94.0,1.0,0.0,8.0,1.0,21.0,27.0,1.0,2.0,0.3333333333333333,BS-H,S3,37,True,CLE,CLE,16,0.14780863003095934,25.0,88,11.427600884433812,5.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.5,0.7405687565702925
7.0,8.333333333333334,36.0,9.0,3.0,3.0,4.0,0.0,0.0,6.0,2.0,4.0,3.0,2.0,9.0,1.0,0.0,2.1599999999999997,1.5599999999999998,6.479999999999999,1.44,2.88,4.32,1.5,0.28125,0.3611111111111111,0.5625,0.9236111111111112,0.2916666666666667,0.05555555555555555,0.16666666666666666,0.1111111111111111,0.4117647058823529,0.5882352941176471,0.7,239.58333333333334,-2.2378232478951903,0.6072000000000002,32.0,0.0,0.0,3.0,0.0,7.0,10.0,0.0,0.0,,BS-B,S3,38,False,2TM,CLE,16,4.254650735294117,8.666666666666666,72,3.2295562100804185,0.0,7.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.3560972001280194
1.0,1.6666666666666667,7.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.7999999999999998,7.199999999999999,0.0,3.5999999999999996,7.199999999999999,2.0,0.3333333333333333,0.42857142857142855,0.3333333333333333,0.7619047619047619,0.5,0.0,0.2857142857142857,0.14285714285714285,0.5,0.5,1.0,224.0,-1.3617604617604617,0.2819,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,BS-B,S3,38,True,SFG,SFG,1,0.5346507352941173,2.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1619039386029768
6.0,6.666666666666667,29.0,7.0,3.0,3.0,3.0,0.0,0.0,4.0,2.0,2.0,3.0,2.0,8.0,1.0,0.0,2.6999999999999997,1.5,6.300000000000001,1.7999999999999998,2.6999999999999997,3.5999999999999996,1.3333333333333333,0.2692307692307692,0.3448275862068966,0.6153846153846154,0.960212201591512,0.25,0.06896551724137931,0.13793103448275862,0.10344827586206896,0.4,0.6,0.6666666666666666,243.3448275862069,-0.8760627861347289,0.32530000000000014,26.0,0.0,0.0,3.0,0.0,6.0,9.0,0.0,0.0,,BS-B,S3,38,True,CLE,CLE,16,5.184650735294117,6.666666666666667,94,3.2295562100804185,0.0,6.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.19419326152504263
8.0,31.0,130.0,28.0,17.0,17.0,15.0,0.0,0.0,31.0,9.0,11.0,10.0,10.0,23.0,7.0,0.0,3.2903225806451615,1.3870967741935485,5.419354838709677,1.741935483870968,2.903225806451613,6.0,2.066666666666667,0.24561403508771928,0.33076923076923076,0.5526315789473685,0.8834008097165993,0.25333333333333335,0.06923076923076923,0.23846153846153847,0.11538461538461539,0.45454545454545453,0.5454545454545454,0.8333333333333334,234.75187969924812,-1.0174723642963206,0.18699999999999994,114.0,1.0,0.0,8.0,0.0,25.0,30.0,2.0,2.0,0.5,NT-S,S3,39,False,CLE,CLE,15,4.36045718690702,32.333333333333336,97,16.211773585463213,5.0,4.0,2.0,0.0,2.0,3.0,0.0,0.0,0.4,0.5795509529297722
10.0,24.666666666666668,110.0,25.0,16.0,16.0,11.0,1.0,0.0,39.0,9.0,9.0,6.0,12.0,14.0,3.0,0.0,3.8918918918918917,1.4594594594594594,6.081081081081081,2.189189189189189,2.6756756756756754,9.486486486486486,3.5454545454545454,0.25252525252525254,0.32727272727272727,0.5959595959595959,0.9232323232323232,0.3137254901960784,0.08181818181818182,0.35454545454545455,0.1,0.5142857142857142,0.4857142857142857,1.0588235294117647,247.77358490566039,3.4381326867552513,0.5518000000000002,99.0,0.0,0.0,7.0,0.0,18.0,17.0,1.0,0.0,1.0,TT-H,S3,58,False,CHC,CHC,16,4.053569654213036,25.666666666666668,110,14.527316501595191,5.0,6.0,2.0,1.0,2.0,2.0,1.0,0.0,0.5,0.06048218374767034
4.0,12.666666666666666,51.0,12.0,6.0,6.0,5.0,0.0,0.0,5.0,1.0,7.0,7.0,6.0,14.0,0.0,0.0,2.8421052631578947,1.3421052631578947,5.684210526315789,0.4736842105263158,2.3684210526315788,2.3684210526315788,1.0,0.2608695652173913,0.3333333333333333,0.41304347826086957,0.7463768115942029,0.275,0.0196078431372549,0.09803921568627451,0.09803921568627451,0.5172413793103449,0.4827586206896552,1.0714285714285714,255.9811320754717,-0.613189639982505,0.3734000000000001,46.0,0.0,0.0,4.0,0.0,15.0,14.0,0.0,2.0,0.0,NT-H,S3,59,False,CHC,CHC,15,2.5557033668730647,13.333333333333334,70,4.833129480508736,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.5,0.2487650373944593
8.0,23.333333333333332,99.0,26.0,15.0,15.0,10.0,0.0,0.0,15.0,4.0,10.0,11.0,6.0,23.0,2.0,0.0,3.857142857142857,1.542857142857143,6.685714285714286,1.0285714285714285,2.5714285714285716,3.8571428571428577,1.5,0.29213483146067415,0.36363636363636365,0.5730337078651685,0.9366700715015321,0.3142857142857143,0.04040404040404041,0.15151515151515152,0.10101010101010101,0.4791666666666667,0.5208333333333334,0.92,225.53,1.700281723265809,0.4441999999999997,89.0,0.0,0.0,11.0,1.0,23.0,25.0,0.0,1.0,0.0,BF-S,S3,60,False,CHC,CHC,13,3.363222163865546,24.333333333333332,105,13.229556210080418,4.0,4.0,1.0,0.0,2.0,2.0,1.0,0.0,0.5,0.19383773485429506
