G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,nPA,nAB,nH,nTB,nBB,nSF,nSH,Season,Hitter ID,is_sub_row,Team,Last Team,Last Session,WAR
3,9,8,1,1,0,1,0,0,2,0,1,0,4,0,0,0,0,0,0,2,1,0,0,0,0.125,0.2222222222222222,0.25,0.4722222222222222,0.125,0.25,,0.0,0.4444444444444444,0.1111111111111111,1.0,0.0,,294.77777777777777,0.2222222222222222,0.25,-1.459841690968199,-0.1498,3,0,HK,9,8,1,2,1,0,0,S12,113.0,False,HOU,HOU,3,-0.10926369143206979
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,272.0,0.0,0.0,-0.24589002267573695,-0.0275,0,1,1B,1,1,0,0,0,0,0,S12,117.0,False,HOU,HOU,3,-0.020508949193712572
3,11,10,2,0,2,0,0,0,2,1,1,0,2,0,0,0,0,0,0,2,1,1,2,0,0.2,0.2727272727272727,0.2,0.4727272727272727,0.0,0.25,,0.0,0.18181818181818182,0.09090909090909091,0.5,0.5,1.0,283.3636363636364,0.2727272727272727,0.2,-1.6194550891564312,-0.06149999999999999,3,3,1B,11,10,2,2,1,0,0,S12,119.0,False,HOU,HOU,3,-0.11706492510317076
2,5,5,3,0,2,0,1,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.6,0.6,1.0,1.6,0.4,0.75,,0.0,0.2,0.0,1.0,0.0,,155.8,0.6,1.2,1.114682994409885,0.1287,1,0,SF,5,5,3,6,0,0,0,S12,127.0,False,OAK,OAK,2,0.13186856481029413
3,10,7,1,2,1,0,0,0,1,1,2,0,0,0,0,0,0,1,2,2,1,3,1,0,0.14285714285714285,0.3,0.14285714285714285,0.44285714285714284,0.0,0.125,,0.0,0.0,0.2,0.5,0.5,1.0,269.9,0.1,0.1,-2.074462199540499,-0.2057,5,5,1B,10,10,1,1,0,0,0,S12,130.0,False,KCR,KCR,3,-0.16664568921543865
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,394.0,0.0,0.0,-0.41134751773049644,-0.1392,1,0,MH,1,1,0,0,0,0,0,S12,134.0,False,NYM,NYM,2,-0.037054698699188524
3,9,8,2,2,1,0,0,1,5,1,1,0,1,0,0,0,0,0,0,2,1,1,1,0,0.25,0.3333333333333333,0.625,0.9583333333333333,0.375,0.16666666666666666,,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.6,0.4,1.5,264.0,0.3333333333333333,0.625,0.2420190135356845,-0.027399999999999997,3,2,S,9,8,2,5,1,0,0,S12,138.0,False,NYY,NYY,3,0.06092237901831856
1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,0.0,1.0,,0.0,0.0,0.0,,,,119.0,1.0,1.0,0.4952731092436974,0.0276,0,0,EN,1,1,1,1,0,0,0,S12,140.0,False,KCR,KCR,1,0.053607363998230864
3,8,7,3,4,1,2,0,0,5,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0.42857142857142855,0.5,0.7142857142857143,1.2142857142857144,0.28571428571428575,0.5,,0.0,0.125,0.125,0.75,0.25,3.0,228.0,0.5,0.5714285714285714,0.39397178213591855,0.2006,3,1,BC,8,7,3,4,1,0,0,S12,151.0,False,KCR,KCR,3,0.07203760280448084
2,6,6,1,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.16666666666666666,,0.0,0.0,0.0,0.4,0.6,0.6666666666666666,308.5,0.16666666666666666,0.3333333333333333,0.10646504164450529,0.026200000000000005,2,3,BN,6,6,1,2,0,0,0,S12,161.0,False,SDP,SDP,2,0.03512682260761727
3,9,9,2,1,1,1,0,0,3,0,0,0,1,0,0,0,0,0,0,1,2,0,3,0,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.25,,0.0,0.1111111111111111,0.0,0.5,0.5,1.0,315.22222222222223,0.2222222222222222,0.3333333333333333,-0.5654361322653257,-0.10629999999999998,3,3,1B,9,9,2,3,0,0,0,S12,163.0,False,LAD,LAD,3,-0.019823135561782463
2,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.25,0.0,0.75,0.25,3.0,376.25,0.0,0.0,-1.3413396845534802,-0.1809,3,1,BN,4,4,0,0,0,0,0,S12,168.0,False,LAD,LAD,3,-0.11781375615990353
