G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,Season,Hitter ID,is_sub_row,Team,Last Team,WAR
3,10,8,3,4.0,0,0,1,2,11,4.0,2,0,2,1,0,0,0,0,1,1,1,0,0,0,0.375,0.5,1.375,1.875,1.0,0.25,,0.2,0.2,0.2,1.0,0.0,,190.11111111111111,0.5,1.375,2.3838139830521334,0.0,3,0,MH,S3,43.0,False,CIN,CIN,0.277669557100559
3,7,6,2,2.0,1,1,0,0,3,2.0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0.3333333333333333,0.42857142857142855,0.5,0.9285714285714286,0.16666666666666669,0.5,,0.0,0.2857142857142857,0.14285714285714285,0.0,1.0,0.0,247.14285714285714,0.42857142857142855,0.5,0.536598465923611,0.0,0,2,WC,S3,44.0,False,2TM,CIN,0.08116155774910305
2,4,4,1,1.0,0,1,0,0,2,2.0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0.25,0.25,0.5,0.75,0.25,0.5,,0.0,0.5,0.0,0.0,1.0,0.0,261.25,0.25,0.5,0.37129906852960737,0.0,0,1,WC,S3,44.0,True,SCB,SCB,0.052845170371098996
1,3,2,1,1.0,1,0,0,0,1,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0.6666666666666666,0.5,1.1666666666666665,0.0,0.5,,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,228.33333333333334,0.6666666666666666,0.5,0.16529939739400368,0.0,0,1,WC,S3,44.0,True,CIN,CIN,0.02831638737800406
2,3,3,2,2.0,1,0,0,1,5,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.6666666666666666,1.6666666666666667,2.3333333333333335,1.0,1.0,,0.3333333333333333,0.3333333333333333,0.0,,,,181.33333333333334,0.6666666666666666,1.6666666666666667,2.3508606068012634,0.0,0,0,XB,S3,46.0,False,CIN,CIN,0.24687250831873003
1,1,1,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,419.0,0.0,0.0,-0.5111111111111111,0.0,1,0,1B,S3,47.0,False,CIN,CIN,-0.04718229523157654
5,13,12,6,3.0,2,2,1,1,13,2.0,1,0,2,0,0,0,0,0,0,1,1,2,0,0,0.5,0.5384615384615384,1.0833333333333333,1.6217948717948718,0.5833333333333333,0.5555555555555556,,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.5,0.5,1.0,189.53846153846155,0.5384615384615384,1.0833333333333333,2.938025489237499,0.0,2,2,BN,S3,51.0,False,2TM,CIN,0.34487715535769925
2,3,3,3,0.0,2,1,0,0,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.3333333333333333,2.333333333333333,0.33333333333333326,1.0,,0.0,0.0,0.0,,,,94.0,1.0,1.3333333333333333,1.8639053504683893,0.0,0,0,BN,S3,51.0,True,TZS,TZS,0.19817698268544265
3,10,9,3,3.0,0,1,1,1,9,1.0,1,0,2,0,0,0,0,0,0,1,1,2,0,0,0.3333333333333333,0.4,1.0,1.4,0.6666666666666667,0.3333333333333333,,0.1,0.2,0.1,0.5,0.5,1.0,218.2,0.4,1.0,1.0741201387691097,0.0,2,2,BN,S3,51.0,True,CIN,CIN,0.1467001726722566
2,4,4,1,1.0,0,0,0,1,4,3.0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0.25,0.25,1.0,1.25,0.75,0.0,,0.25,0.0,0.0,0.0,1.0,0.0,249.0,0.25,1.0,1.0969680603883534,0.0,0,3,EN,S3,52.0,False,SCB,SCB,0.1254120695569736
6,17,15,4,3.0,2,1,1,0,7,3.0,2,1,5,2,0,0,0,0,0,0,4,2,0,0,0.26666666666666666,0.35294117647058826,0.4666666666666667,0.8196078431372549,0.2,0.4,,0.0,0.29411764705882354,0.11764705882352941,0.6666666666666666,0.3333333333333333,2.0,301.64285714285717,0.35294117647058826,0.4666666666666667,-2.151579665227972,0.0,4,2,BN,S3,53.0,False,2TM,CIN,-0.14836809657070962
5,13,11,4,3.0,2,1,1,0,7,3.0,2,1,2,1,0,0,0,0,0,0,3,2,0,0,0.36363636363636365,0.46153846153846156,0.6363636363636364,1.097902097902098,0.2727272727272727,0.4444444444444444,,0.0,0.15384615384615385,0.15384615384615385,0.6,0.4,1.5,274.27272727272725,0.46153846153846156,0.6363636363636364,0.658212639580785,0.0,3,2,BN,S3,53.0,True,TZS,TZS,0.11689587039202784
1,4,4,0,0.0,0,0,0,0,0,0.0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.75,0.0,1.0,0.0,,402.0,0.0,0.0,-2.809792304808757,0.0,1,0,BN,S3,53.0,True,CIN,CIN,-0.26526396696273746
2,3,2,0,0.0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,,0.0,0.0,0.3333333333333333,0.5,0.5,1.0,287.3333333333333,0.3333333333333333,0.0,-0.3786396357091161,0.0,1,1,EN,S3,54.0,False,2TM,CIN,-0.026077515932307914
1,2,1,0,0.0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.5,0.0,0.5,0.0,0.0,,0.0,0.0,0.5,1.0,0.0,,303.0,0.5,0.0,-0.07111341277170413,0.0,1,0,EN,S3,54.0,True,BER,BER,0.0007462904818987162
1,1,1,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,256.0,0.0,0.0,-0.30752622293741194,0.0,0,1,EN,S3,54.0,True,CIN,CIN,-0.02682380641420663
1,3,3,2,2.0,0,0,1,1,7,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.6666666666666666,2.3333333333333335,3.0,1.666666666666667,1.0,,0.3333333333333333,0.3333333333333333,0.0,,,,136.66666666666666,0.6666666666666666,2.3333333333333335,2.265968142215244,0.0,0,0,BN,S3,55.0,False,CIN,CIN,0.2383832618601281
4,12,11,3,3.0,0,2,0,1,8,1.0,1,0,2,0,0,0,0,0,0,0,1,4,1,0,0.2727272727272727,0.3333333333333333,0.7272727272727273,1.0606060606060606,0.4545454545454546,0.25,,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.8333333333333334,0.2,253.75,0.3333333333333333,0.7272727272727273,-1.8029359339103115,0.0,1,5,S,S3,56.0,False,3TM,CIN,-0.13314780283661637
3,8,7,2,2.0,0,2,0,0,4,0.0,1,0,2,0,0,0,0,0,0,0,0,3,0,0,0.2857142857142857,0.375,0.5714285714285714,0.9464285714285714,0.2857142857142857,0.4,,0.0,0.25,0.125,0.0,1.0,0.0,232.625,0.375,0.5714285714285714,-2.120301203371389,0.0,0,3,S,S3,56.0,True,TZS,TZS,-0.1805995933008624
1,1,1,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,448.0,0.0,0.0,-0.2275449101796407,0.0,0,1,S,S3,56.0,True,SCB,SCB,-0.018825675138429507
1,3,3,1,1.0,0,0,0,1,4,1.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.6666666666666665,1.0,0.0,,0.3333333333333333,0.0,0.0,0.5,0.5,1.0,245.33333333333334,0.3333333333333333,1.3333333333333333,0.5449101796407185,0.0,1,1,S,S3,56.0,True,CIN,CIN,0.06627746560267554
9,16,15,2,1.0,2,0,0,0,2,0.0,1,0,3,2,0,1,0,0,1,2,2,4,1,0,0.13333333333333333,0.1875,0.13333333333333333,0.3208333333333333,0.0,0.16666666666666666,0.0,0.0,0.1875,0.0625,0.5,0.5,1.0,317.7142857142857,0.1875,0.13333333333333333,-5.17609333815014,0.0,5,5,HK,S3,57.0,False,CCF,CCF,-0.45474827974246096
1,2,2,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,1.0,310.0,0.0,0.0,-1.4410967538606996,0.0,1,1,MH,S3,58.0,False,CCF,CCF,-0.13625204362700083
1,2,2,0,0.0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,1.0,0.0,293.5,0.0,0.0,-0.92383769414414,0.0,0,1,BN,S3,60.0,False,CCF,CCF,-0.08452613765534486
1,3,3,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,429.6666666666667,0.0,0.0,-2.5975711331170523,0.0,3,0,MH,S3,61.0,False,CCF,CCF,-0.24797066567310155
4,7,6,0,0.0,0,0,0,0,0,0.0,1,0,3,0,0,0,0,0,1,1,1,0,0,0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,,0.0,0.42857142857142855,0.14285714285714285,1.0,0.0,,364.7142857142857,0.14285714285714285,0.0,-2.4053748369259758,0.0,3,0,TT,S3,62.0,False,CCF,CCF,-0.21303577253585565
2,3,3,0,0.0,0,0,0,0,0,0.0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,288.3333333333333,0.0,0.0,-0.9477977161500816,0.0,0,1,S,S3,63.0,False,CCF,CCF,-0.08299332397640447
1,1,1,0,0.0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,,,,301.0,0.0,0.0,-0.2275449101796407,0.0,0,0,1B,S3,67.0,False,CCF,CCF,-0.018825675138429507
1,4,4,1,1.0,0,0,1,0,3,1.0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0.25,0.25,0.75,1.0,0.5,0.25,,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.5,262.25,0.25,0.75,-0.3574143372496192,0.0,1,2,WC,S3,68.0,False,CCF,CCF,-0.02002617020682366
1,2,2,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.0,1.0,0.0,304.0,0.0,0.0,-1.1137724550898203,0.0,0,1,SF,S3,69.0,False,CCF,CCF,-0.10351961374991289
1,3,3,2,0.0,2,0,0,0,2,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.0,0.6666666666666666,,0.0,0.0,0.0,1.0,0.0,,221.0,0.6666666666666666,0.6666666666666666,-0.3963324601095498,0.0,1,0,1B,S3,70.0,False,CCF,CCF,-0.027846798372351288
2,3,3,2,0.0,2,0,0,0,2,1.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,,,,239.75,0.6666666666666666,0.6666666666666666,0.0925223941671679,0.0,0,0,BC,S3,71.0,False,CCF,CCF,0.021038687055320485
6,17,16,8,6.0,0,2,2,4,26,9.0,1,0,4,0,0,0,0,0,0,1,0,2,1,0,0.5,0.5294117647058824,1.625,2.1544117647058822,1.125,0.5,,0.23529411764705882,0.23529411764705882,0.058823529411764705,0.25,0.75,0.3333333333333333,182.52941176470588,0.5294117647058824,1.625,5.733563925017323,0.0,1,3,XB,S3,72.0,False,CCF,CCF,0.6401462624538199
2,3,3,2,0.0,2,0,0,0,2,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.0,1.0,,0.0,0.3333333333333333,0.0,,,,122.0,0.6666666666666666,0.6666666666666666,0.6818002308131349,0.0,0,0,SF,S3,74.0,False,2TM,SCB,0.07996647071991718
1,2,2,2,0.0,2,0,0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,0.0,1.0,,0.0,0.0,0.0,,,,122.0,1.0,1.0,0.9093451409927756,0.0,0,0,SF,S3,74.0,True,LAN,LAN,0.0987921458583467
1,1,1,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,,,,,0.0,0.0,-0.2275449101796407,0.0,0,0,SF,S3,74.0,True,SCB,SCB,-0.018825675138429507
9,17,14,5,1.0,4,0,1,0,7,0.0,3,0,1,0,1,0,0,0,1,3,1,2,1,0,0.35714285714285715,0.47058823529411764,0.5,0.9705882352941176,0.14285714285714285,0.38461538461538464,1.0,0.0,0.058823529411764705,0.17647058823529413,0.625,0.375,1.6666666666666667,261.3888888888889,0.47058823529411764,0.5,-1.6518907543550116,0.0,5,3,1B,S3,76.0,False,SCB,SCB,-0.09839920548341356
1,3,3,1,0.0,1,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,,0.0,0.0,0.0,0.0,1.0,0.0,205.33333333333334,0.3333333333333333,0.3333333333333333,-0.4892960166832536,0.0,0,2,BP,S3,77.0,False,SCB,SCB,-0.03714315402972167
