G,IP,BF,H,R,ER,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,SB_A,CS_A,SB%_A,Type,Season,Pitcher ID,is_sub_row,Team,Last Team,Last Session,FIP,nIP,ERA-,nRuns,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
1,1.6666666666666667,9,3,4,4,1,0,0,3,0,2,0,1,1,0,0,14.399999999999999,2.4,10.799999999999999,0.0,3.5999999999999996,10.799999999999999,3.0,0.375,0.4444444444444444,0.5,0.9444444444444444,0.6,0.0,0.3333333333333333,0.1111111111111111,0.5,0.5,1.0,201.5,2.2457539506719835,-0.2517,8,0,0,1,0,1,1,1,0,1.0,NH-S,S12,1772,False,ATL,ATL,2,-0.23620178041542994,1.6666666666666667,216,2.151185137732223,1.0,0.0,0.0,0.0,0,0,0,0,0.0,-0.18722721692954652
1,1.6666666666666667,12,6,5,5,1,0,0,1,2,3,0,2,1,1,0,18.0,4.2,21.599999999999998,7.199999999999999,3.5999999999999996,3.5999999999999996,1.0,0.5454545454545454,0.5833333333333334,1.1818181818181819,1.7651515151515151,0.5,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.5,0.5,1.0,188.33333333333334,3.8667695851405326,-0.3539,11,0,0,1,0,2,2,0,0,,BF-H,S12,1786,False,PHI,PHI,1,17.76379821958457,1.6666666666666667,501,5.0,1.0,0.0,0.0,0.0,0,1,0,0,0.0,-0.33687938766385084
1,2.0,10,4,2,2,0,0,0,3,1,2,0,0,1,2,0,6.0,2.0,12.0,3.0,0.0,9.0,,0.4,0.4,0.8,1.2000000000000002,0.5,0.1,0.3,0.0,0.0,1.0,0.0,197.3,-0.26775956284153035,-0.0031999999999999945,10,0,0,1,0,0,3,0,0,,WC-S,S12,1792,False,SFG,SFG,2,5.063798219584569,2.0,114,1.366120218579235,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.06827393199265505
1,2.3333333333333335,10,1,3,3,2,0,0,1,0,0,0,1,4,1,0,7.7142857142857135,1.2857142857142856,2.571428571428571,0.0,5.142857142857142,2.571428571428571,0.5,0.125,0.3,0.375,0.675,0.14285714285714285,0.0,0.1,0.2,0.16666666666666666,0.8333333333333334,0.2,222.72727272727272,0.3984935388954425,-0.14410000000000003,8,0,0,0,1,1,5,1,0,1.0,TD-H,S12,1801,False,CHC,CHC,1,3.278083933870284,2.6666666666666665,166,2.643248629795715,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0016486218189577738
1,3.0,15,3,3,3,4,0,0,2,1,2,1,4,1,0,0,6.0,2.3333333333333335,6.0,2.0,8.0,4.0,0.5,0.3,0.4666666666666667,0.6,1.0666666666666667,0.25,0.06666666666666667,0.13333333333333333,0.26666666666666666,0.8571428571428571,0.14285714285714285,6.0,255.73333333333332,1.098360655737705,-0.25370000000000004,10,1,0,0,0,6,1,0,0,,NT-H,S12,1843,False,PIT,PIT,1,8.56379821958457,3.0,167,3.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,-0.04758910201101747
1,0.6666666666666666,4,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0.0,3.0,9.0,0.0,9.0,18.0,2.0,0.3333333333333333,0.5,0.3333333333333333,0.8333333333333333,1.0,0.0,0.5,0.25,,,,226.25,0.14389799635701273,0.0,3,0,0,0,0,0,0,0,0,,TT-H,S12,1942,False,NYM,NYM,1,0.06379821958456988,0.6666666666666666,24,0.096240082787168,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.002209390647699536
1,0.6666666666666666,3,1,1,1,0,0,0,1,1,0,1,0,0,0,0,9.0,1.5,9.0,9.0,0.0,9.0,,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.6666666666666665,0.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,,214.33333333333334,0.5006493665612977,-0.074,3,0,0,0,0,1,0,0,0,,EG-H,S12,1961,False,KCR,KCR,2,18.06379821958457,0.6666666666666666,251,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0.0,-0.03761554394357916
1,6.0,20,3,1,1,0,0,0,3,1,2,5,4,4,1,0,1.0,0.5,3.0,1.0,0.0,3.0,,0.15,0.15,0.3,0.44999999999999996,0.125,0.05,0.15,0.0,0.6666666666666666,0.3333333333333333,2.0,309.2,-2.803278688524591,0.3306,20,0,0,0,0,10,5,1,0,1.0,NT-S,S12,1963,False,ARI,ARI,1,2.7304648862512364,6.0,28,1.0,1.0,1.0,1.0,0.0,1,0,0,0,1.0,0.36332382026946314
1,1.0,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.5,317.3333333333333,-0.6338797814207651,0.2274,3,0,0,0,0,1,2,0,0,,EN-S,S12,2206,False,TBR,TBR,1,1.5637982195845699,1.0,0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0.0,0.07583737085462712
1,4.666666666666667,20,6,3,3,0,0,0,6,0,1,1,1,4,2,0,3.8571428571428568,1.2857142857142856,7.7142857142857135,0.0,0.0,7.7142857142857135,,0.3,0.3,0.6,0.8999999999999999,0.42857142857142855,0.0,0.3,0.0,0.25,0.75,0.3333333333333333,231.6,0.3441146064096881,0.0922,20,0,0,4,1,2,6,0,0,,NH-S,S12,2207,False,NYY,NYY,1,-1.0076303518440013,4.666666666666667,121,3.378984365531451,1.0,0.0,0.0,0.0,1,0,0,0,1.0,0.04858449077603523
