ID,Season,Display Season,Team,Franchise,HR,3B,2B,1B,BB,IBB,FO,SO,Auto K,PO,RGO,LGO,LO,SF,SH,GO,GIDP,GITP,SB,CS,1RHR,2RHR,3RHR,4RHR,H_RISP,AB_RISP,H,PA,AB,TB,TB+,G_list,G,R,RBI,Total Diff,Total Plays,RE24,WPA,WAR,0 Diffs,500 Diffs,Last Team,Last Session,nH,nTB,nBB,nFO,nSH,nPA,nAB,SF value,nSF,lgnH,lgnBB,lgnPA,lgnAB,lgnTB,lgnOBP,lgnSLG,BA,BARISP,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,K%,BB%,GB%,FB%,GB/FB,nOBP,nSLG,Avg Diff,Name,Batting Type,Pitching Type,Handedness,Position,OPS+
20,9,S9,CHC,CHC,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,1,{9001},1,0,0,151.0,1,-0.07973421926910307,0.0235,-0.0042800929038440015,0,0,PHI,1,0,0,1,0,0,1,0.0,0.03723404255319149,0.0,137,51,539,485.02127659574467,254,0.34879406307977734,0.5236883663800667,,,1.0,,,,,,0.0,0.0,1.0,,,,1.0,,151.0,Q Kimbrel,TT,NH-S,Left,CF,
20,10,S10,MIA,FLA,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,1,3,3,1,1,{10243},1,1,0,665.0,3,0.6295918367346938,-0.07210000000000001,0.07329175453018334,0,0,PHI,1,1,1,0,1,0,3,2.9527145359019262,0.047285464098073555,0.047285464098073555,117,5,541,529.5218914185639,233,0.2255083179297597,0.4400195795036993,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,,0.0,0.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.3386714116251483,221.66666666666666,Q Kimbrel,SF,,Right,CF,124.7815580593477
20,11,S11,DET,DET,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,1,0,0,1,{11251},1,0,0,595.0,2,-0.2469846055628505,-0.0238,-0.013864641854601262,0,0,PHI,4,0,0,0,1,0,1,0.9454225352112676,0.05457746478873239,0.05457746478873239,160,2,554,544.669014084507,350,0.2924187725631769,0.6425920897818808,,,1.0,,,,,0.0,0.0,0.0,1.0,,,,0.0,0.0,297.5,Q Kimbrel,WC,,Right,CF,-100.0
20,11,S11,MIL,MIL,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,1,2,2,2,2,{11248},1,0,0,427.0,2,0.5682885374355428,0.007800000000000001,0.06766267244523805,0,0,PHI,2,1,3,0,0,0,2,2.0,0.05457746478873239,0.0,160,2,554,544.669014084507,350,0.2924187725631769,0.6425920897818808,0.5,,0.5,1.0,1.5,0.5,0.5,,0.0,0.0,0.0,1.0,0.0,inf,0.5,1.5,213.5,Q Kimbrel,WC,,Right,CF,304.4172317857764
20,11,S11,STL,STL,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,2,2,1,1,{11250},1,1,0,433.0,2,0.16710391000482727,0.024,0.02754420970216651,0,0,PHI,3,1,1,0,0,0,2,2.0,0.05457746478873239,0.0,160,2,554,544.669014084507,350,0.2924187725631769,0.6425920897818808,0.5,,0.5,0.5,1.0,0.0,0.5,,0.0,0.0,0.0,0.0,0.0,,0.5,0.5,216.5,Q Kimbrel,WC,,Right,CF,148.79751347591724
22,7,S7,SDP,SDP,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0,4.0,1,4,4,4,4,{7002},1,1,4,1020.0,4,2.2925871379479625,0.1815,0.24416590942579536,0,0,SFG,1,1,4,0,0,0,4,4.0,0.0695364238410596,0.0,141,60,580,514.9238410596026,288,0.34655172413793106,0.5593060119480152,0.25,0.25,0.25,1.0,1.25,0.75,0.0,,0.25,0.0,0.0,0.3333333333333333,0.0,inf,0.25,1.0,255.0,Snoop E. Dogg,XB,,Right,2B,150.93230385050464
22,7,S7,STL,STL,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,2,2,0,0,{7005},1,0,0,528.0,2,-0.35483097578518347,-0.0675,-0.0280294997630188,0,0,SFG,2,0,0,0,0,0,2,2.0,0.0695364238410596,0.0,141,60,580,514.9238410596026,288,0.34655172413793106,0.5593060119480152,0.0,,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,,,,0.0,0.0,264.0,Snoop E. Dogg,XB,,Right,2B,-100.0
22,10,S10,ATL,ATL,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,1,2,2,1,1,{10248},1,1,0,420.0,2,-0.6451127819548872,-0.0022000000000000006,-0.057622897624346074,0,0,SFG,2,1,1,0,0,0,2,2.0,0.047285464098073555,0.0,117,5,541,529.5218914185639,233,0.2255083179297597,0.4400195795036993,0.5,0.0,0.5,0.5,1.0,0.0,1.0,,0.0,0.5,0.0,,,,0.5,0.5,210.0,Snoop E. Dogg,BP,,Left,2B,235.35261864677545
23,2,S2,TB,TBR,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0,1,3,3,1,1,{2003},1,0,0,899.0,3,0.43823529411764706,0.006999999999999999,0.05586114696662364,0,0,BOS,1,1,1,0,0,0,3,3.0,0.031609195402298854,0.0,79,33,342,305.9454022988506,145,0.32748538011695905,0.4739407714921714,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.5,,0.0,0.3333333333333333,0.0,1.0,0.0,inf,0.3333333333333333,0.3333333333333333,299.6666666666667,Michael Vorhees,BN,,Left,C,72.11799067625464
24,4,S4,SEA,SEA,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,1.0,2.0,1,3,3,2,2,{4004},1,0,1,806.0,3,-0.6133333333333335,-0.065,-0.048273031825795655,0,0,BOS,1,1,2,0,0,0,3,3.0,0.06821963394342762,0.0,154,52,583,524.5424292845258,324,0.35334476843910806,0.6176812053925456,0.3333333333333333,0.5,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,,0.0,0.0,0.0,1.0,0.0,inf,0.3333333333333333,0.6666666666666666,268.6666666666667,Nate Lewis,BC,,Right,C,102.26711058433446
