G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Season,Hitter ID,Team,WAR
13.0,34.0,32.0,7.0,3.0,5.0,2.0,0.0,0.0,9.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,6.0,6.0,3.0,0.0,0.21875,0.23529411764705882,0.28125,0.5165441176470589,0.0625,0.2413793103448276,0.0,0.0,0.11764705882352941,0.029411764705882353,0.5833333333333334,0.4166666666666667,1.4,299.1470588235294,0.23529411764705882,0.28125,-3.361736954169102,-0.6862,14.0,10.0,S7,104,DET,-0.1961336420123708
15.0,38.0,35.0,11.0,7.0,7.0,2.0,0.0,2.0,19.0,9.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,8.0,7.0,3.0,0.0,0.3142857142857143,0.34210526315789475,0.5428571428571428,0.8849624060150376,0.22857142857142854,0.2903225806451613,0.0,0.05263157894736842,0.07894736842105263,0.05263157894736842,0.5217391304347826,0.4782608695652174,1.0909090909090908,259.2368421052632,0.34210526315789475,0.5428571428571428,-0.37475816802034556,0.6335999999999999,12.0,11.0,S7,106,DET,0.11903953700303889
11.0,28.0,27.0,7.0,1.0,6.0,0.0,0.0,1.0,10.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,9.0,3.0,0.0,0.25925925925925924,0.2857142857142857,0.37037037037037035,0.656084656084656,0.1111111111111111,0.2608695652173913,0.0,0.03571428571428571,0.10714285714285714,0.03571428571428571,0.3333333333333333,0.6666666666666666,0.5,256.82142857142856,0.2857142857142857,0.37037037037037035,-4.122914432836474,-0.16379999999999995,6.0,12.0,S7,108,HOU,-0.29696434047990905
10.0,27.0,25.0,7.0,3.0,4.0,1.0,0.0,2.0,14.0,4.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,3.0,0.0,0.28,0.3333333333333333,0.56,0.8933333333333333,0.28,0.29411764705882354,0.0,0.07407407407407407,0.2222222222222222,0.07407407407407407,0.5,0.5,1.0,237.62962962962962,0.3333333333333333,0.56,-0.8034198315934212,-0.14359999999999998,6.0,6.0,S7,113,HOU,0.030866294544262696
14.0,37.0,36.0,8.0,4.0,2.0,4.0,0.0,2.0,18.0,4.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,2.0,1.0,0.0,0.2222222222222222,0.24324324324324326,0.5,0.7432432432432432,0.2777777777777778,0.2857142857142857,0.0,0.05405405405405406,0.35135135135135137,0.02702702702702703,0.8,0.2,4.0,279.2162162162162,0.24324324324324326,0.5,-2.97118586849623,-0.49539999999999995,12.0,3.0,S7,114,HOU,-0.14472205814468306
1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,1.5,2.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,240.0,0.5,1.5,1.6039437600074928,0.049600000000000005,1.0,0.0,S7,116,TBR,0.1686320262010163
3.0,8.0,6.0,3.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.5,0.625,0.5,1.125,0.0,0.5,0.0,0.0,0.0,0.25,1.0,0.0,0.0,236.625,0.625,0.5,-0.33490891163998215,0.2823,4.0,0.0,S7,117,HOU,-0.0005402903629301237
16.0,48.0,39.0,11.0,9.0,4.0,5.0,0.0,2.0,22.0,5.0,9.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0,7.0,7.0,4.0,0.0,0.28205128205128205,0.4166666666666667,0.5641025641025641,0.9807692307692308,0.28205128205128205,0.2903225806451613,1.0,0.041666666666666664,0.125,0.1875,0.5416666666666666,0.4583333333333333,1.1818181818181819,239.6734693877551,0.4166666666666667,0.5641025641025641,2.685527055909816,0.2958,13.0,11.0,S7,119,HOU,0.4662563103973902
13.0,34.0,30.0,8.0,3.0,3.0,4.0,0.0,1.0,15.0,8.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,4.0,3.0,0.0,0.26666666666666666,0.35294117647058826,0.5,0.8529411764705883,0.23333333333333334,0.3181818181818182,0.0,0.029411764705882353,0.20588235294117646,0.11764705882352941,0.5882352941176471,0.4117647058823529,1.4285714285714286,259.7352941176471,0.35294117647058826,0.5,-5.678520981560006,0.00829999999999987,10.0,7.0,S7,122,HOU,-0.42781204475146123
16.0,39.0,37.0,14.0,5.0,12.0,2.0,0.0,0.0,16.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,4.0,2.0,0.0,0.3783783783783784,0.41025641025641024,0.43243243243243246,0.8426888426888427,0.05405405405405406,0.4375,0.0,0.0,0.1282051282051282,0.05128205128205128,0.6842105263157895,0.3157894736842105,2.1666666666666665,253.51282051282053,0.41025641025641024,0.43243243243243246,2.133491983634059,0.008399999999999996,13.0,6.0,S7,126,HOU,0.37398337726861286
