Team,Opponent,Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,Auto BB,FO,SO,PO,RGO,LGO,DP,SB,CS,H,BF,IP,ER,RE24,WAR,WPA,300+ Pitches,400+ Pitches,Location
NYM,COL,5001,5,S5,1,1,2,1,2,3,0,0,4,6,1,2,3,1,2,1,6,25,6.0,3,-0.9248120300751876,0.21313727025898077,-0.14650000000000002,10,4,Home
NYM,FLA,4002,4,S4,1,3,1,2,3,1,0,0,3,5,4,3,3,0,0,0,9,28,6.0,6,1.263157894736842,-0.0366876487701667,-0.015499999999999967,12,6,Away
NYM,LAD,4009,4,S4,3,0,0,3,6,2,0,0,1,4,1,3,5,1,1,0,9,25,5.0,4,0.052631578947368585,0.07796297275852943,-0.19549999999999998,10,7,Away
NYM,MIN,7011,7,S7,4,0,0,6,2,4,0,0,4,6,1,3,4,2,1,1,8,30,7.0,4,-1.2082029892248878,0.2437103848812074,-0.09009999999999999,11,7,Home
NYM,SFG,4005,4,S4,2,0,0,0,3,0,0,0,3,2,9,3,0,1,0,0,3,20,6.0,0,-4.7368421052631575,0.5377043110288283,0.09760000000000002,13,3,Away
NYM,STL,7009,7,S7,3,1,0,1,1,4,0,0,5,10,0,2,1,0,0,0,3,25,6.0,3,-1.1605839416058394,0.2120662738158329,0.09279999999999998,9,5,Away
NYY,BAL,4006,4,S4,2,0,0,0,1,1,0,0,3,4,3,2,4,1,0,1,1,18,6.0,0,-4.7368421052631575,0.5345033060037027,0.46080000000000004,12,7,Home
NYY,CLE,3002,3,S3,1,2,1,5,2,0,0,0,5,5,0,1,5,1,0,0,10,26,5.666666666666667,7,4.730769230769231,-0.34620142321022096,-0.8403999999999999,9,5,Away
NYY,KCR,4010,4,S4,3,0,0,0,1,4,1,0,5,5,4,2,4,0,3,0,1,26,7.0,1,-5.526315789473684,0.6454607246760116,0.6571,12,7,Home
NYY,KCR,5008,5,S5,2,0,1,4,1,2,0,0,3,3,2,2,5,0,0,0,6,23,5.0,2,-1.2706766917293237,0.2261780101294904,-0.0216,10,5,Away
NYY,MIN,5003,5,S5,1,2,1,3,2,1,0,0,0,2,4,2,8,2,0,0,8,25,6.0,6,2.075187969924812,-0.09979016551796158,0.0728,13,9,Home
NYY,OAK,11243,11,S11,1,0,0,1,1,1,0,0,5,3,1,5,2,2,0,0,2,19,6.0,0,-5.18796992481203,0.5667383908715451,0.4605,10,7,Away
