G,PA,AB,H,R,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Season,Hitter ID,Team,WAR
9.0,20.0,19.0,6.0,2.0,2.0,0.0,0.0,8.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3157894736842105,0.35,0.42105263157894735,0.7710526315789473,0.10526315789473684,0.35294117647058826,0.0,0.0,0.1,0.05,0.3333333333333333,0.6666666666666666,0.5,246.28571428571428,0.3684210526315789,0.5,-0.6609647843042145,-0.11539999999999995,4.0,8.0,S6,29,BOS,0.017317125287364787
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,475.0,0.0,0.0,-0.2225867271277714,0.0,1.0,0.0,S6,32,BAL,-0.01808799252688783
8.0,19.0,17.0,4.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.3157894736842105,0.23529411764705882,0.5510835913312693,0.0,0.3076923076923077,1.0,0.0,0.21052631578947367,0.10526315789473684,0.5555555555555556,0.4444444444444444,1.25,271.65,0.2631578947368421,0.2222222222222222,-1.0201542274485518,-0.07309999999999998,5.0,4.0,S6,33,LAA/MIN,-0.022772499212958253
16.0,44.0,39.0,9.0,5.0,3.0,2.0,2.0,22.0,5.0,5.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.23076923076923078,0.3181818181818182,0.5641025641025641,0.8822843822843822,0.3333333333333333,0.25,0.0,0.045454545454545456,0.20454545454545456,0.11363636363636363,0.23809523809523808,0.7619047619047619,0.3125,258.59574468085106,0.2857142857142857,0.6153846153846154,-2.393605509664844,-0.5047,5.0,16.0,S6,34,BOS,-0.055850622787354684
7.0,17.0,17.0,4.0,2.0,1.0,0.0,2.0,11.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,0.23529411764705882,0.6470588235294118,0.8823529411764706,0.411764705882353,0.18181818181818182,0.0,0.11764705882352941,0.23529411764705882,0.0,0.2222222222222222,0.7777777777777778,0.2857142857142857,233.76470588235293,0.23529411764705882,0.7058823529411765,-2.335452598499228,-0.1339,2.0,7.0,S6,35,MIN,-0.16264369668980452
13.0,37.0,34.0,11.0,3.0,4.0,0.0,3.0,24.0,7.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,0.3235294117647059,0.35135135135135137,0.7058823529411765,1.057233704292528,0.3823529411764706,0.2857142857142857,0.0,0.08108108108108109,0.10810810810810811,0.05405405405405406,0.36363636363636365,0.6363636363636364,0.5714285714285714,226.94736842105263,0.34285714285714286,0.7272727272727273,-3.5374467484199377,0.35550000000000004,8.0,14.0,S6,39,MIA,-0.19942950796408923
11.0,35.0,31.0,10.0,4.0,3.0,1.0,1.0,18.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3225806451612903,0.37142857142857144,0.5806451612903226,0.9520737327188941,0.2580645161290323,0.3103448275862069,0.0,0.02857142857142857,0.05714285714285714,0.08571428571428572,0.5,0.5,1.0,261.37142857142857,0.35294117647058826,0.5172413793103449,1.7654205088507198,0.23290000000000002,10.0,10.0,S6,41,CIN,0.32251585739119787
11.0,29.0,28.0,8.0,4.0,2.0,1.0,2.0,18.0,8.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2857142857142857,0.3103448275862069,0.6428571428571429,0.9532019704433499,0.3571428571428572,0.2608695652173913,0.0,0.06896551724137931,0.10344827586206896,0.034482758620689655,0.5,0.5,1.0,246.6206896551724,0.32142857142857145,0.6296296296296297,-1.820210611951774,0.46880000000000005,9.0,9.0,S6,42,TEX,-0.06107133580438735
9.0,21.0,21.0,4.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.38095238095238093,0.0,0.23529411764705882,1.0,0.0,0.19047619047619047,0.0,0.7142857142857143,0.2857142857142857,2.5,319.2,0.2,0.15789473684210525,-6.183798344313871,-0.5896999999999999,10.0,4.0,S6,45,CIN,-0.5307955505277115
10.0,29.0,25.0,5.0,3.0,2.0,0.0,1.0,10.0,3.0,4.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.3103448275862069,0.4,0.710344827586207,0.2,0.2222222222222222,1.0,0.034482758620689655,0.20689655172413793,0.13793103448275862,0.2857142857142857,0.7142857142857143,0.4,247.0,0.27586206896551724,0.4230769230769231,-1.971785248373915,-0.5458000000000001,4.0,10.0,S6,48,SFG,-0.07622879944660144
