G,IP,BF,H,R,ER,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,SB_A,CS_A,SB%_A,Season,Pitcher ID,Team,is_sub_row,Last Team,FIP,nIP,ERA-,nRuns,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,1.0,,,,0.0,0.0,1.0,,,,,0.2991607624503845,-0.036699999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,S2,-23,MTL,False,MTL,inf,0.0,0,0.2991607624503845,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026905311154688583
1.0,2.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,12.0,4.0,0.14285714285714285,0.25,0.14285714285714285,0.39285714285714285,0.3333333333333333,0.0,0.5,0.125,0.5,0.5,1.0,291.375,-1.2972739073993942,0.1012,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,S2,-22,TEX,False,TEX,-0.815448658649399,2.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.15381351146273833
6.0,15.0,74.0,18.0,11.0,11.0,9.0,0.0,0.0,14.0,2.0,13.0,3.0,6.0,20.0,0.0,0.0,4.4,1.8,7.199999999999999,0.8,3.5999999999999996,5.6,1.5555555555555556,0.2903225806451613,0.36486486486486486,0.46774193548387094,0.8326068003487358,0.32653061224489793,0.02702702702702703,0.1891891891891892,0.12162162162162163,0.3333333333333333,0.6666666666666666,0.5,230.59459459459458,-0.07903049674476892,-0.08049999999999996,62.0,3.0,0.0,1.0,2.0,10.0,20.0,2.0,0.0,1.0,S2,-21,SEA,False,SEA,3.351218008017268,16.0,89,8.299160762450384,4.0,3.0,2.0,0.0,1.0,2.0,0.0,0.0,0.3333333333333333,0.23069966636036693
2.0,2.3333333333333335,11.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.2857142857142856,2.571428571428571,0.0,5.142857142857142,5.142857142857142,1.0,0.125,0.2727272727272727,0.125,0.3977272727272727,0.14285714285714285,0.0,0.18181818181818182,0.18181818181818182,0.0,1.0,0.0,211.55555555555554,-2.841459659132485,0.6437,8.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,S2,-20,BOS,False,BOS,2.5416941984934582,3.3333333333333335,16,0.31487600451311337,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.317264381907097
4.0,4.333333333333333,17.0,2.0,2.0,2.0,2.0,0.0,0.0,6.0,1.0,1.0,2.0,2.0,3.0,0.0,0.0,2.7692307692307696,0.9230769230769231,2.769230769230769,1.3846153846153846,2.769230769230769,8.307692307692308,3.0,0.13333333333333333,0.23529411764705882,0.3333333333333333,0.5686274509803921,0.125,0.058823529411764705,0.35294117647058826,0.11764705882352941,0.5714285714285714,0.42857142857142855,1.3333333333333333,256.2352941176471,-2.4708749567314308,0.3633,15.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,,S2,-19,MIN,False,MIN,3.2999359567352164,4.666666666666667,73,2.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,0.2982705022090908
6.0,18.666666666666668,90.0,28.0,20.0,20.0,6.0,0.0,0.0,13.0,6.0,15.0,12.0,6.0,18.0,3.0,0.0,6.428571428571428,1.8214285714285714,9.0,1.9285714285714284,1.9285714285714284,4.178571428571429,2.1666666666666665,0.34146341463414637,0.37777777777777777,0.6463414634146342,1.024119241192412,0.3384615384615385,0.06666666666666667,0.14444444444444443,0.06666666666666667,0.4878048780487805,0.5121951219512195,0.9523809523809523,236.31460674157304,6.409630576815968,-0.19359999999999994,82.0,2.0,0.0,7.0,0.0,20.0,21.0,0.0,0.0,,S2,-18,PIT,False,PIT,5.4345513413506,19.666666666666668,172,19.748513111651796,4.0,3.0,1.0,0.0,2.0,2.0,2.0,0.0,0.5,-0.3699941995501089
6.0,18.666666666666668,73.0,16.0,8.0,8.0,4.0,0.0,0.0,11.0,3.0,8.0,7.0,14.0,13.0,4.0,0.0,2.571428571428571,1.0714285714285714,5.142857142857142,0.9642857142857142,1.2857142857142856,3.5357142857142856,2.75,0.23529411764705882,0.273972602739726,0.47058823529411764,0.7445608380338437,0.23636363636363636,0.0410958904109589,0.1506849315068493,0.0547945205479452,0.5853658536585366,0.4146341463414634,1.411764705882353,270.5068493150685,-4.946409102360381,1.8247,68.0,1.0,0.0,3.0,2.0,24.0,17.0,0.0,1.0,0.0,S2,-17,TB,False,TB,3.2381227699220294,18.666666666666668,85,9.260337415341905,1.0,6.0,1.0,1.0,3.0,1.0,0.0,0.0,0.75,0.7144267618315782
4.0,6.0,32.0,10.0,7.0,7.0,4.0,0.0,1.0,10.0,2.0,6.0,1.0,0.0,3.0,1.0,0.0,7.0,2.3333333333333335,10.0,2.0,4.0,10.0,2.5,0.38461538461538464,0.4375,0.6923076923076923,1.1298076923076923,0.5,0.0625,0.3125,0.125,0.3333333333333333,0.6666666666666666,0.5,239.96875,3.4438260820393913,-0.49229999999999996,26.0,2.0,0.0,2.0,0.0,2.0,4.0,0.0,1.0,0.0,S2,-16,STL,False,STL,4.684551341350601,6.666666666666667,165,6.42016224490797,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.24803812531274344
8.0,18.666666666666668,76.0,12.0,8.0,8.0,13.0,1.0,2.0,11.0,1.0,9.0,8.0,6.0,17.0,5.0,0.0,2.571428571428571,1.3392857142857142,3.8571428571428568,0.3214285714285714,4.178571428571429,3.5357142857142856,0.8461538461538461,0.19047619047619047,0.32894736842105265,0.2698412698412698,0.5987886382623224,0.21568627450980393,0.013157894736842105,0.14473684210526316,0.17105263157894737,0.45,0.55,0.8181818181818182,262.7638888888889,-6.924527462561396,1.2346000000000001,63.0,0.0,0.0,2.0,0.0,18.0,22.0,1.0,1.0,0.5,S2,-15,5TM,False,SEA,3.291694198493458,19.0,44,4.9163512378677385,6.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.9212708931227294
2.0,3.0,13.0,1.0,3.0,3.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,6.0,1.3333333333333333,2.0,0.0,6.0,4.0,0.6666666666666666,0.1,0.3076923076923077,0.2,0.5076923076923077,0.125,0.0,0.15384615384615385,0.23076923076923078,0.2857142857142857,0.7142857142857143,0.4,252.72727272727272,0.35324990135129286,-0.05139999999999998,10.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,,S2,-15,WSH,True,WSH,3.351218008017268,3.0,74,1.2991607624503845,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003814956039418965
