Team,Opponent,Game ID,Season,Display Season,Session,HR,3B,2B,1B,BB,IBB,FO,SO,Auto K,PO,RGO,LGO,GIDP,SB,CS,H,TB,PA,R,RBI,RE24,WAR,WPA,Location
OAK,KCR,8010,8,S8,3,5,0,5,2,3,0,4,4,0,2,2,2,0,2,1,12,32,29,11,11,6.892857142857143,0.8497698433480051,0.7627000000000002,Home
OAK,LAD,8011,8,S8,4,2,1,2,7,2,0,6,6,0,0,1,6,0,4,2,12,22,33,8,8,1.4924812030075183,0.3448381525954187,0.0600999999999999,Home
OAK,MIN,6003,6,S6,1,1,2,0,7,1,0,6,4,0,2,3,2,0,0,1,10,17,28,5,5,1.2500000000000002,0.2207924381361881,0.2049,Home
OAK,NYY,11243,11,S11,1,0,0,1,1,1,0,5,3,0,1,5,2,2,0,0,2,3,19,0,0,-5.18796992481203,-0.4158757148152071,-0.4605,Home
OAK,PHI,1001,1,S1,1,0,0,1,6,3,0,5,6,0,0,1,4,2,0,0,7,8,26,2,2,-0.5000000000000001,0.0403546099290779,-0.4099000000000001,Away
OAK,SDP,5011,5,S5,4,1,1,1,4,2,0,6,2,0,1,1,5,2,0,1,7,13,24,2,2,-1.9248120300751883,-0.1044633067042606,-0.3034,Home
OAK,SEA,8007,8,S8,2,2,0,4,9,3,0,1,4,0,3,3,2,1,2,1,15,25,31,10,10,5.892857142857143,0.7598001014143982,0.9168000000000002,Home
OAK,TBR,10246,10,S10,2,0,1,2,3,7,0,4,5,0,0,1,4,3,0,1,6,10,27,2,2,-1.128571428571429,-0.0164198148611458,0.0497,Away
OAK,TEX,5002,5,S5,1,2,0,3,2,1,0,1,8,0,1,2,2,0,0,1,7,16,22,6,6,2.7293233082706765,0.3539087954260651,0.2197999999999999,Home
PHI,ATL,10249,10,S10,3,1,1,3,3,4,0,3,3,0,1,4,1,2,1,1,8,16,24,5,5,2.3928571428571423,0.3288346617105686,0.1653,Home
PHI,CHC,7001,7,S7,1,0,0,1,3,1,0,7,2,0,0,4,4,1,0,0,4,5,22,1,1,-3.16058394160584,-0.2340688181900889,-0.2665999999999999,Away
PHI,CHC,9001,9,S9,1,2,2,2,9,7,1,5,3,0,5,4,3,3,0,1,15,27,42,6,6,1.7714285714285711,0.3359560051347082,0.2048999999999999,Away
PHI,DET,11251,11,S11,4,0,0,2,3,3,0,4,5,0,6,1,0,0,2,2,5,7,24,2,2,-3.1879699248120303,-0.16712353065763,-0.0384999999999999,Home
PHI,FLA,10243,10,S10,1,0,0,4,5,5,0,2,2,0,4,3,3,1,0,0,9,13,28,6,6,3.392857142857143,0.4357230422817112,0.1616,Home
PHI,MIL,10247,10,S10,2,1,1,1,3,7,0,3,6,0,2,3,3,1,0,0,6,12,30,6,6,2.8714285714285706,0.3904685657099968,0.155,Away
PHI,MIL,11248,11,S11,2,2,0,1,7,0,0,2,3,0,4,2,2,1,0,1,10,17,23,3,3,-1.3233082706766917,-0.0023250026474637,0.1196,Home
PHI,OAK,1001,1,S1,1,2,0,3,0,1,0,6,3,0,2,2,2,0,0,0,5,14,21,3,3,0.9166666666666664,0.1646453900709219,0.0900999999999999,Home
PHI,PIT,2001,2,S2,1,0,0,2,6,0,0,6,9,0,1,1,1,0,0,0,8,10,26,2,2,-0.3863636363636362,0.0656896551724137,-0.0513999999999999,Away
PHI,SDP,6005,6,S6,2,0,1,1,3,2,0,4,5,0,2,2,2,2,0,1,5,8,22,1,1,-2.75,-0.199026686995437,-0.1809999999999999,Home
PHI,SFG,2005,2,S2,2,1,2,1,2,3,1,5,4,0,0,5,3,0,0,1,6,14,26,4,4,1.6136363636363635,0.2697021943573667,0.1439,Away
PHI,STL,11250,11,S11,3,2,0,2,3,1,0,2,2,0,5,2,3,1,0,0,7,15,22,6,6,1.676691729323308,0.2868411786508524,0.3941,Home
PHI,TBR,10251,10,S10,4,1,0,1,2,1,0,5,7,0,3,2,1,0,1,0,4,8,23,3,3,-0.1285714285714288,0.0698034239965688,-0.129,Home
PHI,TOR,2007,2,S2,3,2,0,0,4,2,0,4,7,0,0,3,3,1,0,0,6,12,25,3,3,0.6136363636363638,0.1616771159874607,0.0523999999999999,Away
PIT,PHI,2001,2,S2,1,1,0,1,0,2,0,4,3,0,1,3,6,1,0,0,2,6,21,1,1,-1.3863636363636362,-0.0543730407523511,-0.5514000000000001,Home
PIT,SDP,5005,5,S5,2,0,0,0,3,0,0,1,3,0,3,7,3,0,1,1,3,3,20,0,0,-3.924812030075188,-0.3150254542606516,-0.6558,Home
SDP,ARI,5004,5,S5,1,1,0,4,5,4,1,4,3,0,2,7,1,1,1,0,10,17,31,9,9,5.075187969924812,0.6201817042606517,0.388,Away
SDP,CHC,8002,8,S8,1,2,2,2,3,2,0,8,5,0,1,1,2,1,0,0,9,21,28,6,6,1.0714285714285716,0.2475664700723615,0.4490999999999999,Away
