G,PA,AB,H,R,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,OPS,Avg Diff,nOBP,nSLG,RE24,Season,Hitter ID,WAR
9.0,28.0,23.0,10.0,9.0,3.0,0.0,3.0,7.0,5.0,5.0,2.0,0.0,0.43478260869565216,0.5357142857142857,0.9565217391304348,1.4922360248447206,191.96666666666667,0.48148148148148145,0.7727272727272727,6.876757909826331,S5,18,0.801520931015582
9.0,18.0,17.0,5.0,4.0,1.0,1.0,3.0,5.0,1.0,3.0,0.0,0.0,0.29411764705882354,0.3333333333333333,1.0,1.3333333333333333,247.38888888888889,0.3333333333333333,1.0588235294117647,0.044507560145385316,S5,20,0.07763691746429142
12.0,31.0,29.0,11.0,5.0,3.0,1.0,2.0,7.0,2.0,5.0,2.0,0.0,0.3793103448275862,0.41935483870967744,0.7586206896551724,1.1779755283648499,222.78125,0.41935483870967744,0.8148148148148148,-1.2555614729304954,S5,22,0.0004866863148581979
15.0,45.0,39.0,11.0,6.0,3.0,0.0,3.0,13.0,5.0,11.0,0.0,0.0,0.28205128205128205,0.35555555555555557,0.5897435897435898,0.9452991452991453,258.29545454545456,0.3333333333333333,0.5555555555555556,-5.840175905223907,S5,24,-0.4010521868980085
1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,259.0,1.0,0.0,-0.3424960635661866,S5,28,-0.026117810639979457
15.0,38.0,38.0,12.0,6.0,2.0,0.0,1.0,9.0,0.0,1.0,5.0,0.0,0.3157894736842105,0.3157894736842105,0.4473684210526316,0.763157894736842,238.11627906976744,0.32432432432432434,0.5,-5.578964344830116,S5,29,-0.4033923158668665
1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,150.0,0.3333333333333333,0.0,-1.5199582287680535,S5,32,-0.13979812930184654
9.0,19.0,16.0,6.0,7.0,1.0,0.0,3.0,7.0,3.0,2.0,0.0,0.0,0.375,0.47368421052631576,1.0,1.4736842105263157,243.0,0.42105263157894735,0.9375,4.407798844134334,S5,33,0.5180319437215058
16.0,47.0,45.0,14.0,10.0,5.0,3.0,4.0,10.0,2.0,8.0,2.0,1.0,0.3111111111111111,0.3404255319148936,0.8222222222222222,1.1626477541371159,231.1,0.3333333333333333,0.8181818181818182,-1.0340963572038344,S5,34,0.08768756362063797
14.0,37.0,32.0,9.0,4.0,3.0,0.0,3.0,7.0,3.0,14.0,0.0,0.0,0.28125,0.32432432432432434,0.65625,0.9805743243243243,226.4,0.3235294117647059,0.6666666666666666,-3.9906029547526,S5,35,-0.24862207471743467
10.0,31.0,24.0,5.0,6.0,3.0,0.0,2.0,7.0,7.0,3.0,0.0,0.0,0.20833333333333334,0.3870967741935484,0.5833333333333334,0.9704301075268817,234.3548387096774,0.4,0.5652173913043478,-0.11447613692154815,S5,36,0.11459521991575292
2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,386.0,0.0,0.0,-2.181366797044763,S5,37,-0.2100048839878371
10.0,31.0,28.0,7.0,5.0,2.0,1.0,0.0,2.0,3.0,7.0,0.0,0.0,0.25,0.3225806451612903,0.39285714285714285,0.7154377880184332,262.9,0.3448275862068966,0.46153846153846156,1.375189151169896,S5,41,0.26356174872489735
2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.6666666666667,0.0,0.0,-1.1024741341259945,S5,42,-0.09804971983764063
