G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,nPA,nAB,nH,nTB,nBB,nSF,nSH,Season,Hitter ID,is_sub_row,Team,Last Team,WAR
1,3,3,0,0.0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.3333333333333333,0.0,1.0,0.0,,364.0,0.0,0.0,-0.5388655462184875,-0.0452,2,0,HK,3,3,0,0,0,0,0,S12,1844.0,False,SCR,SCR,-0.03997252747252748
2,6,5,2,0.0,2,0,0,0,2,1.0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0.4,0.5,0.4,0.9,0.0,0.5,1.0,0.0,0.16666666666666666,0.16666666666666666,0.0,1.0,0.0,188.85714285714286,0.5,0.25,0.535329131652661,0.0812,0,2,WC,6,4,1,1,2,0,0,S12,2256.0,False,KEG,KEG,0.08136096746390864
2,3,3,1,0.0,1,0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,,0.0,0.0,0.0,1.0,0.0,,335.6666666666667,0.3333333333333333,0.3333333333333333,-0.5888772175536882,-0.005499999999999999,2,0,BC,3,3,1,1,0,0,0,S12,2275.0,False,SAL,SAL,-0.04497369460604755
2,4,4,0,0.0,0,0,0,0,0,0.0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.75,0.0,1.0,0.0,,354.75,0.0,0.0,-1.1299603174603177,-0.1239,1,0,BC,4,4,0,0,0,0,0,S12,2329.0,False,SDV,SDV,-0.09444399554693675
2,5,4,0,1.0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0.0,0.2,0.0,0.2,0.0,0.0,,0.0,0.0,0.2,0.25,0.75,0.3333333333333333,278.6,0.2,0.0,-0.615686274509804,-0.05239999999999999,1,3,SM,5,4,0,0,1,0,0,S12,2474.0,False,SEF,SEF,-0.038378582202111614
2,6,5,2,1.0,1,0,0,1,5,1.0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0.4,0.5,1.0,1.5,0.6,0.3333333333333333,,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,0.0,,247.66666666666666,0.3333333333333333,0.8333333333333334,1.5585200746965455,0.10989999999999998,2,0,BC,6,6,2,5,0,0,0,S12,2487.0,False,DDD,DDD,0.18368006176829707
2,5,5,1,0.0,0,1,0,0,2,0.0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0.2,0.2,0.4,0.6000000000000001,0.2,0.5,,0.0,0.6,0.0,1.0,0.0,,278.6,0.2,0.4,-0.2968253968253968,-0.08059999999999999,1,0,HK,5,5,1,2,0,0,0,S12,2501.0,False,DDD,DDD,-0.006492494433670904
2,4,4,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,292.25,0.0,0.0,0.5908613445378151,-0.11449999999999999,0,4,BC,4,4,0,0,0,0,0,S12,2504.0,False,MMN,MMN,0.07763817065287654
2,3,3,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.5,341.6666666666667,0.0,0.0,0.005567226890756283,-0.022,1,2,BC,3,3,0,0,0,0,0,S12,2542.0,False,SAL,SAL,0.014470749838396895
1,3,3,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,2.0,308.6666666666667,0.0,0.0,-2.031746031746032,-0.18130000000000002,2,1,HK,3,3,0,0,0,0,0,S12,2544.0,False,SCR,SCR,-0.18926057602528196
1,2,2,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,1.0,364.5,0.0,0.0,-1.1444327731092439,-0.0823,1,1,BC,2,2,0,0,0,0,0,S12,2584.0,False,CCS,CCS,-0.10516725921137686
2,5,5,0,0.0,0,0,0,0,0,0.0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.4,0.0,1.0,0.0,,375.0,0.0,0.0,-1.2623132586367882,-0.117,3,0,BC,5,5,0,0,0,0,0,S12,2625.0,False,CCS,CCS,-0.10304128061481004
