G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Type,nPA,nAB,nH,nTB,nBB,nSF,nSH,Season,Hitter ID,is_sub_row,Team,Last Team,Last Session,WAR
2,4,4,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,1.0,316.25,0.0,0.0,-0.7360383599523865,-0.057800000000000004,2,2,WC,4,4,0,0,0,0,0,S7,68.0,False,STK,STK,11,-0.059026058217460875
8,18,16,4,0.0,2,1,1,0,7,3.0,2,0,3,1,1,0,0,0,0,1,3,4,1,0,0.25,0.3333333333333333,0.4375,0.7708333333333333,0.1875,0.3076923076923077,1.0,0.0,0.16666666666666666,0.1111111111111111,0.4444444444444444,0.5555555555555556,0.8,237.11111111111111,0.3333333333333333,0.4117647058823529,1.4164240254262612,0.3648,4,5,BC,18,17,5,7,1,0,0,S7,71.0,False,PBA,PBA,10,0.2072424025426261
2,4,4,2,0.0,1,0,1,0,4,0.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1.0,1.5,0.5,1.0,,0.0,0.5,0.0,,,,141.66666666666666,0.5,0.6666666666666666,0.4574656113339085,0.13919999999999996,0,0,XB,4,3,1,2,1,0,0,S7,72.0,False,FAP,FAP,4,0.06032433891116863
4,11,10,3,1.0,2,0,0,1,6,2.0,1,0,1,0,0,1,0,0,0,0,1,3,2,0,0.3,0.36363636363636365,0.6,0.9636363636363636,0.3,0.25,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.16666666666666666,0.8333333333333334,0.2,250.91666666666666,0.2727272727272727,0.5454545454545454,-1.1146603884254063,-0.16610000000000003,1,5,BN,11,11,3,6,0,0,0,S7,73.0,False,RRR,RRR,13,-0.07137714995365174
1,3,2,1,1.0,0,0,0,1,4,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.6666666666666666,2.0,2.6666666666666665,1.5,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,131.33333333333334,0.6666666666666666,2.0,0.7185227999022751,0.1483,0,0,BN,3,2,1,4,1,0,0,S7,76.0,False,RRR,RRR,8,0.08278561332356084
5,13,12,6,3.0,0,5,1,0,13,1.0,1,0,1,0,0,1,0,0,0,2,2,1,0,0,0.5,0.5384615384615384,1.0833333333333333,1.6217948717948718,0.5833333333333333,0.5454545454545454,0.0,0.0,0.07692307692307693,0.07692307692307693,0.8,0.2,4.0,200.85714285714286,0.46153846153846156,0.9230769230769231,2.4211742794223547,0.1308,4,1,HK,13,13,6,12,0,0,0,S7,78.0,False,2TM,BAC,13,0.28949520572001325
3,9,9,5,3.0,0,4,1,0,11,1.0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0.5555555555555556,0.5555555555555556,1.2222222222222223,1.777777777777778,0.6666666666666667,0.5555555555555556,0.0,0.0,0.0,0.0,0.75,0.25,3.0,186.2,0.5555555555555556,1.1111111111111112,2.4545766757912646,0.13369999999999999,3,1,HK,9,9,5,10,0,0,0,S7,78.0,True,SSJ,SSJ,7,0.27825766757912646
2,4,3,1,0.0,0,1,0,0,2,0.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0.3333333333333333,0.5,0.6666666666666666,1.1666666666666665,0.3333333333333333,0.5,,0.0,0.25,0.25,1.0,0.0,,237.5,0.25,0.5,-0.03340239636890985,-0.0028999999999999963,1,0,HK,4,4,1,2,0,0,0,S7,78.0,True,BAC,BAC,13,0.01123753814088679
2,5,5,0,0.0,0,0,0,0,0,0.0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,,,,301.2,0.0,0.0,-0.996811672344992,-0.16699999999999998,0,0,BP,5,5,0,0,0,0,0,S7,79.0,False,SCG,SCG,6,-0.08145894501227699
1,3,3,0,0.0,0,0,0,0,0,0.0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,331.6666666666667,0.0,0.0,-0.8159519367575161,-0.1126,0,1,BP,3,3,0,0,0,0,0,S7,84.0,False,RRR,RRR,1,-0.07066186034241828
3,7,6,1,1.0,0,0,1,0,3,0.0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0.16666666666666666,0.2857142857142857,0.5,0.7857142857142857,0.33333333333333337,0.2,,0.0,0.14285714285714285,0.14285714285714285,0.5,0.5,1.0,265.57142857142856,0.2857142857142857,0.3333333333333333,-0.07709817334580032,-0.07919999999999999,2,2,EN,7,6,1,2,1,0,0,S7,89.0,False,2TM,RRR,6,0.017801293776531075
