G,PA,AB,H,R,1B,2B,3B,HR,TB,RBI,BB,IBB,K,Auto K,SB,CS,SH,SF,GIDP,RGO,LGO,FO,PO,LO,AVG,OBP,SLG,OPS,ISO,BABIP,SB%,HR%,SO%,BB%,GB%,FB%,GB/FB,Avg Diff,nOBP,nSLG,RE24,WPA,GB_outs,FB_outs,Season,Hitter ID,Team,is_sub_row,Last Team,WAR
12.0,30.0,26.0,6.0,4.0,2.0,3.0,0.0,1.0,12.0,8.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,5.0,1.0,0.23076923076923078,0.3,0.46153846153846156,0.7615384615384615,0.23076923076923078,0.2777777777777778,,0.03333333333333333,0.26666666666666666,0.1,0.21428571428571427,0.7857142857142857,0.2727272727272727,276.96666666666664,0.3,0.46153846153846156,-2.062726631901879,-0.35950000000000004,3.0,11.0,S9,59,CWS,False,CWS,-0.09090962174425458
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,493.0,0.0,0.0,-0.1996943453897096,-0.0203,1.0,0.0,S9,63,CHC,False,CHC,-0.016123999824106516
13.0,35.0,30.0,13.0,8.0,4.0,3.0,2.0,4.0,32.0,10.0,4.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,6.0,2.0,0.0,0.43333333333333335,0.4857142857142857,1.0666666666666667,1.5523809523809524,0.6333333333333333,0.45,0.0,0.11428571428571428,0.2,0.11428571428571428,0.25,0.75,0.3333333333333333,192.75,0.4857142857142857,1.0666666666666667,1.5151454902457548,0.5654999999999999,3.0,9.0,S9,65,PHI,False,PHI,0.286104764044831
13.0,38.0,33.0,17.0,6.0,11.0,2.0,1.0,3.0,30.0,9.0,4.0,0.0,6.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,1.0,4.0,4.0,0.0,0.5151515151515151,0.5526315789473685,0.9090909090909091,1.4617224880382775,0.3939393939393939,0.56,0.75,0.07894736842105263,0.15789473684210525,0.10526315789473684,0.25,0.75,0.3333333333333333,181.8095238095238,0.5526315789473685,0.9090909090909091,3.682317680710525,0.806,3.0,9.0,S9,66,SEA,False,SEA,0.5143582872359014
13.0,40.0,32.0,4.0,4.0,1.0,2.0,1.0,0.0,8.0,1.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,7.0,8.0,0.0,0.125,0.3,0.25,0.55,0.125,0.16,,0.0,0.175,0.2,0.2857142857142857,0.7142857142857143,0.4,266.97435897435895,0.3,0.25,0.6359560644411772,-0.12479999999999997,6.0,15.0,S9,68,CHC,False,CHC,0.21741299503869546
11.0,29.0,28.0,6.0,0.0,3.0,3.0,0.0,0.0,9.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,8.0,2.0,0.0,0.21428571428571427,0.2413793103448276,0.32142857142857145,0.562807881773399,0.10714285714285718,0.3,,0.0,0.27586206896551724,0.034482758620689655,0.2857142857142857,0.7142857142857143,0.4,265.86206896551727,0.2413793103448276,0.32142857142857145,-5.848238958962879,-0.222,4.0,10.0,S9,71,TOR,False,TOR,-0.47330628916521905
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,2.0,1.0,,0.0,0.0,0.0,,,,11.0,1.0,3.0,1.4604089474406474,0.0192,0.0,0.0,S9,73,COL,False,COL,0.14988632945892919
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,,,,,0.0,0.0,1.0,,,,131.0,1.0,,0.3847604224240396,0.0346,0.0,0.0,S9,76,COL,False,COL,0.04232147695726841
3.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.25,0.25,0.75,1.0,0.5,0.3333333333333333,,0.0,0.25,0.0,0.6666666666666666,0.3333333333333333,2.0,233.25,0.25,0.75,-1.2929156081880555,0.0644,2.0,1.0,S9,79,STL,False,STL,-0.11390982195934778
16.0,46.0,41.0,9.0,5.0,2.0,3.0,0.0,4.0,24.0,9.0,4.0,0.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,6.0,12.0,2.0,0.0,0.21951219512195122,0.2826086956521739,0.5853658536585366,0.8679745493107105,0.36585365853658536,0.1724137931034483,1.0,0.08695652173913043,0.1956521739130435,0.08695652173913043,0.4,0.6,0.6666666666666666,253.27659574468086,0.2826086956521739,0.5853658536585366,-3.636908556276521,-0.22050000000000014,10.0,15.0,S9,80,COL,False,COL,-0.1868008587438877
14.0,43.0,39.0,10.0,6.0,10.0,0.0,0.0,0.0,10.0,3.0,4.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,8.0,8.0,2.0,0.0,0.2564102564102564,0.32558139534883723,0.2564102564102564,0.5819916517590936,0.0,0.3125,,0.0,0.16279069767441862,0.09302325581395349,0.5833333333333334,0.4166666666666667,1.4,270.9761904761905,0.32558139534883723,0.2564102564102564,-2.423558216831271,-0.5978,14.0,10.0,S9,81,COL,False,COL,-0.07700212894395601
