G,IP,BF,H,R,BB,IBB,Auto BB,K,HR,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,Season,Pitcher ID,Team,FIP,nIP,ERA+,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
4.0,12.666666666666666,51.0,12.0,6.0,5.0,0.0,0.0,5.0,1.0,2.8421052631578947,1.3421052631578947,5.684210526315789,0.4736842105263158,2.3684210526315788,2.3684210526315788,1.0,0.2608695652173913,0.3333333333333333,0.41304347826086957,0.7463768115942029,0.275,0.0196078431372549,0.09803921568627451,0.09803921568627451,0.5172413793103449,0.4827586206896552,1.0714285714285714,255.9811320754717,0.4729550690293699,0.20559999999999995,46.0,0.0,0.0,4.0,0.0,15.0,14.0,S3,59,CHC,2.5544879797044255,13.333333333333334,129,1.0,3.0,1.0,0.0,1,1,0,0,0.5,0.22591482520038403
8.0,22.666666666666668,97.0,26.0,15.0,10.0,0.0,0.0,15.0,4.0,3.9705882352941173,1.588235294117647,6.88235294117647,1.0588235294117645,2.6470588235294117,3.9705882352941178,1.5,0.2988505747126437,0.3711340206185567,0.5862068965517241,0.9573409171702808,0.3235294117647059,0.041237113402061855,0.15463917525773196,0.10309278350515463,0.45652173913043476,0.5434782608695652,0.84,223.5408163265306,2.1177663322598264,0.22379999999999992,87.0,0.0,0.0,11.0,1.0,21.0,25.0,S3,60,CHC,3.4275529951843016,24.333333333333332,92,4.0,4.0,1.0,0.0,2,2,1,0,0.5,0.3078587043038633
8.0,29.0,120.0,26.0,21.0,14.0,0.0,3.0,45.0,10.0,4.344827586206897,1.3793103448275863,5.379310344827586,2.0689655172413794,2.896551724137931,9.310344827586206,3.2142857142857144,0.24528301886792453,0.3333333333333333,0.6037735849056604,0.9371069182389937,0.3137254901960784,0.08333333333333333,0.375,0.11666666666666667,0.4857142857142857,0.5142857142857142,0.9444444444444444,245.51239669421489,4.333814773394769,-0.17809999999999987,106.0,0.0,0.0,6.0,1.0,17.0,18.0,S3,61,CHC,3.96102155502203,28.333333333333332,61,6.0,2.0,1.0,0.0,2,3,0,0,0.4,0.20946636290363144
1.0,2.0,8.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,3.0,3.0,1.0,0.14285714285714285,0.25,0.14285714285714285,0.39285714285714285,0.16666666666666666,0.0,0.125,0.125,1.0,0.0,0.0,360.14285714285717,-1.1168831168831168,0.0,7.0,0.0,0.0,0.0,0.0,5.0,0.0,S3,65,HOU,1.6334353481254782,2.0,0,0.0,1.0,0.0,0.0,0,0,0,0,0.0,0.15454483437118557
1.0,2.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,3.0,3.0,1.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285,0.4,0.6,0.6666666666666666,291.7142857142857,-1.1168831168831168,0.0,6.0,0.0,0.0,0.0,0.0,2.0,3.0,S3,70,CHC,1.6334353481254782,2.0,0,0.0,1.0,0.0,0.0,0,0,0,0,0.0,0.14918776903582634
6.0,27.666666666666668,113.0,20.0,17.0,13.0,1.0,0.0,45.0,7.0,3.686746987951807,1.1927710843373494,4.337349397590361,1.5180722891566263,2.8192771084337345,9.759036144578314,3.4615384615384617,0.20408163265306123,0.2920353982300885,0.46938775510204084,0.7614231533321294,0.2708333333333333,0.061946902654867256,0.39823008849557523,0.11504424778761062,0.5454545454545454,0.45454545454545453,1.2,255.36036036036037,0.906570087567708,0.6114999999999999,98.0,2.0,0.0,3.0,1.0,18.0,15.0,S3,74,ARI/COL,2.579218480655599,28.0,117,5.0,3.0,3.0,0.0,4,1,0,1,0.8,0.5146913741388228
6.0,34.0,131.0,23.0,8.0,13.0,0.0,0.0,33.0,1.0,1.411764705882353,1.0588235294117647,4.0588235294117645,0.1764705882352941,2.2941176470588234,5.823529411764706,2.5384615384615383,0.19491525423728814,0.2748091603053435,0.3050847457627119,0.5798939060680555,0.2619047619047619,0.007633587786259542,0.25190839694656486,0.09923664122137404,0.4098360655737705,0.5901639344262295,0.6944444444444444,254.01459854014598,-11.140511805388476,1.5043000000000002,118.0,0.0,0.0,6.0,2.0,25.0,36.0,S3,75,COL,0.7216706422431253,33.0,238,6.0,5.0,5.0,2.0,4,1,0,0,0.8,1.8158267394709076
8.0,38.333333333333336,145.0,26.0,12.0,10.0,2.0,0.0,24.0,6.0,1.8782608695652172,0.9391304347826086,4.069565217391304,0.9391304347826086,1.5652173913043477,3.7565217391304344,2.4,0.1925925925925926,0.2482758620689655,0.4444444444444444,0.69272030651341,0.19047619047619047,0.041379310344827586,0.16551724137931034,0.06896551724137931,0.5058823529411764,0.49411764705882355,1.0238095238095237,277.27464788732397,-12.506177724384177,2.3189,135.0,0.0,0.0,8.0,4.0,43.0,42.0,S3,76,COL,2.698652739429826,39.0,150,6.0,8.0,6.0,0.0,4,2,0,0,0.6666666666666666,2.027392246065507
10.0,26.666666666666668,106.0,25.0,13.0,7.0,0.0,1.0,28.0,3.0,2.925,1.2,5.625,0.6749999999999999,1.5750000000000002,6.300000000000001,4.0,0.25252525252525254,0.3018867924528302,0.45454545454545453,0.7564322469982847,0.3235294117647059,0.02830188679245283,0.2641509433962264,0.0660377358490566,0.45652173913043476,0.5434782608695652,0.84,255.35185185185185,-2.4416816901746965,1.4447,99.0,0.0,0.0,9.0,1.0,21.0,25.0,S3,92,DET,1.283435348125478,27.0,130,4.0,8.0,2.0,0.0,4,0,0,0,1.0,0.8120170945655486
13.0,54.666666666666664,229.0,42.0,23.0,27.0,1.0,0.0,48.0,14.0,2.524390243902439,1.2621951219512195,4.609756097560975,1.5365853658536586,2.9634146341463414,5.2682926829268295,1.7777777777777777,0.208955223880597,0.30131004366812225,0.472636815920398,0.7739468595885203,0.2,0.0611353711790393,0.2096069868995633,0.11790393013100436,0.38181818181818183,0.6181818181818182,0.6176470588235294,237.46188340807174,-9.48161414712415,1.1128,201.0,1.0,0.0,7.0,2.0,42.0,68.0,S3,93,DET,4.188313396905967,55.666666666666664,127,9.0,8.0,4.0,2.0,3,7,0,0,0.3,2.17492937650968
