G,IP,BF,H,R,ER,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,SB_A,CS_A,SB%_A,Type,Season,Pitcher ID,is_sub_row,Team,Last Team,FIP,nIP,ERA-,nRuns,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
3.0,9.333333333333334,33.0,5.0,2.0,2.0,2.0,0.0,0.0,4.0,1.0,1.0,5.0,7.0,8.0,2.0,0.0,1.2857142857142856,0.75,3.2142857142857144,0.6428571428571428,1.2857142857142856,2.571428571428571,2.0,0.16666666666666666,0.21212121212121213,0.4,0.6121212121212122,0.15384615384615385,0.030303030303030304,0.12121212121212122,0.06060606060606061,0.5833333333333334,0.4166666666666667,1.4,285.6060606060606,-5.677439471753485,0.5051000000000001,30.0,1.0,0.0,2.0,1.0,14.0,10.0,0.0,0.0,,,S-8,287,False,BAG,BAG,2.3615702479338845,9.666666666666666,64,3.0,2.0,1.0,0.0,0.0,2,0,1,0,1.0,0.7005537631262687
2.0,3.0,18.0,6.0,5.0,5.0,4.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,3.0,0.0,10.0,3.3333333333333335,12.0,6.0,8.0,6.0,0.75,0.42857142857142855,0.5555555555555556,1.2857142857142858,1.8412698412698414,0.375,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.2,0.8,0.25,198.3684210526316,3.8299009537784303,0.05470000000000004,14.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,,S-8,301,False,CDT,CDT,16.182998819362457,3.3333333333333335,184,3.0,0.0,1.0,0.0,0.0,0,0,0,0,0.0,-0.310548377586432
1.0,1.6666666666666667,11.0,4.0,5.0,5.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,18.0,3.5999999999999996,14.399999999999999,0.0,7.199999999999999,7.199999999999999,1.0,0.4444444444444444,0.5454545454545454,0.7777777777777778,1.323232323232323,0.5714285714285714,0.0,0.18181818181818182,0.18181818181818182,0.6666666666666666,0.3333333333333333,2.0,216.36363636363637,3.7773040752351097,-0.1231,9.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,,,S-8,413,False,CDT,CDT,2.382998819362456,3.0,68,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,-0.33346046887320424
5.0,25.333333333333332,103.0,27.0,11.0,11.0,6.0,0.0,0.0,15.0,2.0,17.0,22.0,15.0,10.0,8.0,0.0,2.605263157894737,1.3026315789473686,6.394736842105264,0.4736842105263158,1.4210526315789473,3.552631578947369,2.5,0.28125,0.32038834951456313,0.4479166666666667,0.7683050161812298,0.3125,0.019417475728155338,0.14563106796116504,0.05825242718446602,0.6949152542372882,0.3050847457627119,2.2777777777777777,257.5660377358491,-6.835540479421076,1.0042999999999997,96.0,1.0,0.0,6.0,2.0,41.0,18.0,2.0,1.0,0.6666666666666666,,S-8,516,False,CDT,CDT,1.7356303983098247,25.666666666666668,25,3.1254983361339,5.0,2.0,2.0,0.0,3,1,0,0,0.75,1.0980816553040706
2.0,4.0,20.0,5.0,3.0,3.0,4.0,0.0,0.0,4.0,0.0,2.0,2.0,1.0,3.0,1.0,0.0,4.5,2.25,7.5,0.0,6.0,6.0,1.0,0.3125,0.45,0.5625,1.0125,0.4166666666666667,0.0,0.2,0.2,0.42857142857142855,0.5714285714285714,0.75,228.8181818181818,0.18000000000000033,-0.045399999999999996,16.0,0.0,0.0,2.0,1.0,3.0,4.0,1.0,1.0,0.5,,S-8,529,False,BAG,BAG,2.182998819362456,4.0,51,1.0,1.0,1.0,0.0,0.0,0,0,1,0,0.0,0.06249079754601226
2.0,5.666666666666667,28.0,9.0,7.0,7.0,2.0,0.0,0.0,2.0,1.0,7.0,3.0,6.0,5.0,1.0,0.0,7.411764705882352,1.9411764705882353,9.529411764705882,1.0588235294117645,2.117647058823529,2.117647058823529,1.0,0.36,0.39285714285714285,0.56,0.9528571428571428,0.34782608695652173,0.03571428571428571,0.07142857142857142,0.07142857142857142,0.6,0.4,1.5,227.3548387096774,2.6289860698789678,-0.33420000000000005,25.0,1.0,0.0,0.0,1.0,9.0,6.0,3.0,0.0,1.0,,S-8,606,False,MMM,MMM,3.830057642891868,6.333333333333333,165,5.096449570330167,1.0,0.0,0.0,0.0,1,0,0,0,1.0,-0.1502114904234796
3.0,5.0,27.0,11.0,8.0,8.0,1.0,0.0,0.0,6.0,2.0,5.0,0.0,1.0,2.0,6.0,0.0,9.6,2.4,13.200000000000001,2.4000000000000004,1.2000000000000002,7.199999999999999,6.0,0.4230769230769231,0.4444444444444444,0.8076923076923077,1.2521367521367521,0.5,0.07407407407407407,0.2222222222222222,0.037037037037037035,0.1111111111111111,0.8888888888888888,0.125,207.85185185185185,4.396664549592464,-0.6803,26.0,0.0,0.0,4.0,0.0,1.0,8.0,0.0,0.0,,,S-8,703,False,LAC,LAC,4.582998819362456,5.333333333333333,230,6.0,2.0,0.0,0.0,0.0,1,2,0,0,0.3333333333333333,-0.33100387827212985
2.0,4.333333333333333,18.0,3.0,1.0,1.0,3.0,0.0,0.0,3.0,0.0,2.0,2.0,3.0,4.0,0.0,0.0,1.3846153846153848,1.3846153846153848,4.153846153846154,0.0,4.153846153846154,4.153846153846154,1.0,0.2,0.3333333333333333,0.26666666666666666,0.6,0.25,0.0,0.16666666666666666,0.16666666666666666,0.6,0.4,1.5,254.0,-2.025,-0.031999999999999994,15.0,0.0,0.0,1.0,0.0,6.0,4.0,0.0,0.0,,,S-8,770,False,PPM,PPM,1.8753065116701486,4.333333333333333,103,2.1761140104375754,0.0,1.0,0.0,0.0,0,0,0,0,0.0,0.274941717791411
4.0,16.333333333333332,62.0,8.0,8.0,8.0,5.0,0.0,0.0,29.0,5.0,2.0,4.0,6.0,6.0,4.0,0.0,2.938775510204082,0.7959183673469389,2.938775510204082,1.836734693877551,1.836734693877551,10.653061224489797,5.8,0.14035087719298245,0.20967741935483872,0.43859649122807015,0.6482739105829088,0.13043478260869565,0.08064516129032258,0.46774193548387094,0.08064516129032258,0.5,0.5,1.0,275.4918032786885,-4.014220779220779,0.4563000000000001,57.0,0.0,0.0,0.0,1.0,10.0,10.0,1.0,0.0,1.0,,S-8,775,False,CCD,CCD,2.5299375948726603,17.0,56,4.639827586206897,2.0,3.0,1.0,0.0,3,0,0,0,1.0,0.6509435503147161
1.0,2.6666666666666665,13.0,6.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,2.0,2.0,1.0,0.0,11.25,2.25,13.5,2.25,0.0,2.25,,0.46153846153846156,0.46153846153846156,0.6923076923076923,1.1538461538461537,0.45454545454545453,0.07692307692307693,0.07692307692307693,0.0,0.5714285714285714,0.42857142857142855,1.3333333333333333,231.46153846153845,0.6380295566502466,-0.4231,13.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,,,S-8,776,False,GND,GND,5.3079988193624565,2.6666666666666665,231,3.000995024875622,0.0,0.0,0.0,0.0,0,1,0,0,0.0,-0.011483937260116683
